Nome: BOA VISTA
Codigo Estacao: 82024
Latitude: 2.82944443
Longitude: -60.66194444
Altitude: 84.18
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;18,8;34,1;28,3;24,2;64,9;
2010-02-28;69,4;35,3;29,1;24,7;66,4;
2010-03-31;39,2;35,6;29,5;25,4;67,5;
2010-04-30;258,7;33,6;27,8;24,5;81,8;
2010-05-31;433,4;32,7;27,4;24,3;85,8;
2010-06-30;259,5;33,2;27,2;23,6;83,4;
2010-07-31;292;32,6;26,5;23,1;84,6;
2010-08-31;231,8;33,1;26,9;22,9;81;
2010-09-30;120;33,4;28;24,7;75,5;
2010-10-31;48,2;null;null;25;70;
2010-11-30;125,7;34,1;27,7;24,4;80,2;
2010-12-31;127,1;33,7;27,8;24,4;76,5;
2011-01-31;25,4;33,3;27,5;23,9;72;
2011-02-28;55,4;34,4;28,3;24,7;70,7;
2011-03-31;143,9;33,1;27,5;24,1;75,1;
2011-04-30;15,7;34,2;28,2;24,5;73,7;
2011-05-31;667,5;32;26,8;23,8;87,4;
2011-06-30;398,9;32,7;27;23,9;85,2;
2011-07-31;348,4;33,3;27,3;24;83,3;
2011-08-31;303,2;34,6;28;24;78,5;
2011-09-30;62,7;35,2;28,6;24,6;74,6;
2011-10-31;86,4;35;28,5;24,6;75;
2011-11-30;97,6;34,7;28,6;24,8;75;
2011-12-31;33,7;34,6;28,7;24,6;70,4;
2012-01-31;33,6;34;28,1;24,6;69,4;
2012-02-29;16,8;33,4;27,8;24,1;69,4;
2012-03-31;46,6;34,1;28,1;24,5;68,2;
2012-04-30;246,9;33,1;27,5;24,3;80;
2012-05-31;303,7;32,7;27,4;23,9;80,8;
2012-06-30;105,4;33,2;27,6;24,2;79,7;
2012-07-31;342,8;32,3;26,7;23,7;84,2;
2012-08-31;308,6;33,1;26,9;23,8;81,9;
2012-09-30;59,9;35,5;28,8;24,6;71;
2012-10-31;35,6;36,4;29,8;25,4;68,8;
2012-11-30;13,8;36,5;29,8;25;67,4;
2012-12-31;46,2;34,2;28,5;24,7;71;
2013-01-31;0;35;29;25;62,1;
2013-02-28;78,4;34;28;24,5;72;
2013-03-31;13,8;35,1;29;25,2;65,3;
2013-04-30;168,6;34,4;28,4;25;72,9;
2013-05-31;314;32,5;27,2;24,3;84,1;
2013-06-30;216,4;33,4;27,7;24,4;79,8;
2013-07-31;253,7;32,6;27,1;23,8;80,4;
2013-08-31;312,7;32,7;27;23,8;84,6;
2013-09-30;74,2;35;28,5;24,5;78,2;
2013-10-31;90,1;35,6;29,1;24,7;69,2;
2013-11-30;251;35;28,7;24,6;70,6;
2013-12-31;77,8;34,1;28,5;24,9;70,3;
2014-01-31;3,8;34,6;28,6;24,4;65,9;
2014-02-28;19,2;34,6;28,6;24,5;63,6;
2014-03-31;22;35,3;29,2;25,2;62,5;
2014-04-30;72,3;34,3;28,5;24,7;71,3;
2014-05-31;79;34,9;28,9;25,2;71,8;
2014-06-30;357,3;32,4;27;24,2;83,4;
2014-07-31;215,6;33;27,4;23,8;85,6;
2014-08-31;195,1;33,3;27,3;24,4;81,8;
2014-09-30;22,5;36,2;29,4;25;67,9;
2014-10-31;121,8;35,5;28,8;25;73,7;
2014-11-30;114,7;35,5;29;25,2;72;
2014-12-31;30,3;35;28,8;25;69,2;
2015-01-31;6,9;34,6;28,6;24,7;64,3;
2015-02-28;1;36;29,5;25,1;59,4;
2015-03-31;7,7;35,2;29,6;25,4;63,6;
2015-04-30;56,1;35,4;29,5;25,4;66,9;
2015-05-31;335,2;32,1;27,3;24,4;83,4;
2015-06-30;248;33,3;27,7;24,4;84,6;
2015-07-31;301,5;33,1;27,5;24,1;85,1;
2015-08-31;263,7;34,6;28,4;24,8;84,6;
2015-09-30;15,7;36,6;30,1;25,5;71,5;
2015-10-31;44,4;37,8;30,7;26;68,2;
2015-11-30;19;36,6;30,3;26;70,9;
2015-12-31;13,5;32,8;28,4;25;72;
2016-01-31;0;null;null;25,2;63,1;
2016-02-29;28,5;null;null;25,5;70,7;
2016-03-31;,4;null;null;26,4;65;
2016-04-30;null;null;null;null;null;
2016-05-31;350,4;33,2;28;24,9;84,3;
2016-06-30;352,8;32,8;27,1;24;86,8;
2016-07-31;322,8;32,9;27,2;24,2;86,4;
2016-08-31;106,7;34,5;28,3;24,4;81,3;
2016-09-30;143;35,8;29,3;24,7;75,7;
