Nome: CARACARAI
Codigo Estacao: 82042
Latitude: 1.83249999
Longitude: -61.12083332
Altitude: 51.99
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;41;33,2;27,6;23;82,7;
2010-02-28;48;33,8;28,3;24;80,1;
2010-03-31;80,6;34,4;28,5;24,4;81,8;
2010-04-30;355,4;31,6;27,1;24,1;89,1;
2010-05-31;207,6;30,8;26,7;24;89,5;
2010-06-30;281;31,7;26,7;23,6;90,5;
2010-07-31;348,8;31,1;26,2;23,1;89,4;
2010-08-31;359,4;32;26,4;23,2;86,2;
2010-09-30;193,4;33,7;27,6;23,8;82,3;
2010-10-31;86,4;33,8;28,2;24,4;79,7;
2010-11-30;154,2;32,7;27,4;24;83,1;
2010-12-31;253,8;31,8;26,9;23,6;84,5;
2011-01-31;49,8;31,6;26,5;22,9;83,6;
2011-02-28;86,6;32,1;27,1;23,9;89,7;
2011-03-31;194,4;31,3;26,6;23,3;95,1;
2011-04-30;183,6;31,8;26,8;23,8;93,4;
2011-05-31;560,6;30,3;26;23,6;95,3;
2011-06-30;306,5;31,2;26,6;23,7;95,3;
2011-07-31;299,6;31,6;26,4;23,6;95,5;
2011-08-31;143,8;32,8;27,1;23,6;94,1;
2011-09-30;154,8;33,7;27,6;23,8;93,9;
2011-10-31;154,2;33;27,5;23,7;93,1;
2011-11-30;221,4;32,8;27,5;24,2;90;
2011-12-31;20,6;33,5;27,9;24,2;87,2;
2012-01-31;88,4;32,5;27,1;23,7;86,4;
2012-02-29;66,1;31,9;26,7;23,3;89;
2012-03-31;202,9;31,7;26,7;23,2;90,5;
2012-04-30;337,3;31,1;26,4;23,5;93,6;
2012-05-31;294,6;31,7;26,5;23,3;92,3;
2012-06-30;253,5;31,7;26,6;23,6;92;
2012-07-31;358,2;31;25,8;22,9;95,1;
2012-08-31;263,2;32,3;26,3;23,3;93,2;
2012-09-30;214,2;33,8;27,3;23,4;90,5;
2012-10-31;50,2;34,7;28,6;24,3;88,2;
2012-11-30;51;35;28,6;24;87,3;
2012-12-31;99,2;33;27,6;23,7;90,5;
2013-01-31;0;34,1;28,1;23,6;88,6;
2013-02-28;153;31,8;26,8;23,8;93,4;
2013-03-31;64;33,2;27,7;23,9;88,9;
2013-04-30;null;31,3;26,5;23,6;91,5;
2013-05-31;489,2;31,2;26,5;23,7;87,7;
2013-06-30;295;32,3;26,8;23,7;86,5;
2013-07-31;280,2;31,5;26,1;23,1;92,6;
2013-08-31;216,6;31,6;26,2;23,3;94,1;
2013-09-30;157,2;33,4;27,2;23,6;91,8;
2013-10-31;51,6;34,2;28;23,9;88,5;
2013-11-30;72,4;33,7;27,9;24,1;88,2;
2013-12-31;65,4;33,1;27,6;23,8;87,9;
2014-01-31;7,2;34;27,8;23,3;84,2;
2014-02-28;17,8;33,8;27,9;23,7;84,4;
2014-03-31;46,4;34,4;28,6;23,9;88,8;
2014-04-30;270,7;32,2;27,4;23,8;94,1;
2014-05-31;211,8;32,6;27,5;24,4;80,3;
2014-06-30;283;31,2;26,5;23,9;87,5;
2014-07-31;166,2;32;26,8;23,5;87,9;
2014-08-31;189,6;32,3;26,8;23,7;83,5;
2014-09-30;36,6;35;28,6;24;74,6;
2014-10-31;78,2;34;27,9;24;77,7;
2014-11-30;29,2;33,9;28,3;24,1;76,7;
2014-12-31;0;35,1;28,8;24;77,2;
2015-01-31;52;33,9;28;23,7;73;
2015-02-28;19,6;35;28,6;23,8;66,3;
2015-03-31;54,4;34,2;28,9;24,8;66,9;
2015-04-30;138,2;34;28,5;24,3;71,6;
2015-05-31;194,2;31,2;26,7;23,8;83,7;
2015-06-30;336,8;31,7;26,5;23,6;86;
2015-07-31;287,6;31,9;26,7;23,5;85,7;
2015-08-31;102,8;33,5;27,5;23,9;81;
2015-09-30;44;35,8;29,1;24,4;72,8;
2015-10-31;6;36,6;30,1;25,3;73,9;
2015-11-30;37;35,9;29,4;24,9;77,7;
2015-12-31;null;35,1;28,8;24,3;74,3;
2016-01-31;1;36,2;29,6;24,2;59,6;
2016-02-29;41,2;34,8;29,2;25,1;66,4;
2016-03-31;3;36,2;30,2;25,9;61,4;
2016-04-30;289,8;33,6;28,4;24,8;78;
2016-05-31;387;33,1;27,6;24,4;84,1;
2016-06-30;547,8;31,8;26,4;23,4;86,9;
2016-07-31;393;32,5;26,7;24;88,8;
2016-08-31;190;33,8;27,6;24,2;82,2;
2016-09-30;126,4;34,1;27,8;24,2;84,8;
2016-10-31;143;35,3;29;24,9;74,3;
2016-11-30;146;34,3;28,7;24,6;77,4;
2016-12-31;115,8;33,4;27,8;24,3;82,7;
2017-01-31;143,8;32,1;26,9;23,8;82,6;
2017-02-28;97,6;31,9;26,9;23,7;83,1;
2017-03-31;112,8;32;27,1;23,8;81,5;
2017-04-30;176;32;27,2;24,2;83,3;
2017-05-31;274,4;32;26,9;24;87,4;
2017-06-30;326;31,7;26,6;23,8;88,6;
2017-07-31;292,1;30,8;26,1;23,5;88;
2017-08-31;146,8;33,9;27,8;24,1;79,9;
2017-09-30;192,8;33,9;27,4;23,8;80,7;
2017-10-31;48,4;34,3;28,3;24,3;77,6;
2017-11-30;40,8;35,6;29,3;24,4;70,4;
2017-12-31;25,4;34,4;28;23,7;80,8;
2018-01-31;30,4;34,2;27,8;22,8;71,6;
2018-02-28;43,9;34,7;28,5;23,5;64,9;
2018-03-31;28,6;34,7;28,8;24;67,5;
2018-04-30;478,2;33,2;27,5;23,7;79,7;
2018-05-31;392,8;31,2;26,3;23,6;88,8;
2018-06-30;446,6;31;26,1;23,4;88,9;
2018-07-31;518,8;31,4;26;23,1;89,9;
2018-08-31;124,8;33,9;27,3;23,4;77,9;
2018-09-30;241,6;34,3;27,8;23,8;78,9;
2018-10-31;27,6;36,5;29,4;24,5;78,1;
2018-11-30;61;34,6;28,6;24,5;76,6;
2018-12-31;69;32,8;27,1;22,9;77,7;
2019-01-31;8,2;33,9;28;23,7;73,5;
2019-02-28;2;34,9;28,9;24,1;65,4;
2019-03-31;3;36,9;30,1;24,6;60,4;
2019-04-30;32;35,3;29,6;25,2;66,5;
2019-05-31;619;31,2;26,7;24,1;86,7;
2019-06-30;560,2;32;27;23,9;85,4;
2019-07-31;347,2;32,4;26,7;23,6;90,4;
2019-08-31;313,2;32,9;26,8;23,5;85,6;
2019-09-30;72,6;34,2;28;24,3;79,4;
2019-10-31;86,6;33,9;27,7;24;83,6;
