Nome: IAUARETE
Codigo Estacao: 82067
Latitude: 0.60222222
Longitude: -69.19277777
Altitude: 107.73
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2019-08-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;216,6;34;27,2;22,2;82,7;
2010-02-28;185,8;34,1;27,6;23,1;84;
2010-03-31;369,2;33,9;27,3;22,7;84,4;
2010-04-30;191,6;33;27,1;22,8;85,5;
2010-05-31;256,8;32;26,3;22,6;88,2;
2010-06-30;308,3;31,9;26,1;22,2;87,1;
2010-07-31;282,6;31,1;25,4;20,9;86,6;
2010-08-31;232,4;31,9;25,9;21,2;85,9;
2010-09-30;163,8;33,9;27,2;21,6;84,2;
2010-10-31;null;null;null;null;null;
2010-11-30;159,5;33,1;26,7;21,6;85,9;
2010-12-31;282,7;32,6;26;21,1;87,9;
2011-01-31;188;32,6;26,2;21,6;87,8;
2011-02-28;211,9;32,8;26,3;21,2;86,9;
2011-03-31;284,5;32,8;null;null;85,8;
2011-04-30;296,5;32,4;null;null;85,6;
2011-05-31;465,9;31,3;null;null;88,3;
2011-06-30;401,1;31,3;null;null;88,7;
2011-07-31;233,2;31,8;null;null;87,9;
2011-08-31;150;32,9;null;null;84;
2011-09-30;214,1;33,5;26,6;22,2;83,3;
2011-10-31;171,1;33,6;26,8;22,3;84,3;
2011-11-30;90,2;33,5;26,8;22,2;83,3;
2011-12-31;503,6;32,6;26,4;22,3;85,7;
2012-01-31;280,4;32,6;26,1;22;87,4;
2012-02-29;523,3;31,9;26;22;87,7;
2012-03-31;532,5;31,7;25,9;22;87,4;
2012-04-30;342,7;32,4;26,1;22,1;88;
2012-05-31;550,3;31,6;25,7;22;89,2;
2012-06-30;387,3;32,1;26;22;86,2;
2012-07-31;208,2;31;25,7;22,1;86,2;
2012-08-31;276,6;32,9;26,5;21,9;83;
2012-09-30;145,7;33,2;26,5;21,8;83,9;
2012-10-31;130,5;34,3;27,4;22,6;81,9;
2012-11-30;273;33,8;27;22,7;85,4;
2012-12-31;201,4;33,2;26,7;22,4;86,1;
2013-01-31;234,8;33;26,7;22,6;87,2;
2013-02-28;523,7;32,4;26;22,3;87,8;
2013-03-31;274,1;33,1;null;null;82,5;
2013-04-30;471,8;32;26,3;22,9;83,9;
2013-05-31;365,8;31;26,5;23,3;85,8;
2013-06-30;191,3;31,2;26,2;22,6;86,7;
2013-07-31;325,6;30,4;25,6;22;85,8;
2013-08-31;275,4;31;26;22,4;85,9;
2013-09-30;397,2;32,2;26,2;22,1;85,5;
2013-10-31;191,7;32,6;26,9;23;84,7;
2013-11-30;308,7;32,2;26,7;22,9;84,8;
2013-12-31;272,9;32,5;26,9;23,1;85,8;
2014-01-31;286,6;31,5;26,3;22,8;87,3;
2014-02-28;270,8;31,1;26,2;23;89,1;
2014-03-31;245,5;32,3;26,9;23,2;84,6;
2014-04-30;420,8;31,8;26,8;23;85;
2014-05-31;500,7;31,6;26,6;23,1;86;
2014-06-30;483,7;30,6;26,4;23,1;86,7;
2014-07-31;334,5;30,8;25,9;22,7;86,3;
2014-08-31;178,6;30,7;25,8;22,2;84,5;
2014-09-30;229;null;null;22,8;null;
2014-10-31;211,8;32,6;27,1;22,8;82,8;
2014-11-30;173;32,9;27,3;23,4;82,4;
2014-12-31;309,8;32;26,6;22,9;85,3;
2015-01-31;311,6;31,5;26,1;22,7;87,2;
2015-02-28;280,3;32,1;26,5;23;84,7;
2015-03-31;269,1;31,4;26,5;23,2;85,8;
2015-04-30;244,6;32,2;26,7;23,5;85,5;
2015-05-31;367;31,1;26,6;23,5;85,8;
2015-06-30;null;null;null;null;null;
2015-07-31;203,6;31,2;26,2;22,9;86,9;
2015-08-31;161,5;32,7;27,6;23,3;81,4;
2015-09-30;null;null;null;null;null;
2015-10-31;68,9;33,5;27,4;23,4;91,4;
2015-11-30;null;33,1;null;23,3;84,6;
2015-12-31;284,4;32,2;null;null;84,5;
2016-01-31;73,9;34,7;29,6;null;78,3;
2016-02-29;null;null;null;null;null;
2016-03-31;null;null;null;null;null;
2016-04-30;261,1;null;null;null;null;
