Nome: MACAPA
Codigo Estacao: 82098
Latitude: -0.04499999
Longitude: -51.11
Altitude: 12.8
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;281,2;31,4;27;24,3;84;
2010-02-28;206,9;31,4;27,5;25;83,9;
2010-03-31;214,7;32,3;27,9;25;82,4;
2010-04-30;401,9;31,8;27,4;24,8;86;
2010-05-31;345,6;33;28;25,1;83,9;
2010-06-30;286,7;32,7;27,5;24,3;82,4;
2010-07-31;115,4;33,1;27,6;24,5;81,5;
2010-08-31;155,3;33,7;28,1;24,5;77,6;
2010-09-30;33,6;33,8;28,8;24,9;73,2;
2010-10-31;91,8;34,8;29,3;24,5;70;
2010-11-30;79,6;33,6;28,7;24,2;74,7;
2010-12-31;202,9;32,5;27,2;23,5;82,6;
2011-01-31;253,9;30,3;26;23,2;86,9;
2011-02-28;371,6;30,8;26,1;23,4;86;
2011-03-31;456,2;30,5;26,2;23,5;87;
2011-04-30;242,2;31;26,5;23,8;86,3;
2011-05-31;377,4;32;27;24,1;86,4;
2011-06-30;270;32,8;27,4;23,9;82,5;
2011-07-31;325,4;32,6;27,1;23,2;81,8;
2011-08-31;95,2;33,7;28,3;24,2;74;
2011-09-30;,1;34,3;28,9;24,7;70,3;
2011-10-31;129,7;34,3;28,9;24,5;71,3;
2011-11-30;28,4;33,5;28,7;24,4;71,4;
2011-12-31;7,6;33,7;28,7;24,2;69,4;
2012-01-31;206,6;31,6;26,8;23,5;81,5;
2012-02-29;381,6;30,2;26;22,6;84,2;
2012-03-31;465,9;30,6;26,1;23;86;
2012-04-30;273,7;31,6;27;23,6;84,7;
2012-05-31;256,9;32,3;27,6;23,7;79;
2012-06-30;130,2;32,4;27,5;23,4;78,4;
2012-07-31;214;32,7;27,3;24,2;81,2;
2012-08-31;77,2;32,8;27,8;24,2;77;
2012-09-30;10;33,4;28,5;23,9;70,8;
2012-10-31;9,6;33,9;28,9;24,3;68,4;
2012-11-30;16,4;34,1;29;24;67,7;
2012-12-31;111,2;33,2;28,3;24,1;74,2;
2013-01-31;328,8;31,3;26,7;23,7;84,3;
2013-02-28;427,4;30,4;26,2;23;86,9;
2013-03-31;387,7;30,8;26,9;23,8;83,8;
2013-04-30;516,5;31,2;26,8;23,8;84,5;
