Nome: SAO GABRIEL DA CACHOEIRA(UAUPES)
Codigo Estacao: 82106
Latitude: -0.12527777
Longitude: -67.06111111
Altitude: 79.71
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;294,1;34,7;27,3;22,5;83,6;
2010-02-28;259,6;34,4;27,1;22,4;86;
2010-03-31;226,6;34,7;27,1;22,4;86,5;
2010-04-30;360,2;32,9;26,2;21,8;89,2;
2010-05-31;368,5;32,9;26,5;22,8;89;
2010-06-30;324,3;33,1;26,2;22,2;88,1;
2010-07-31;151,9;32,7;25,6;21,4;87,6;
2010-08-31;100,9;33,8;26,3;22;84,3;
2010-09-30;165,9;35,2;27,2;22,6;84,3;
2010-10-31;176,6;35,5;27,2;22,1;83,4;
2010-11-30;328,4;34,3;26,8;22,2;85;
2010-12-31;223,7;33,9;26,5;22,1;86,4;
2011-01-31;459,8;33;26,1;22;88,2;
2011-02-28;242,8;33,7;26,1;21,4;88,1;
2011-03-31;276,9;33,2;26,2;21,5;86,7;
2011-04-30;329;33,5;26,1;21,7;87,9;
2011-05-31;474,2;31,9;25,5;21,1;89,4;
2011-06-30;191,6;32,9;26;21,4;88,8;
2011-07-31;119,3;33,7;26,1;21,2;87,3;
2011-08-31;118,1;35,2;26,6;21,5;84,9;
2011-09-30;192,6;34,4;26,5;22,6;85,4;
2011-10-31;209,8;34,4;27,1;23,1;85,2;
2011-11-30;156,3;34,2;26,8;23,3;86,6;
2011-12-31;266,5;33,6;26,5;23;86,3;
2012-01-31;368;33;26,1;23;88,4;
2012-02-29;393,1;32,3;25,4;22,5;90,7;
2012-03-31;511,8;32,7;25,8;22,6;88,7;
2012-04-30;264,2;33,4;26;22,8;88,2;
2012-05-31;336,7;33,2;25,9;22,9;89,2;
2012-06-30;188,5;33;25,8;22,6;88,1;
2012-07-31;293,8;32,1;25,3;22,4;90,5;
2012-08-31;155,8;33,2;25,7;22,3;91,1;
2012-09-30;259,8;34,8;26,3;22,5;90,1;
2012-10-31;97,8;35,2;26,8;22,8;87,4;
2012-11-30;126,8;36,5;27,6;23,5;83,5;
2012-12-31;192;33,1;26,4;23;86,2;
2013-01-31;144,9;33,2;26,4;23,4;86;
2013-02-28;432,8;32,5;26;23,3;87;
2013-03-31;461,9;33,3;26,4;23,4;85,9;
2013-04-30;336,6;33,1;26,4;23,3;86,9;
2013-05-31;426,7;32;25,9;23,2;89;
2013-06-30;313,3;32,2;25,9;22,9;89;
2013-07-31;164;31,4;25;22,1;87,6;
2013-08-31;295,8;31,6;25,6;22,6;93,5;
2013-09-30;226,9;32,7;26;22,8;92,1;
2013-10-31;117,6;33,8;26,7;23,1;91,5;
2013-11-30;348,7;33,7;26,6;23,1;91,6;
2013-12-31;105,9;33,1;26,8;23,6;92,4;
2014-01-31;368,7;33;26,5;23,1;92,5;
2014-02-28;280,9;33,1;26,4;23,1;91,1;
2014-03-31;270,9;32,7;26,2;23;95;
2014-04-30;341,5;33,2;26,2;22,9;96,1;
2014-05-31;410,1;32,8;26,2;22,8;94,2;
2014-06-30;null;null;null;null;null;
2014-07-31;173,7;31,9;25,5;22,2;90,9;
