Nome: BARCELOS
Codigo Estacao: 82113
Latitude: -0.97416666
Longitude: -62.9286111
Altitude: 30.65
Situacao: Temporariamente Fechada
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;61,8;34,2;28,2;23,7;76,8;
2010-02-28;148;32,7;27,6;24,2;83,2;
2010-03-31;155,4;33,5;27,8;24,2;84,5;
2010-04-30;513;31,4;26,7;23,8;89,6;
2010-05-31;232,7;31,4;26,9;24,1;89,7;
2010-06-30;150,4;32,4;27;23,8;87,1;
2010-07-31;155;31,4;26,4;23,2;86,5;
2010-08-31;91,1;32,6;26,7;23,2;84,5;
2010-09-30;70;33,8;27,7;23,7;82,9;
2010-10-31;123,3;34,1;27,8;23,6;81;
2010-11-30;245,1;33;27,1;23,5;84,9;
2010-12-31;147,2;32,9;26,9;23,3;85,6;
2011-01-31;152,6;32,2;26,8;23,5;84,7;
2011-02-28;313,7;31,7;26;22,8;87,8;
2011-03-31;257,8;31,4;26,2;23;87,8;
2011-04-30;274,1;31,2;26,1;23,2;88,6;
2011-05-31;443,2;30,9;26,1;23,4;89,6;
2011-06-30;226,7;31,8;26,5;23,5;87,5;
2011-07-31;244,1;32,1;26,5;23,1;85,2;
2011-08-31;114;33,1;27;22,9;82,2;
2011-09-30;123,1;33,4;27,1;23;82,7;
2011-10-31;87,5;33;27,2;23,3;82,9;
2011-11-30;76,8;32,6;27,1;23,6;85,4;
2011-12-31;147,6;33,2;27,4;23,8;84,3;
2012-01-31;260,8;31,7;26,3;23,3;87,2;
2012-02-29;464,7;30,6;25,8;22,9;88,8;
2012-03-31;319,3;31,2;26,7;23,8;86,5;
2012-04-30;479,8;30,5;25,7;22,9;90,7;
2012-05-31;474,2;31,1;25,9;23;89,7;
2012-06-30;306,7;31,9;26,3;22,8;86,9;
2012-07-31;299,9;31,5;26,1;22,9;86,3;
2012-08-31;132;32,7;26,6;22,7;83,7;
2012-09-30;122;33;26,5;22,4;85,6;
2012-10-31;129,1;33,7;27,2;23,3;83,9;
2012-11-30;162;33,9;27,6;23,7;84;
2012-12-31;237,2;32,5;26,7;23,4;86,7;
2013-01-31;78;33,6;27,9;24;79,5;
2013-02-28;397,4;31,3;25,9;23,1;90;
2013-03-31;271,9;32,3;26,8;23,7;85,9;
2013-04-30;223,8;32,7;27,2;24,1;85,4;
2013-05-31;335,1;31,7;26,4;23,5;88,2;
2013-06-30;267,1;31,9;26,5;23,4;87,5;
2013-07-31;232,2;31;25,5;22,3;87,1;
2013-08-31;251,8;31,7;26;22,9;92,2;
2013-09-30;79,5;33,3;26,9;23,2;89,7;
2013-10-31;87,8;33,7;27,4;23,3;88;
2013-11-30;180,2;32;26,6;23,2;90,9;
2013-12-31;43,9;33,8;27,9;24;85,1;
2014-01-31;180,3;32,6;27;23,4;87,7;
2014-02-28;221,1;32;26,5;23,3;89,8;
2014-03-31;302,2;31,9;26,4;23,5;93,7;
2014-04-30;210,5;32,1;26,6;23,7;91,2;
2014-05-31;null;31,6;26,5;23,7;93,2;
2014-06-30;0;31,5;26,5;23,7;91,8;
2014-07-31;0;32,1;26,3;22,9;91,1;
2014-08-31;136,9;32,6;26,4;22,8;90,7;
2014-09-30;null;null;null;null;null;
2014-10-31;189,7;32,6;26,5;23,1;90,1;
2014-11-30;181,8;32,7;27,1;23,7;91;
2014-12-31;88,6;33,7;27,8;23,9;83,8;
2015-01-31;173,4;32,3;26,2;23;90;
2015-02-28;null;34,3;28;23,8;84,3;
2015-03-31;191,7;31,9;26,6;23,6;91,2;
2015-04-30;494,2;31,8;26,5;23,4;92,8;
2015-05-31;250,2;31,5;26,2;23,5;93,9;
2015-06-30;143,2;32,3;26,6;23,3;91,7;
2015-07-31;null;33,2;27,3;23,6;86,1;
2015-08-31;null;null;null;null;null;
2015-09-30;24;35,4;28,5;23,9;84,3;
2015-10-31;8,2;34,7;27,9;24,1;85,1;
