Nome: SOURE
Codigo Estacao: 82141
Latitude: -0.72777777
Longitude: -48.51583333
Altitude: 12.6
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2021-07-24
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;236;31,5;27,8;25,6;82,1;
2010-02-28;438,5;31,7;28,2;25,9;83,1;
2010-03-31;214,6;32,7;28,7;26,3;80,8;
2010-04-30;465,5;32;27,3;22,6;86,4;
2010-05-31;254,2;32,7;28;23,5;84,8;
2010-06-30;234,4;32,6;27,6;23,2;82,1;
2010-07-31;114;32,3;27,6;23,1;81,4;
2010-08-31;221;32,2;27,8;23,6;79,7;
2010-09-30;55,1;32,3;28,7;26,1;75,7;
2010-10-31;21,4;32,8;29;26,5;74,2;
2010-11-30;94,2;32,7;29;26,5;75,3;
2010-12-31;87,2;34;28,6;25,5;81;
2011-01-31;667,6;null;null;23,8;88;
2011-02-28;493,1;29,3;26,2;24;89,4;
2011-03-31;597,1;29,7;26,4;24,3;89,8;
2011-04-30;555,2;29,5;26,2;24,2;89,3;
2011-05-31;359,7;30,4;27,2;25,1;87,4;
2011-06-30;89,3;31,1;27,8;25,7;80,3;
2011-07-31;131;31,3;27,6;25,3;81;
2011-08-31;118,6;31,2;28,2;25,8;77,2;
2011-09-30;13,9;31,2;28,5;26,7;76,4;
2011-10-31;106,7;31,5;28,6;26,2;74,8;
2011-11-30;68,4;31,4;28,5;26,1;75,4;
2011-12-31;95,7;31,1;28,3;26,1;77,4;
2012-01-31;114,8;30,6;27,7;25;82,2;
2012-02-29;579,1;29,6;26,3;23,5;87,6;
2012-03-31;808,2;29,6;26,3;23,3;89,7;
2012-04-30;432,8;30,4;27,1;23,8;88,2;
2012-05-31;155,9;31,2;27,8;24,4;81,3;
2012-06-30;134,8;30,9;27,5;23,8;81,3;
2012-07-31;82,5;31;27,6;24,1;79,8;
2012-08-31;132,6;30,8;27,5;24;79,3;
2012-09-30;12,6;31;27,9;24,8;76,7;
2012-10-31;0;31,3;28,1;24,9;75,3;
2012-11-30;0;31,5;28,2;24,7;76,1;
2012-12-31;47;31,6;28,3;24,9;77,5;
2013-01-31;331;30,5;27,2;23,3;85;
2013-02-28;230,3;30,3;27;22,8;85,3;
2013-03-31;555,3;30,3;27,3;24,4;86,9;
2013-04-30;510,1;30,6;27,2;24,4;89,8;
2013-05-31;338,8;31;27,5;24,6;89,8;
2013-06-30;86,6;31,4;27,9;25;80,9;
2013-07-31;203,8;30,9;27;23,4;82,1;
2013-08-31;125,1;31;27,5;24,1;81,8;
2013-09-30;48,6;31,2;28,2;25,4;78,3;
2013-10-31;7,9;31,5;28,4;25,6;75,9;
2013-11-30;18;31,4;28,2;25,2;76,5;
2013-12-31;34,8;31,4;28,3;25,4;77,3;
2014-01-31;221,9;29,9;26,6;23,2;84,1;
2014-02-28;507,4;28,9;25,7;22,1;90,2;
2014-03-31;497;29,1;25,8;22,1;91,1;
2014-04-30;652,3;29,5;26,1;22,1;90,4;
2014-05-31;437;30,1;26,4;22,3;90;
2014-06-30;226;30,7;27;22,4;86,7;
2014-07-31;214,4;30,6;26,8;21,9;83,4;
2014-08-31;50,2;30,6;27,2;22,5;79,6;
2014-09-30;5,1;31,2;27,7;23,3;75,7;
2014-10-31;39;31,4;27,9;23,3;76,8;
2014-11-30;0;31,5;27,9;23,3;75,1;
2014-12-31;10,5;31,7;28;23,1;76,1;
2015-01-31;97,5;null;null;22,4;79,2;
2015-02-28;268,7;null;null;21,2;85;
2015-03-31;567,2;null;null;20,4;89,4;
2015-04-30;424,3;null;null;22,4;86,7;
2015-05-31;202,1;null;null;23,2;82,7;
2015-06-30;155,5;null;null;23,1;79,7;
2015-07-31;173,3;31,1;27,8;23,1;78,7;
2015-08-31;39,7;31,2;28;23,5;76;
2015-09-30;0;31,7;28,4;24,1;72,2;
2015-10-31;5,7;32,1;28,7;24,3;73,4;
2015-11-30;7,2;32,2;28,7;24,2;72,4;
2015-12-31;8,7;32,3;28,8;24,1;73;
2016-01-31;195,1;31;27,7;22,6;80,2;
2016-02-29;450,5;30,1;27;21,7;86,1;
2016-03-31;552,1;30,4;26,9;21,4;87;
2016-04-30;368,1;30,8;27;21,4;88,4;
2016-05-31;null;31,9;28;21,8;82,7;
2016-06-30;null;31,9;27,5;21,5;81,1;
2016-07-31;null;31,7;27,3;21,7;80,3;
2016-08-31;null;31,5;27,7;22,4;77,2;
2016-09-30;null;32;28,1;23;74,4;
2016-10-31;null;null;null;null;null;
2016-11-30;null;32,4;28,5;23,6;74;
2016-12-31;null;31,6;27,6;22,4;79,2;
2017-01-31;602,9;29,8;26,1;20,4;89,6;
2017-02-28;null;null;null;null;null;
2017-03-31;604,9;29,4;25,5;20,6;92,1;
2017-04-30;291,7;30,2;26,2;21;90,1;
2017-05-31;188,6;31,8;27,1;21,7;85,2;
2017-06-30;231,2;31,9;26,8;21,3;86,8;
2017-07-31;74,1;32,6;null;null;76,6;
2017-08-31;11,2;32;null;null;76,2;
2017-09-30;null;null;null;null;null;
2017-10-31;10,6;32,3;null;null;76,1;
2017-11-30;1;32,3;29;26,5;73,2;
2017-12-31;272,8;31,3;28;25,2;81;
2018-01-31;185,2;30,3;null;null;84,2;
2018-02-28;457,2;29;null;null;91,6;
2018-03-31;340,7;30,3;null;null;86,8;
2018-04-30;335,6;30,1;null;null;90,3;
2018-05-31;227,1;30,5;26,7;24,9;90,1;
2018-06-30;51,9;31,8;28,1;25,9;81,3;
2018-07-31;146,5;31,4;27,7;25,5;80,9;
2018-08-31;92,1;31,2;28;26,3;78,7;
2018-09-30;0;32,2;29,1;27,3;75,8;
2018-10-31;null;null;null;null;null;
2018-11-30;null;null;null;null;null;
2018-12-31;266,9;29,9;26,8;24,6;88,4;
2019-01-31;370,7;30;27,1;25,2;86,8;
2019-02-28;600,4;28,8;26,1;24,6;92,9;
2019-03-31;586,4;28,9;26;24,5;93,3;
2019-04-30;null;29,6;26,6;24,7;90,8;
2019-05-31;196,9;31,1;27,9;25,8;87,2;
2019-06-30;114;31,9;28,4;26,3;82,8;
2019-07-31;92,3;32,1;28,4;26,2;81,1;
2019-08-31;83,6;31,9;28,4;26;78,4;
2019-09-30;null;null;null;null;null;
2019-10-31;29,8;32,5;29,3;27,4;73;
2019-11-30;28,9;32,5;29,2;27;74,3;
2019-12-31;16,7;31,9;29,1;28,1;76,6;
2020-01-31;421,1;30;27,1;25,1;87,5;
2020-02-29;395,9;29,8;26,7;24,8;90,5;
2020-03-31;335,9;30,2;26,9;24,9;88,2;
2020-04-30;275,1;30,1;27;25,1;90;
2020-05-31;236,1;31,9;28,4;26,4;84,4;
2020-06-30;233,6;31,8;28;25,6;85,6;
2020-07-31;66,6;32,3;28,5;26;83,8;
2020-08-31;66,6;32,1;29;26,9;78,4;
2020-09-30;null;null;null;null;null;
2020-10-31;0;32,5;29,5;27,6;77,3;
2020-11-30;null;31,7;28,4;26;82,8;
2020-12-31;23,9;31,8;28,9;26,9;79,8;
2021-01-31;166,9;30,7;27,9;25,8;83,7;
2021-02-28;299,3;29,6;26,8;24,9;89,3;
2021-03-31;314,7;29,5;26,4;24,4;91,3;
2021-04-30;null;31,1;27,9;25,7;87;
2021-05-31;236,8;31,1;27,6;25,3;87,7;
2021-06-30;170;31,4;28;25,5;84,8;
2021-07-31;null;31,8;28,1;25,9;84,7;

