Nome: TRACUATEUA
Codigo Estacao: 82145
Latitude: -1.06361111
Longitude: -46.86527777
Altitude: 24.68
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;118,2;32;26,9;22,3;81,7;
2010-02-28;208,2;32,1;27,1;22,6;84;
2010-03-31;132,3;33,3;27,5;22,2;83,1;
2010-04-30;379,5;31,9;26,6;22,2;90,9;
2010-05-31;119;32,8;27;22;87,2;
2010-06-30;291,2;32,6;26,1;20,7;86;
2010-07-31;375,9;32,2;26;20,3;87,7;
2010-08-31;138,1;32,4;26,2;20,1;84,6;
2010-09-30;11,8;32,9;26,5;19,9;78,7;
2010-10-31;25,3;34,1;27;19,9;76,3;
2010-11-30;27,1;33,7;27,1;20,3;77;
2010-12-31;160,9;33,3;26,8;20,5;80,2;
2011-01-31;449,1;30,8;25,4;19,9;88,1;
2011-02-28;325,6;30,2;25,2;20,3;90,4;
2011-03-31;387,5;31,4;25,6;20,1;88,9;
2011-04-30;503,1;31,2;25,6;20,4;88,9;
2011-05-31;379,4;31,6;25,9;20,5;88,8;
2011-06-30;226,3;31,7;25,6;19,4;86,8;
2011-07-31;211,6;31,9;25,7;19,2;85,7;
2011-08-31;38,1;32,9;26,1;18,9;81,3;
2011-09-30;34,1;33,4;26,5;19,1;78,2;
2011-10-31;62,9;33,7;26,6;19,1;76,3;
2011-11-30;4,2;33,9;26,8;19,1;74,1;
2011-12-31;0;33,8;27;19,1;72,5;
2012-01-31;86;32,7;26,3;19,6;78,8;
2012-02-29;174,1;31,4;25,4;19,1;85,6;
2012-03-31;302,2;31,2;25,5;19,5;88;
2012-04-30;341,1;32;26;19,5;86,3;
2012-05-31;140,3;32,1;25,9;18,8;83,1;
2012-06-30;112,7;32,2;25,8;19;83,2;
2012-07-31;198,3;31,9;25,7;19,5;84,2;
2012-08-31;132,9;32;25,9;19,9;82,5;
2012-09-30;2;32,9;26,7;21,5;76,3;
2012-10-31;3,8;33,4;27,1;21,9;73,8;
2012-11-30;40;33,9;27,5;21,9;72,5;
2012-12-31;19,2;33,4;27,6;22,9;75;
2013-01-31;85,6;32,4;27,2;22,9;81,3;
2013-02-28;107,2;32;26,6;21,2;82,7;
2013-03-31;342,3;31,5;26,4;21,3;85,6;
2013-04-30;326,5;32,3;26,3;20,8;88,9;
2013-05-31;312,1;31,7;25,8;20,1;88;
2013-06-30;118,3;32,3;25,9;19,3;84,6;
2013-07-31;157,2;null;null;19,1;84,8;
2013-08-31;82,3;null;null;19,8;82,9;
2013-09-30;78;null;null;22,2;78,7;
2013-10-31;1;null;null;22,6;73,9;
2013-11-30;1,6;null;null;null;null;
2013-12-31;null;null;null;null;null;
2014-01-31;null;30,8;26,4;23,3;84,1;
2014-02-28;445,2;29,7;26;23,7;90,3;
2014-03-31;323,2;29,8;26;23,7;90,2;
2014-04-30;432,4;29,8;25,9;23,3;91;
2014-05-31;423,2;30,3;25,9;23,1;91,7;
2014-06-30;231,9;31,1;26,3;23,1;89,2;
2014-07-31;104,6;30,6;25,9;22,5;87,4;
2014-08-31;49,7;31,3;26,3;22,4;83,9;
2014-09-30;5,5;31,5;26,5;22,4;80,9;
2014-10-31;10;32,3;27;22,8;79,8;
2014-11-30;0;32,9;27,2;22,5;74,7;
2014-12-31;108,2;32,3;27,1;22,9;75,2;
2015-01-31;28,2;31,9;27;23,2;77,3;
2015-02-28;142,4;31;26,3;23,5;85;
