Nome: OBIDOS
Codigo Estacao: 82178
Latitude: -1.905
Longitude: -55.5236111
Altitude: 54.72
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2021-07-24
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;216,9;32,1;27,4;24;83,9;
2010-02-28;211,4;32;27,5;24,4;84,6;
2010-03-31;226,4;32,6;27,9;24,4;84,1;
2010-04-30;356;31;27;24;88,2;
2010-05-31;369,4;31,3;27,5;24,4;86,5;
2010-06-30;102,8;32;27,5;24,2;82,7;
2010-07-31;177,4;31,7;27;23,7;82,4;
2010-08-31;51;32,9;28,1;24,3;78,7;
2010-09-30;57,9;34,2;28,6;24,6;76,1;
2010-10-31;64,9;34,7;29;24,8;72,7;
2010-11-30;186,4;33,1;28;24,4;78,6;
2010-12-31;231,4;32;27,3;24;82,6;
2011-01-31;421,6;30,4;26,1;23,2;85,9;
2011-02-28;347,3;30,6;26,2;23,5;86,2;
2011-03-31;497,4;31,1;26,5;23,5;86,2;
2011-04-30;379,4;30,3;26,2;23,4;87,6;
2011-05-31;180,5;30,8;26,9;24;86,1;
2011-06-30;74,6;31,8;27,3;24,2;82,4;
2011-07-31;56;31,8;27,2;23,9;85,2;
2011-08-31;80;33,3;28,3;24,4;79,7;
2011-09-30;34,4;33,9;28,7;24,5;77,7;
2011-10-31;null;null;null;null;null;
2011-11-30;161,6;33;28,2;24,6;83;
2011-12-31;107,4;33,4;28,7;24,8;79,4;
2012-01-31;245,3;31,3;26,6;23,5;88,1;
2012-02-29;452,1;30,6;26,1;23;88,7;
2012-03-31;249,1;30,8;26,3;23,3;87,5;
2012-04-30;172,5;31,4;26,9;23,8;88;
2012-05-31;79,7;31,8;27,3;23,9;86;
2012-06-30;81,3;31,9;27,3;23,5;85,7;
2012-07-31;null;null;null;null;null;
2012-08-31;10,3;32,8;28,3;24,2;77,9;
2012-09-30;42;33,6;28,4;24,2;76;
2012-10-31;38,7;33,8;28,9;24,8;75,7;
2012-11-30;65,5;34,4;29,5;25,1;74,2;
2012-12-31;219,5;32;27,3;23,8;83,9;
2013-01-31;418,2;31,4;26,8;23,7;88,4;
2013-02-28;338,1;31;26,5;23,6;88,1;
2013-03-31;391,1;31,1;26,6;23,9;89,2;
2013-04-30;323,2;31,3;26,9;24,1;88,4;
2013-05-31;194,9;31,5;27,1;24,2;88;
2013-06-30;61,2;31,9;27,5;24,3;84;
2013-07-31;null;null;null;null;null;
2013-08-31;127,4;32,3;27,7;23,9;83,2;
2013-09-30;66,6;32,6;28;24,3;81,1;
2013-10-31;13,5;33,2;28,6;24,7;76,8;
2013-11-30;165,8;32,5;28;24,4;80,6;
2013-12-31;77,8;32,2;28;24,4;80,9;
2014-01-31;255,7;31,1;26,8;23,5;84,4;
2014-02-28;210,7;30,2;26,1;23,2;88,8;
2014-03-31;343,6;30,5;26,5;23,7;87;
2014-04-30;404,6;30,5;26,7;24,1;85,6;
2014-05-31;253,4;30,4;26,7;24;88,2;
2014-06-30;102,2;31;27,1;24;85,7;
2014-07-31;58,6;31,3;27,4;24;83,1;
2014-08-31;15,4;32,7;28;24,3;79,9;
2014-09-30;38;32,7;28,3;24,3;77,3;
2014-10-31;null;null;null;null;null;
2014-11-30;86,9;32,8;28,4;24,7;78,9;
2014-12-31;42,6;33,1;28,6;24,7;78,2;
2015-01-31;208,8;31;26,7;23,6;85,4;
2015-02-28;165,4;30,6;26,5;23,7;87,6;
2015-03-31;355,9;29,5;26;23,5;89,6;
2015-04-30;287,8;30,3;26,5;23,8;88,3;
2015-05-31;172,4;30,1;26,8;24,2;87,2;
2015-06-30;51,4;30,9;27,2;24,1;83,8;
2015-07-31;127,3;30,9;27,1;24;84,1;
2015-08-31;3,2;32,4;28,3;24,7;79,6;
2015-09-30;1,4;33,1;28,9;25,1;76,2;
2015-10-31;26,2;32,9;29;25,1;74,4;
