Nome: MONTE ALEGRE
Codigo Estacao: 82181
Latitude: -2
Longitude: -54.07638888
Altitude: 100.52
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;14,8;31,3;27;23,7;79,1;
2010-02-28;177,6;31,1;27,2;24,2;80,2;
2010-03-31;114,7;32;27,9;24,5;78;
2010-04-30;355,2;30,2;26,8;23,9;86,1;
2010-05-31;267,5;31,2;27,4;24,5;83,7;
2010-06-30;84,6;31,4;27,4;24;78,9;
2010-07-31;223,8;31,2;27,1;23,5;77,1;
2010-08-31;69,8;32,5;28,1;24,5;73;
2010-09-30;16,6;33,1;28,5;24,4;70,4;
2010-10-31;22,5;34,1;28,9;24,5;68;
2010-11-30;85,7;33;28,4;24,5;71,9;
2010-12-31;193,6;31,8;27,3;23,9;77,1;
2011-01-31;351,8;30;25,8;23,1;84,2;
2011-02-28;274;29,7;25,8;23;84,6;
2011-03-31;453,5;29,9;26;23,1;84,6;
2011-04-30;512,3;30;26;23,2;84,9;
2011-05-31;429,3;30,1;26,5;23,6;83;
2011-06-30;117,3;30,9;27;23,7;79,8;
2011-07-31;70,4;31;27;23,7;77,5;
2011-08-31;5,3;32,6;28,2;24,4;70,3;
2011-09-30;12,4;33,4;28,6;24,4;69,4;
2011-10-31;106,5;33,2;28,4;24,4;70,9;
2011-11-30;41,9;32,5;28,1;24,3;73;
2011-12-31;9,4;33,3;28,6;24,3;67,9;
2012-01-31;223,9;31,2;26,9;23,5;77,2;
2012-02-29;326,6;29,7;25,8;22,8;83,4;
2012-03-31;361,9;30;26,1;23,1;83;
2012-04-30;234,6;30,8;26,7;23,5;82,1;
2012-05-31;213,8;30,8;27;23,4;79,2;
2012-06-30;174,8;30,6;26,8;23,2;78,5;
2012-07-31;181,5;31;26,9;23,2;76,8;
2012-08-31;10,3;32,3;27,9;23,9;72,4;
2012-09-30;1,4;33;28,4;24;69,5;
2012-10-31;5,6;33,5;28,6;24,3;68,8;
2012-11-30;46,4;34,2;29;24,4;67,9;
2012-12-31;185,1;31,4;27,2;23,5;79,2;
2013-01-31;166,9;31,2;26,9;23,5;81,8;
2013-02-28;145,5;30,4;26,2;22,9;83,8;
2013-03-31;151,7;30,9;26,7;23,7;83,2;
2013-04-30;228,9;30,6;26,7;23,4;84,7;
2013-05-31;216,1;30,5;26,6;23,1;83,6;
