Nome: PORTO DE MOZ
Codigo Estacao: 82184
Latitude: -1.751055
Longitude: -52.236186
Altitude: 13.08
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;256,8;31,2;26,8;24,2;84,2;
2010-02-28;225;31,6;27,3;24,6;84,7;
2010-03-31;202;32,6;28;25,1;81,8;
2010-04-30;540,2;31,1;27,2;24,5;86,7;
2010-05-31;349,5;31,7;27,7;24,9;84,8;
2010-06-30;181,8;32;27,7;24,4;81,7;
2010-07-31;null;null;null;null;null;
2010-08-31;70,8;33,1;28,2;24,6;78,4;
2010-09-30;53,2;33,7;28,6;24,7;75,4;
2010-10-31;51;34,4;29,1;24,8;72,8;
2010-11-30;39,3;33,6;28,6;24,8;76,2;
2010-12-31;141;32,1;27,4;24,3;82,2;
2011-01-31;377,4;30,4;26,1;23,6;87,1;
2011-02-28;317,3;30,8;26,3;23,6;85,7;
2011-03-31;309,7;30,8;26,6;24;85,6;
2011-04-30;404,1;30,2;26,4;23,9;87,9;
2011-05-31;430,2;31,1;27;24,1;86,6;
2011-06-30;225,8;32,2;27,5;24,3;82,6;
2011-07-31;null;null;null;null;null;
2011-08-31;51,4;33,9;28,6;24,8;81,5;
2011-09-30;38,1;34,2;28,8;24,8;75,6;
2011-10-31;48,6;33,9;28,7;24,9;73,8;
2011-11-30;92,7;33,1;28,3;24,7;76,5;
2011-12-31;36,7;34;28,7;25;73,5;
2012-01-31;189,6;31,3;26,6;23,9;83;
2012-02-29;451;30,8;26,1;23,4;85,2;
2012-03-31;374,4;30,3;26,2;23,7;87,7;
2012-04-30;517,6;31;26,7;24,1;87,6;
2012-05-31;300,9;32,4;27,6;24,4;81,7;
2012-06-30;140,2;32,2;27,5;24,3;81,3;
2012-07-31;251;32;27,4;24,2;81,2;
2012-08-31;91,9;32,9;28,1;24,5;77,7;
2012-09-30;68,7;33;28,2;24,5;75,7;
2012-10-31;28,1;33,4;28,6;24,8;74;
2012-11-30;9,6;34,4;29,2;25,2;72,6;
2012-12-31;114,5;32,8;27,9;24,5;79,1;
2013-01-31;146,2;31,3;27;24,4;84,6;
2013-02-28;271,8;30,9;26,5;24;86;
2013-03-31;290,2;31,3;27;24,7;85,6;
2013-04-30;370,7;31;27,1;24,7;85,9;
2013-05-31;343,8;31,6;27,3;24,3;85,5;
2013-06-30;232,9;32,6;27,9;24,5;81,1;
2013-07-31;199,7;32,2;27,3;23,8;81,8;
2013-08-31;196,7;33,1;27,8;24,4;80,8;
2013-09-30;79,5;33,1;28,2;24,7;77,6;
2013-10-31;114,8;33,5;28,6;25;75,3;
2013-11-30;26,4;32,9;28,3;24,8;76;
2013-12-31;96;33;28,3;24,8;76,1;
2014-01-31;172,2;31,3;26,9;23,9;81,4;
2014-02-28;235,1;30,4;26,2;23,9;87,1;
2014-03-31;390,9;30,6;26,4;24,2;86,9;
2014-04-30;457,5;31,2;27;24,5;84,9;
2014-05-31;303,9;31,2;27,3;24,7;85,1;
2014-06-30;270,8;32,1;27,8;24,5;82,5;
2014-07-31;152,1;32,3;27,7;24,2;81,5;
2014-08-31;146,5;33;28,1;24,5;81,7;
2014-09-30;49,3;33,4;28,4;24,7;79,5;
2014-10-31;35,5;33,6;28,6;24,9;78,3;
2014-11-30;9,4;34,1;29,1;25,1;74,8;
2014-12-31;17,6;33,8;28,7;25,1;71,4;
2015-01-31;203,4;31,7;26,7;23,7;80,4;
2015-02-28;143,7;31;26,6;24;83,7;
2015-03-31;268,3;30,5;26,6;24,2;86,4;
