Nome: BREVES
Codigo Estacao: 82188
Latitude: -1.68027777
Longitude: -50.47805554
Altitude: 9.8
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;220,6;33,5;27,5;23,1;82,7;
2010-02-28;267,5;33,4;27,4;23;83,7;
2010-03-31;313,9;33,3;null;null;86,1;
2010-04-30;391,7;32,7;null;null;87,3;
2010-05-31;276;33,2;null;null;85,6;
2010-06-30;161,6;33,5;null;null;84;
2010-07-31;64,4;33,6;null;null;83,7;
2010-08-31;37,8;33,9;null;null;80,4;
2010-09-30;33,3;34,1;null;null;81,8;
2010-10-31;34;34;28,1;24,3;82,1;
2010-11-30;114,4;34,1;28,1;24,2;82,6;
2010-12-31;128,8;34;27,9;24,2;83;
2011-01-31;251,4;33,3;27,7;24,1;84,9;
2011-02-28;201,8;32,1;26,8;23,4;87,4;
2011-03-31;493;31,5;26,4;23,6;89,4;
2011-04-30;198;32,1;26,9;23,9;87,9;
2011-05-31;172,6;32;27,1;23,9;86,2;
2011-06-30;63,8;32,8;27,6;24,4;84,5;
2011-07-31;89,8;32,9;27,7;24,5;84,4;
2011-08-31;32,4;34,2;27,9;22,2;80,4;
2011-09-30;58,5;34,1;27,7;22,5;80,8;
2011-10-31;198,7;34;27,5;22,5;82,2;
2011-11-30;19,2;33,2;28,2;null;82,9;
2011-12-31;19,2;32,8;27,8;23,8;84,2;
2012-01-31;266,7;31,8;26,4;23,3;87,6;
2012-02-29;390,1;31,2;26;22,9;87,7;
2012-03-31;445,6;31,6;26,2;23,3;88,8;
2012-04-30;415,2;31,2;26,6;23,4;87,6;
2012-05-31;41,8;32,3;27,3;24;85,7;
2012-06-30;21,6;32,5;27,5;24,4;85,1;
2012-07-31;121;33;27,4;24,1;83,7;
2012-08-31;66,3;33;27,2;null;82,2;
2012-09-30;73,1;32,9;27,4;null;83,6;
2012-10-31;53,6;33,5;27,6;null;81,4;
2012-11-30;35,5;34,6;28,2;null;78,9;
2012-12-31;179,9;32,6;27,4;null;84,3;
2013-01-31;210,5;32,1;26,6;null;88,3;
2013-02-28;295,2;31,1;26;null;90,3;
2013-03-31;290,8;31,9;27,1;null;86,9;
2013-04-30;240,6;32,1;27,1;null;86,4;
2013-05-31;251,2;32,3;27;null;86,1;
2013-06-30;169,1;33,4;27,3;23,6;83,8;
2013-07-31;153,6;32,7;26,9;23;84,7;
2013-08-31;92,2;33;27,2;23,6;84,3;
2013-09-30;81,1;33,4;27,5;23,4;83,1;
2013-10-31;36,7;33,9;28,1;23,5;80;
2013-11-30;104,4;33,3;27,6;23,3;82,4;
2013-12-31;138,1;33,4;27,4;23,4;83,5;
2014-01-31;260,4;31,5;26,2;22,9;87,6;
2014-02-28;109,6;31,9;26,7;23,4;87,7;
2014-03-31;403,5;31,1;26,1;23,2;90,6;
2014-04-30;309,6;31,9;26,7;23,4;87,6;
2014-05-31;349;31,7;26,5;23,3;88,1;
2014-06-30;217,3;32,7;27,3;23,6;83,3;
2014-07-31;180,2;32,5;27,4;23,7;84,8;
2014-08-31;165,4;32,7;27,4;23,6;84,3;
2014-09-30;73,5;33,7;27,6;23;79,6;
2014-10-31;70,9;33,6;27,5;22,9;80,8;
2014-11-30;66,4;33,1;27,4;23;83;
2014-12-31;168,9;32,8;27,1;22,8;85,1;
2015-01-31;316,8;32;26;22,2;86,9;
2015-02-28;307,4;31,3;25,9;22,6;88,8;
2015-03-31;302,5;32;26,7;23;87,2;
2015-04-30;338;32;26,5;22,9;87,5;
2015-05-31;149,6;32,5;26,9;22,8;84,2;
2015-06-30;249,6;32,8;26,9;22,9;84,3;
2015-07-31;89,6;33,3;27,2;22,8;79,5;
2015-08-31;14,8;33,3;27,2;22,7;83,2;
2015-09-30;7,8;33,7;28;22,9;77,7;
2015-10-31;14,2;33,3;28,4;22,7;75,7;
2015-11-30;71,6;33,1;27,6;22,9;82,2;
2015-12-31;205,4;32,5;27,2;22,7;84,6;
2016-01-31;285,7;31;26,9;21,8;85,2;
2016-02-29;354,6;31,1;26,4;21,7;87,1;
2016-03-31;440,8;32;26,7;22,6;86,7;
2016-04-30;307,2;32,3;27,3;22,1;83,1;
2016-05-31;271,7;32,9;27,4;22,4;83,3;
2016-06-30;171,2;33,6;27,8;22,9;82;
2016-07-31;91;32,9;27,4;22,9;84,2;
2016-08-31;17;33,7;28;23,1;80,8;
