Nome: BELEM
Codigo Estacao: 82191
Latitude: -1.43583333
Longitude: -48.43722221
Altitude: 7.13
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;452,3;31,2;26,5;23,2;88,1;
2010-02-28;359,7;31,9;27,1;23,8;87,9;
2010-03-31;296,8;32,9;27,7;24,2;86;
2010-04-30;450,4;31,6;26,8;23,9;90,6;
2010-05-31;403;32,6;27,6;24,1;86,5;
2010-06-30;176,3;32,7;27,4;23,8;81,9;
2010-07-31;132,1;33;27,5;23,9;80,5;
2010-08-31;188,1;33,5;27,9;24,1;79,1;
2010-09-30;95,5;33,6;28;24,2;77,6;
2010-10-31;152,1;33,2;27,8;23,6;80,1;
2010-11-30;134,2;33,8;27,9;24;80,4;
2010-12-31;224,8;32,9;27,3;23,8;85,6;
2011-01-31;520,3;31,3;25,9;23;90,2;
2011-02-28;332,4;31;26,1;23,2;90,8;
2011-03-31;490,9;31,4;26,3;23,3;90,1;
2011-04-30;579,4;31,8;26,6;23,5;89,3;
2011-05-31;477,3;33,5;27,7;24,4;85;
2011-06-30;241,5;33,1;27,2;23,4;83,1;
2011-07-31;195,3;33;27;23,2;81,9;
2011-08-31;179,4;33,9;27,4;23,3;80,8;
2011-09-30;60,3;33,8;28;24;77;
2011-10-31;139,1;33,3;27,7;23,5;78,8;
2011-11-30;174,6;33;27,6;23,7;79,8;
2011-12-31;201,7;32,7;27,2;23,3;81,3;
2012-01-31;451,2;31,4;26,4;23;87,3;
2012-02-29;411,9;30,4;25,7;22,7;90,1;
2012-03-31;742,5;30,9;26;22,9;90,7;
2012-04-30;382,8;32;26,8;23,2;87,4;
2012-05-31;225,1;32,5;26,8;22,4;83,4;
2012-06-30;320;32,3;26,5;22,1;84,1;
2012-07-31;313,2;32,4;26,7;22,3;82,5;
2012-08-31;112,2;32,7;27;22,2;79,7;
