Nome: TURIACU
Codigo Estacao: 82198
Latitude: -1.66138888
Longitude: -45.37194443
Altitude: 34.48
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;202,4;32;27,4;23,8;78,9;
2010-02-28;145,7;32,4;28;24,2;78,6;
2010-03-31;160,1;32,8;28;24;78,7;
2010-04-30;413,7;31,1;26,8;22,8;87,2;
2010-05-31;197,6;32,4;27,5;22,9;83,8;
2010-06-30;345,4;32,1;26,8;22,1;82,7;
2010-07-31;305,2;31,9;26,8;21,7;83,1;
2010-08-31;63,3;32,7;27,2;22,8;77,6;
2010-09-30;18,9;33,2;27,7;23,8;72,9;
2010-10-31;0;33,6;28,3;24,6;72,8;
2010-11-30;30,5;33,4;28,4;24,9;73,1;
2010-12-31;126,4;32;27,5;24;78,5;
2011-01-31;534,9;30,2;26,2;22,9;84,6;
2011-02-28;416,5;29,9;null;null;87,7;
2011-03-31;371,7;30,3;null;null;87,6;
2011-04-30;381,7;30,6;null;null;87,6;
2011-05-31;390,8;30,5;null;null;87,3;
2011-06-30;167,8;31,5;null;null;82,7;
2011-07-31;225,1;31,2;null;null;82,8;
2011-08-31;122,7;32,2;null;null;78,9;
2011-09-30;13,3;33;27,6;24,2;75,1;
2011-10-31;104,8;33;27,8;23,9;74,8;
2011-11-30;7,2;33,4;27,9;23,9;73,7;
2011-12-31;1,4;33,4;28;null;72,2;
2012-01-31;146,6;32,5;27,6;null;76;
2012-02-29;221,4;30,9;null;null;81;
2012-03-31;291;30,6;26,7;null;85,2;
2012-04-30;242,4;31,4;27,5;null;82,4;
2012-05-31;146,1;31,9;27,4;null;80,6;
2012-06-30;227,3;31,7;27;null;82,1;
2012-07-31;81,6;31,4;26,9;null;81,2;
2012-08-31;33,5;32,6;27,3;null;76,9;
2012-09-30;0;33,6;27,7;null;72,2;
2012-10-31;15,8;33,5;27,7;null;73,1;
2012-11-30;8,6;33,3;28;null;72,9;
2012-12-31;31,9;33,1;28,2;null;73,8;
2013-01-31;83,3;32,2;28,1;null;76,2;
2013-02-28;126,4;31,9;27,6;null;78,6;
2013-03-31;324,3;31,5;27,6;null;81,7;
2013-04-30;263,1;31,4;27,3;null;84,4;
2013-05-31;466,6;31,5;27;24,1;86,3;
2013-06-30;98,3;32,2;27,4;23,9;81,5;
2013-07-31;204,3;31,6;26,8;23,3;83,3;
2013-08-31;30,4;32,3;27,6;24,6;78,6;
2013-09-30;15,7;32,8;27,7;24,4;74,3;
2013-10-31;9,3;33,5;28,1;24,6;71,2;
2013-11-30;4,5;33,4;28,2;24,5;72,7;
2013-12-31;,3;33,9;28,4;24,8;71,5;
2014-01-31;104,9;32,1;27,4;23,9;76,2;
2014-02-28;239,8;31;26,9;23,9;84,3;
2014-03-31;375,9;30,8;26,9;23,9;84,7;
2014-04-30;475,1;30,6;26,5;23,1;87,2;
2014-05-31;534,8;31,1;26,7;23,3;86,4;
2014-06-30;137,9;32;27,3;23,7;83;
2014-07-31;109;31,6;27,1;23,8;80;
2014-08-31;26,5;32,4;27,2;23,6;79;
2014-09-30;2,1;33,4;27,8;24;72,9;
2014-10-31;4,3;33,9;28,2;24,3;72,4;
2014-11-30;5,7;33,3;28;24,2;73,3;
2014-12-31;31,4;33;27,9;24,2;73,9;
2015-01-31;7;32,4;27,7;24,1;74,9;
2015-02-28;243,5;31,6;27;23,5;80,1;
2015-03-31;342,2;30,2;26,4;23,2;85,7;
2015-04-30;458,9;30,3;26,3;22,8;86,3;
2015-05-31;234,7;31,9;27,2;23,3;83,6;
2015-06-30;142,4;31,3;26,8;22,9;84,3;
2015-07-31;128,2;31,4;26,8;22,7;81,5;
