Nome: FONTE BOA
Codigo Estacao: 82212
Latitude: -2.51583333
Longitude: -66.10083333
Altitude: 59.34
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;286,6;32,8;27,1;23,1;84,3;
2010-02-28;180,8;33,1;27,5;23,3;83,1;
2010-03-31;198,5;33;27,3;23,1;85,2;
2010-04-30;269,3;31,4;26,5;22,9;88,3;
2010-05-31;333,9;31,4;26,6;23;86,4;
2010-06-30;249,7;32;26,6;23,1;86,1;
2010-07-31;225,2;31,3;25,9;22,3;85;
2010-08-31;81,1;33,3;27;22,8;83,9;
2010-09-30;42,7;33,9;27,5;23,2;81,3;
2010-10-31;175,4;33,7;27,2;22,9;83;
2010-11-30;124,1;33,3;27,2;23;82,6;
2010-12-31;167,9;32,6;26,6;22,7;84,7;
2011-01-31;210,4;32,1;26,6;22,8;83,6;
2011-02-28;192,6;31,9;26,5;22,7;83,5;
2011-03-31;256,8;32,4;26,5;22,6;85,1;
2011-04-30;445,6;32,1;26,1;22,2;86,7;
2011-05-31;448,6;31;26,1;22,5;87,1;
2011-06-30;150,5;31,8;26,5;22,6;85,2;
2011-07-31;100,5;32,3;26,4;22,6;84,8;
2011-08-31;31;33,9;27,3;22,8;79,6;
2011-09-30;176,1;33,3;27;22,7;81,8;
2011-10-31;192,1;33,3;27;23;84;
2011-11-30;211,9;33,2;26,9;22,9;85,1;
2011-12-31;257,7;32,8;27;23;83,1;
2012-01-31;553,7;31,6;26,4;22,9;84,6;
2012-02-29;187,4;31,3;26;22,9;85,8;
2012-03-31;442,1;30,7;25,6;21,8;88,9;
2012-04-30;299;31,5;26,2;22,3;89,1;
2012-05-31;357,3;31,8;26,3;22,7;87;
2012-06-30;214,2;31,6;26,3;22,6;86,6;
2012-07-31;239,8;31,4;26,2;22,4;85,9;
2012-08-31;94;33,6;27,1;23;81,9;
2012-09-30;115,5;33,5;27;22,7;82,2;
2012-10-31;57,2;33,4;27,2;23;83,5;
2012-11-30;99,2;33,4;27,5;23,2;82,2;
2012-12-31;286,5;32,4;26,6;22,6;83,9;
2013-01-31;154,9;32,4;27;23;81,6;
2013-02-28;312,1;31,3;26,2;22,7;86,8;
2013-03-31;325,3;31,9;26,5;22,4;87,3;
2013-04-30;230,8;32,4;26,8;22,8;83,5;
2013-05-31;459;31,6;26,4;22,5;85,6;
2013-06-30;284,4;31,8;26,5;22,7;83,8;
2013-07-31;265,1;31;25,6;21,7;86,1;
2013-08-31;258,1;31,9;26,2;22,1;83,7;
2013-09-30;138,3;32,8;26,8;22,8;83,6;
2013-10-31;71,2;33,5;27,4;23,3;81,8;
2013-11-30;299,9;32,7;26,8;22,9;85,8;
2013-12-31;168,6;32,5;26,7;22,8;85,1;
2014-01-31;288;32,1;26,4;22,8;84,1;
2014-02-28;276,6;31,4;26,4;22,8;83,7;
2014-03-31;489,2;31,7;26,1;22,1;87,9;
2014-04-30;332,6;31,6;26,4;22,8;86,2;
2014-05-31;391,6;31;26,1;22,4;86,7;
2014-06-30;341,3;31,2;26,3;22,6;85,3;
2014-07-31;189,4;31,8;26,1;22,1;84,2;
2014-08-31;134,6;32;26,5;22,7;83,7;
2014-09-30;104,7;33,6;27,3;23,2;80,4;
2014-10-31;118,2;32,7;26,7;23;83,9;
2014-11-30;193,5;32,8;27,1;23;83,3;
2014-12-31;314,1;32,5;26,7;22,8;83,8;
2015-01-31;357,1;31,5;26,3;22,8;83,6;
2015-02-28;118,3;32,3;26,9;22,7;81,6;
2015-03-31;157,4;31,4;26,5;22,1;88,7;
2015-04-30;118;32,2;26,6;22,8;84,7;
2015-05-31;216,5;31,7;26,5;22,4;84,5;
2015-06-30;102,5;31,8;26,7;22,4;83,4;
2015-07-31;76;32,2;26,5;22,6;82,8;
2015-08-31;110;33,2;27,1;22,8;82,5;
2015-09-30;42,6;35,2;28,1;23,3;79,4;
2015-10-31;108,2;32,5;26,9;23;84,4;
2015-11-30;83,7;33,8;27,7;23,1;80,5;
2015-12-31;174,7;32,7;27;23;83,8;
2016-01-31;215,3;32,9;27,5;23;81,1;
2016-02-29;284;32,6;27,3;22,9;82;
2016-03-31;175,4;32,2;27,2;22,5;85,6;
2016-04-30;253,2;31,8;26,8;22,5;84,4;
2016-05-31;200,1;31,8;26,7;22,6;85,3;
2016-06-30;232,2;31,6;26,3;22,4;86,1;
2016-07-31;189,2;31,7;26,3;22,4;84,8;
2016-08-31;88,8;33,6;27,3;23;81,9;
2016-09-30;121,7;32,6;26,7;22,4;83,1;
2016-10-31;113,1;33;27,1;22,7;82;
2016-11-30;95,8;32,8;27,5;23;83,1;
2016-12-31;125,6;31,8;27,5;23,1;84,7;
2017-01-31;217,4;30,7;26,6;22,9;83,9;
2017-02-28;267,1;31,1;27,4;22,9;83,4;
2017-03-31;291,9;31,1;27,4;22,8;86;
2017-04-30;147,8;31,5;27,2;22,9;84,8;
2017-05-31;297,4;32,1;27,8;23,1;82,8;
2017-06-30;144,5;31,4;26,8;22,8;85,1;
2017-07-31;111,2;31,4;25,8;21,7;82,7;
2017-08-31;59,7;33,7;27;22,8;79,3;
2017-09-30;149,6;33;26,9;22,7;81,2;
2017-10-31;100;32,8;27,1;22,8;80,3;
2017-11-30;104,6;33;27;22,7;80,8;
2017-12-31;356,3;32,8;null;null;81,7;
2018-01-31;196,4;32,1;null;null;82,4;
2018-02-28;177,1;31,9;null;null;83,1;
2018-03-31;211,6;32,7;null;null;81,9;
2018-04-30;417,5;31;null;null;85,7;
2018-05-31;404,4;31,6;null;null;83,4;
2018-06-30;78;30,8;null;null;82,5;
2018-07-31;180;31,7;null;null;81,9;
2018-08-31;140,9;32,3;null;null;81,6;
2018-09-30;113,2;33,4;null;null;78,9;
2018-10-31;120,3;34,4;null;null;79,1;
2018-11-30;271,9;32,5;null;null;82,1;
2018-12-31;386,4;31,5;null;null;85,3;
2019-01-31;232,9;31,5;26,3;22;83,5;
2019-02-28;319;32,5;27;22,9;84;
2019-03-31;105,6;33,2;27,6;23,3;87,5;
2019-04-30;161,8;32,2;26,8;22,7;85,2;
2019-05-31;215,6;31,6;26,5;22,4;86,5;
2019-06-30;313,4;32;26,7;22,6;86,9;
2019-07-31;173,8;31,5;26,1;22;86,2;
2019-08-31;70,5;33,1;27,1;22,2;81,9;
2019-09-30;90,2;33,8;27,7;22,9;86,6;
2019-10-31;355,5;32,2;26,6;22,4;87,4;
2019-11-30;199,8;32,5;27,1;22,8;88,8;
2019-12-31;181,5;32,4;27;23;89;
2020-01-31;172,7;32,4;27,2;22,6;85,8;
2020-02-29;149,9;33,3;27,7;22,9;80,6;
2020-03-31;null;33,6;27,7;23,4;87,5;
2020-04-30;null;null;null;null;null;
2020-05-31;null;null;null;null;null;
2020-06-30;null;null;null;null;null;
2020-07-31;null;33,1;null;22,9;null;
2020-08-31;72,2;32,8;27,2;22,5;82,7;
2020-09-30;185,6;33,1;26,9;21;84,8;
2020-10-31;128;33,9;27,4;21,3;83,1;
2020-11-30;314,8;33,1;27,5;21,7;82,1;
2020-12-31;249,9;32,3;26,6;21,3;83;
2021-01-31;308,3;null;null;21,3;null;
2021-02-28;309,4;null;null;21,7;null;
2021-03-31;507,4;31,5;26,4;21,2;84,3;
2021-04-30;287,1;31,5;27,1;21,9;85,7;
2021-05-31;373,7;31;27,7;22,5;85,5;
2021-06-30;329,4;31;27,6;22,5;84;
2021-07-31;111,6;30,9;27,3;23;79,7;
2021-08-31;93,6;32,7;29;23,8;74,6;
2021-09-30;104,4;32,8;null;null;77,9;
2021-10-31;128;31,9;null;null;85,4;
2021-11-30;201,3;31,7;null;null;84,1;
2021-12-31;271,2;31,5;null;null;82,4;
2022-01-31;162,3;32,2;null;null;79,3;
2022-02-28;278,9;31,2;null;null;77;
2022-03-31;239,2;30,4;null;null;84,7;
2022-04-30;null;null;null;null;null;
2022-05-31;144,1;30,4;null;null;89,4;
2022-06-30;162;31,2;null;null;84,6;
2022-07-31;180,2;31,6;null;null;83;
2022-08-31;51,4;31,6;null;null;80,1;
2022-09-30;40,8;32,8;null;null;77,2;
2022-10-31;136,3;32,7;null;null;79,2;
2022-11-30;160,4;30,9;null;null;81,5;
2022-12-31;90,9;31,9;null;null;81,3;
2023-01-31;195,4;31;null;null;86,1;
2023-02-28;null;31,1;null;null;88,5;
2023-03-31;null;null;null;null;null;
2023-04-30;285,3;30,3;null;null;88,1;
2023-05-31;159,9;30,3;null;null;86,7;
2023-06-30;154;29,9;null;null;88;
2023-07-31;81,5;31,5;null;null;85,2;
2023-08-31;79,4;34,2;null;null;78,6;
2023-09-30;119,7;34,4;null;null;81,7;
2023-10-31;177,4;33,4;null;null;80,5;
2023-11-30;221,9;32,9;null;null;83,1;
2023-12-31;250,8;32,1;null;null;83,2;
2024-01-31;175,6;32,7;null;null;83,7;
2024-02-29;147;32,6;null;null;81,3;
2024-03-31;null;null;null;null;null;
2024-04-30;null;33,2;28,5;23,4;87,3;
2024-05-31;188,1;32;28,1;24,2;86,3;
2024-06-30;208,7;32,4;28,5;24,8;86,3;
2024-07-31;185,2;31,9;28,1;23,9;85,6;
2024-08-31;183,1;null;null;null;null;
2024-09-30;144;null;null;null;null;
2024-10-31;16,1;null;null;null;null;
2024-11-30;160,4;null;null;null;null;
2024-12-31;null;null;null;null;null;

