Nome: PARINTINS
Codigo Estacao: 82240
Latitude: -2.62999999
Longitude: -56.72999999
Altitude: 29
Situacao: Desativada
Data Inicial: 2010-01-01
Data Final: 2016-01-29
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;208,8;32,1;27,9;24,8;84,1;
2010-02-28;125,2;31,9;28;25,2;85,8;
2010-03-31;175,7;32,6;28,5;25,6;83,3;
2010-04-30;490,9;31,1;27,4;25,1;87,9;
2010-05-31;258;31,6;28;25,4;84,6;
2010-06-30;139,7;32,3;27,9;24,9;83,3;
2010-07-31;152,3;31,8;27,7;25;82,8;
2010-08-31;73,3;33,6;28,9;25,7;77,1;
2010-09-30;43,3;34,6;29,9;26,3;70,7;
2010-10-31;45;35,3;30;25,9;68,8;
2010-11-30;111,8;33,7;28,7;25,1;75,3;
2010-12-31;233,5;31,9;27,5;24,5;81,9;
2011-01-31;272,2;30,8;26,8;24,3;84,7;
2011-02-28;472,7;30,7;26,5;24;86,4;
2011-03-31;368,5;30,8;27;24,3;84,9;
2011-04-30;507,9;30,6;26,9;24,3;86,3;
2011-05-31;306,8;31;27,4;25,1;87,7;
2011-06-30;146,3;32,4;28,2;25,5;81;
2011-07-31;114,2;32,8;28,2;25,2;79;
2011-08-31;58,7;34;29,4;26,5;73,7;
2011-09-30;30,7;34,5;29,5;25,2;71,9;
2011-10-31;94,7;33,9;28,9;25,4;73;
2011-11-30;58,5;32,8;28,4;25;76,3;
2011-12-31;335,3;32,9;28,4;25,1;77,2;
2012-01-31;381,3;30,4;26,6;24;84,3;
2012-02-29;470,4;30;26,4;24;84,1;
2012-03-31;306;30,6;26,8;24,3;84,2;
2012-04-30;177;31,4;27,5;25;83,8;
2012-05-31;295,4;31,4;27,5;24,6;83,1;
2012-06-30;175,3;32,2;27,8;24,7;79,9;
2012-07-31;232,9;31,5;27,5;24,6;81,5;
2012-08-31;90,9;33,5;28,8;25,3;73,3;
2012-09-30;49,7;34,4;29,6;26;69,4;
2012-10-31;54,4;34,5;29,5;25,4;69,2;
2012-11-30;1,3;35,4;30;25,4;66;
2012-12-31;315,2;31,7;27,4;23,6;79,6;
2013-01-31;709,2;30,6;26,8;23,6;84,1;
2013-02-28;179,1;31,2;27;24,1;82,7;
2013-03-31;666,9;30,9;27,1;24,1;84,6;
2013-04-30;213;31,3;27,4;24,5;83,5;
2013-05-31;339;31,4;27,4;24,4;83,6;
2013-06-30;210,8;32,3;28,1;25;80,4;
2013-07-31;291,5;31,6;27,3;24,5;80,3;
2013-08-31;194,5;32,5;28;25,2;77,8;
2013-09-30;74,5;33,5;28,9;25,7;74,5;
2013-10-31;73,1;34,4;29,4;25,9;71,6;
2013-11-30;60,9;33,3;28,4;25,3;76,4;
2013-12-31;213,7;32,8;28,5;25,3;76,3;
2014-01-31;144;31,6;27,6;24,7;78,8;
2014-02-28;408,7;30,5;26,6;23,9;85,2;
2014-03-31;381,7;30,5;26,9;24,3;84,6;
2014-04-30;203,6;31,4;27,5;24,6;83,2;
2014-05-31;341,9;30,9;27,3;24,9;84,8;
2014-06-30;295,4;32;27,7;24,7;81,8;
2014-07-31;206,5;32,2;27,9;24,8;82,2;
2014-08-31;62,6;33,8;28,9;25,1;74,4;
2014-09-30;10,4;35,2;29,9;25,7;68,5;
2014-10-31;93,7;34,4;29;25,1;73,8;
2014-11-30;138,9;33,9;29;25;73,4;
2014-12-31;51,2;33,9;29,1;25,3;72,3;
2015-01-31;207,7;31,8;27,5;24,1;77,8;
2015-02-28;267,5;31,6;27,2;24,1;80,9;
2015-03-31;558,9;30,8;26,9;24,3;84,4;
2015-04-30;406,2;31,1;27,3;24,5;83,9;
2015-05-31;315,8;31,6;27,5;24,4;83,6;
2015-06-30;209,6;32,4;28,1;24,8;78,9;
2015-07-31;134,9;32,3;28,1;24,8;80,5;
2015-08-31;10,4;34,4;29,6;26;70,8;
2015-09-30;3,9;36,2;30,8;26,7;63,4;
2015-10-31;0;36,4;31;26,9;63;
2015-11-30;1,5;36,4;30,9;26,4;62,4;
2015-12-31;103,3;35,6;30,7;26,7;62,6;
2016-01-31;218,1;34,5;29,8;25,8;67,2;

