Nome: BELTERRA
Codigo Estacao: 82246
Latitude: -2.64222221
Longitude: -54.94388888
Altitude: 164.3
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;134,2;30,8;26,2;22,3;86,6;
2010-02-28;119,3;30,5;25,9;22,2;89;
2010-03-31;135,5;31,3;26,5;22,5;87,2;
2010-04-30;391,9;30;25,7;22,3;92,2;
2010-05-31;280,5;30,7;26,2;22,5;90,9;
2010-06-30;208,3;31,4;26,1;22,4;88,7;
2010-07-31;218,5;30,9;25,9;22,2;89,8;
2010-08-31;103,6;31,6;26,5;22,3;87,3;
2010-09-30;32,6;32,9;27,4;23;82,7;
2010-10-31;161,6;33,3;27,6;23,1;81;
2010-11-30;34,4;31,8;26,6;22,6;85,9;
2010-12-31;202,8;31;26;22,2;88,8;
2011-01-31;335,3;29,8;25,3;22;91,5;
2011-02-28;263,1;29,7;25,4;22,2;92;
2011-03-31;439,7;29,8;25,4;22;91,3;
2011-04-30;418,5;29,8;25,2;22;91,8;
2011-05-31;122,6;30,2;25,7;22,2;91;
2011-06-30;130,8;30,9;26,1;22,3;88,3;
2011-07-31;74,8;31,1;25,9;22,1;88,6;
2011-08-31;40;32,3;26,6;22,4;85,8;
2011-09-30;31,5;32,7;27,1;22,6;82,8;
2011-10-31;82;32,6;27;22,8;82,8;
2011-11-30;228,8;31,5;26,3;22,2;87,2;
2011-12-31;54,6;32,2;26,8;22,7;84,6;
2012-01-31;242,7;30,2;25,6;22,3;90;
2012-02-29;197,8;29,2;24,9;21,9;91,9;
2012-03-31;227,9;29,7;25,4;22,2;90,7;
2012-04-30;168,9;30,4;25,9;22,4;90,6;
2012-05-31;117,4;30,5;25,8;22,4;89,6;
2012-06-30;87,2;30,4;25,8;21,9;91,1;
2012-07-31;118,4;30,7;25,6;21,9;90,7;
2012-08-31;31,9;32,1;26,6;22,3;86,6;
2012-09-30;26,2;32,8;27,3;22,9;82,1;
2012-10-31;67,2;33;27,2;22,8;82,8;
2012-11-30;3,6;34,4;28;23,1;80,5;
2012-12-31;250;30,5;25,8;22,1;88,4;
2013-01-31;251,8;30,3;25,8;22,1;90,5;
2013-02-28;182,1;30,1;25,4;21,9;91;
2013-03-31;390,6;30,3;25,7;22,4;90,5;
2013-04-30;314,9;30,4;25,9;22,5;90,6;
2013-05-31;281,4;30,6;25,9;22,3;91,2;
2013-06-30;107,4;30,9;26;22,4;90,9;
2013-07-31;290;30,7;25,5;21,7;90;
2013-08-31;240,4;31,2;26;22;88,4;
2013-09-30;14,9;32,1;26,8;22,6;84,2;
2013-10-31;85,1;32,6;27,2;22,7;82,5;
2013-11-30;116,4;31,4;26,5;22,5;85,5;
2013-12-31;152,6;31,5;26,4;22,5;86,2;
2014-01-31;305,5;30,1;25,5;21,9;91,1;
2014-02-28;364,4;29,7;25,2;21,9;92,8;
2014-03-31;380,1;29,8;25,5;22;91,2;
2014-04-30;244,5;30,5;25,7;22,2;91,2;
2014-05-31;249,9;30,6;25,9;22,3;90,4;
2014-06-30;252,3;30,6;25,9;22,2;89,9;
2014-07-31;69,5;31,6;26,1;22,2;88,3;
2014-08-31;22,7;32,6;26,9;22,4;84,6;
2014-09-30;12,3;32,9;27,3;22,6;83;
2014-10-31;68,5;33,5;27,6;23,1;80,6;
2014-11-30;32,1;33,8;27,6;22,9;81;
2014-12-31;0;33,4;27,6;22,9;79,2;
2015-01-31;108,3;30,9;26;22,3;86,9;
2015-02-28;282,7;30;25,6;22,1;89,3;
2015-03-31;267,7;30;25,4;21,8;91,4;
2015-04-30;209,1;30,8;26,1;22,2;88,8;
2015-05-31;165,7;30,5;25,9;22,3;90,5;
2015-06-30;107,3;30,9;26,2;22,2;89,4;
2015-07-31;138,3;31,3;26,2;22,1;88,4;
2015-08-31;0;32,8;27,3;22,5;83,9;
2015-09-30;112,5;33,8;27,8;23;80,7;
2015-10-31;22,2;34,1;28,1;23,4;79,2;
2015-11-30;0;34,5;28,4;23,2;79,5;
2015-12-31;0;34,2;28,1;23,4;79,5;
2016-01-31;67;33;27,3;23;82,6;
