Nome: CAMETA
Codigo Estacao: 82263
Latitude: -2.23972221
Longitude: -49.49972221
Altitude: 9.93
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;389;32,6;27,3;23,8;85,2;
2010-02-28;240,1;33,2;27,7;24,1;85,3;
2010-03-31;258,7;34,2;28;24,4;84,3;
2010-04-30;294,5;33,8;27,8;24,4;87,8;
2010-05-31;366,2;34;28,1;24,5;85,4;
2010-06-30;70;34;28,2;24,1;82,8;
2010-07-31;136,7;34,1;28,2;23,9;80,6;
2010-08-31;170,8;34,4;28,2;24;82,1;
2010-09-30;11,7;34,2;28,5;24,2;81,7;
2010-10-31;80,8;34,6;28,8;24,2;77,4;
2010-11-30;116,1;34;28,4;24,4;78;
2010-12-31;207,1;33,1;27,5;23,7;83,1;
2011-01-31;635,1;31,8;26,1;22,7;87,8;
2011-02-28;436,4;31,7;26,2;23,1;89,3;
2011-03-31;355;32,6;26,5;23;88,6;
2011-04-30;470,2;32,2;26,5;23;89,2;
2011-05-31;300,7;33;27,2;23,5;88,4;
2011-06-30;108,1;33,6;27,8;23,8;82,9;
2011-07-31;142,6;33,6;27,6;23,3;83,4;
2011-08-31;81,8;34,3;28,3;24,2;80,9;
2011-09-30;58,9;33,9;28,4;23,9;79,3;
2011-10-31;46,3;34,3;28,6;24,2;76,5;
2011-11-30;118,2;33,7;28,3;24,3;80,9;
2011-12-31;57;33,3;28,3;24,6;78,7;
2012-01-31;213,5;32,5;27,2;23,4;82,8;
2012-02-29;454,1;32,1;26,1;22,7;87,5;
2012-03-31;293,6;32,7;26,9;23,2;87;
2012-04-30;375,1;33,1;27,3;23,4;86,7;
2012-05-31;187,1;33,3;27,6;23,6;84,4;
2012-06-30;101,7;33,3;27,6;23,4;81;
2012-07-31;94,3;33,5;27,9;23,6;82,6;
2012-08-31;63,3;33,7;27,9;23,6;82,9;
2012-09-30;17,3;33,8;28,2;23,7;75,9;
2012-10-31;53,8;33,8;28,5;23,8;74,7;
2012-11-30;3,4;34,5;29;24,3;71,8;
2012-12-31;322,8;33,4;27,7;23,8;80,5;
2013-01-31;291;32,6;27,2;23,7;85,9;
2013-02-28;394,4;32,7;26,8;23,2;86;
2013-03-31;386,3;32,5;27,1;24;87,4;
2013-04-30;446,5;32,9;27,2;23,7;86,4;
2013-05-31;381,3;33,1;27,3;23,6;84,8;
2013-06-30;205,5;33,2;27,6;23,8;83,2;
2013-07-31;150,1;33,1;27,1;22,9;85,2;
2013-08-31;67,8;34,2;28,1;23,9;82,5;
2013-09-30;53,6;33,9;28,2;23,9;80,4;
2013-10-31;39,8;34,3;28,5;24,1;78,2;
2013-11-30;173;33,4;28,1;24,1;81,7;
2013-12-31;44,9;33,6;28,3;24,3;81,6;
2014-01-31;476;32,4;26,9;23,2;85,8;
2014-02-28;349,7;31,9;26,5;23,4;88,5;
2014-03-31;448;32,2;26,7;23,5;88,4;
2014-04-30;404,2;32,9;27,2;23,8;87,5;
2014-05-31;360,2;32,8;27,3;23,8;87,1;
2014-06-30;176,2;33,8;28;24,1;83,3;
2014-07-31;181,8;33,3;27,8;23,6;82,4;
2014-08-31;63,1;33,7;28,1;23,8;80,6;
2014-09-30;42,5;33,8;28,3;23,9;79,7;
2014-10-31;25,5;34,2;28,7;24,1;78,1;
2014-11-30;84,7;34,4;28,9;24,3;76,2;
2014-12-31;99,9;33,7;28,4;24,4;79,8;
2015-01-31;240,7;32,5;26,9;23,1;84,5;
2015-02-28;287,5;32,1;26,7;23,1;86,8;
2015-03-31;290,9;32;26,6;23,4;88,1;
2015-04-30;540,3;32,5;26,8;23,3;88,4;
2015-05-31;268,6;33,3;27,6;23,8;85,5;
2015-06-30;186,1;33,2;27,8;23,9;84,2;
2015-07-31;144;33,4;28;24;82,6;
2015-08-31;41,1;33,9;28,4;24,3;80,5;
2015-09-30;39,6;33,9;28,7;24,4;77;
2015-10-31;2,2;34,8;29,3;24,4;75,3;
2015-11-30;18,8;34,7;29,4;24,8;73,9;
2015-12-31;51,5;34,3;28,9;24,6;77,1;
2016-01-31;320,1;33,1;27,7;24,4;84,9;
2016-02-29;289,7;33,1;27,1;23,9;85,9;
2016-03-31;494,1;32,5;27,4;24,1;87,1;
2016-04-30;447,1;33,3;27,7;24,4;86,8;
2016-05-31;299,2;33,5;28,3;24,4;83,1;
2016-06-30;122,5;33,4;28;23,8;80,8;
2016-07-31;70,8;33,5;28,2;24;79,7;
2016-08-31;26;34,2;28,7;24,4;78,1;
2016-09-30;63,4;34,3;28,8;24,6;77,9;
2016-10-31;34,1;34,4;29;24,8;76,5;
2016-11-30;51;34,2;29,2;25,2;75,1;
2016-12-31;607,6;33,4;27,8;24;80,6;
2017-01-31;473,1;31,8;26,3;23,1;88,2;
2017-02-28;577,8;31,6;26,5;23,4;87,5;
2017-03-31;506,8;32;26,7;23,5;86,8;
2017-04-30;195,1;32,8;27,3;24;85,8;
2017-05-31;313,8;33,5;28;24,4;83,6;
2017-06-30;106,1;33,6;28,4;24,7;80,3;
2017-07-31;47,5;33,6;28,2;24;77,2;
2017-08-31;18,6;34;29;24,8;76,4;
2017-09-30;78,3;34,2;28,8;24,5;77,2;
2017-10-31;37,5;33,9;28,5;24,5;76,6;
2017-11-30;,2;34,4;29,2;25,2;73,1;
2017-12-31;227,3;33,6;28,1;24,5;80,9;
2018-01-31;264,2;32,9;27,2;23,6;88,1;
2018-02-28;509,9;31,2;26,5;23,5;90,1;
2018-03-31;343,5;33,1;27,5;24,2;87,2;
2018-04-30;457,7;32,6;26,9;23,6;88,7;
2018-05-31;366,8;33,1;27,4;23,9;87,7;
2018-06-30;151,1;34,1;28,3;24,5;83,4;
2018-07-31;79,3;33,7;28,2;24,2;82,4;
2018-08-31;125,8;33,7;28,2;23,8;82,9;
2018-09-30;22,1;null;null;24,5;80,5;
2018-10-31;5,3;null;null;25,2;75,9;
2018-11-30;234,3;null;null;25,3;76,4;
2018-12-31;412;null;null;23,5;88,1;
2019-01-31;508,6;null;null;23,1;87,7;
2019-02-28;436,8;null;null;23,4;89,8;
2019-03-31;471,6;30,9;26,4;23,6;90,5;
2019-04-30;652,7;31;26,6;24;91,1;
2019-05-31;384,8;32,2;27,3;24,2;88,8;
2019-06-30;144,1;33,5;28,4;24,6;82,6;
2019-07-31;116,4;33,4;28,3;24,2;82;
2019-08-31;44;33,8;28,6;24,6;81;
2019-09-30;19,7;33,8;28,9;24,7;80,3;
2019-10-31;23,4;33,8;28,9;24,8;76,7;
2019-11-30;87,2;34;29,1;25,2;78,7;
2019-12-31;203,1;33;28,1;24,4;84,2;
2020-01-31;462,6;31,5;26,6;23,7;89,6;
2020-02-29;532,1;31,2;26,7;23,8;90,3;
2020-03-31;406,3;31,6;27;23,9;88,4;
2020-04-30;498,5;32,3;27,1;24,1;89,1;
2020-05-31;288,3;null;null;24,4;null;
2020-06-30;200,4;33,9;28,7;24,7;80,2;
2020-07-31;39,6;34,5;28,9;24,7;78,1;
2020-08-31;28,2;35,4;29,6;24,9;74,8;
2020-09-30;69,6;34,4;29,1;24,8;76,2;
2020-10-31;18,3;34;29;24,6;74,2;
2020-11-30;296,5;33,1;27,8;24;83;
2020-12-31;175,4;32,9;27,8;23,9;81,9;
2021-01-31;497,9;32,7;27;23,6;84,8;
2021-02-28;272,5;32,5;27;23,7;84,8;
2021-03-31;431,2;33,1;26,8;23,6;85,5;
2021-04-30;266,9;34,2;27,9;24;84,6;
2021-05-31;352,1;34,7;28,1;24,1;82,4;
2021-06-30;240;34,3;28,2;23,9;80,8;
2021-07-31;204,2;34,7;28,4;24,1;78,8;
2021-08-31;191,3;35,3;28,9;24,3;81,9;
2021-09-30;169,5;34,3;28,4;24;79,1;
2021-10-31;145,2;34,1;28,4;24,2;84,1;
2021-11-30;248,3;34;28,4;24,1;79,1;
2021-12-31;184,7;33,1;28,2;24,7;82,6;
2022-01-31;277,5;32;26,6;23,2;86,2;
2022-02-28;475,7;33,1;27;23,6;86,5;
2022-03-31;601,8;32,3;26,7;23,5;87,5;
2022-04-30;288,1;33,3;27,3;23,9;85,3;
2022-05-31;543,9;33,1;27,3;23,7;85;
2022-06-30;167,1;33,9;28,1;24;80;
