Nome: SAO LUIS
Codigo Estacao: 82280
Latitude: -2.52666666
Longitude: -44.21361111
Altitude: 32.58
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;108,2;31,8;27,3;24,6;81,8;
2010-02-28;121,5;32,6;28,2;25,6;79,9;
2010-03-31;316,9;32,5;28,1;25,2;80,5;
2010-04-30;393,7;31,7;27,2;24,5;90;
2010-05-31;377,5;31,8;27,4;24,8;90,2;
2010-06-30;218,3;32;26,9;24;87,5;
2010-07-31;105,2;31,7;26,8;24,3;87,8;
2010-08-31;7;32,4;27,1;24,1;82,8;
2010-09-30;,4;32,6;27,5;24,8;80;
2010-10-31;0;32,5;27,9;25;75,8;
2010-11-30;16,2;32,7;28,2;25,5;75,3;
2010-12-31;90,7;32;27,6;24,9;77,7;
2011-01-31;490,3;30,2;26,3;23,8;84,7;
2011-02-28;457,4;29,8;26,1;24;87,5;
2011-03-31;430,9;30,1;26,1;23,6;83;
2011-04-30;621,7;29,9;26,2;23,9;85,9;
2011-05-31;310,8;30,6;26,5;24,1;87,5;
2011-06-30;166,8;31,2;26,6;23,7;84,3;
2011-07-31;128;31,2;26,5;23,9;84,9;
2011-08-31;38,7;31,6;26,9;24,1;81,2;
2011-09-30;0;32,7;27,4;24,4;77;
2011-10-31;61,6;32,3;27,6;24,7;78,4;
2011-11-30;6,5;32,3;27,7;25,2;79,1;
2011-12-31;,6;32,6;27,8;25,4;75,6;
2012-01-31;102,4;31,8;27,4;24,9;79,5;
2012-02-29;238,1;30,9;26,7;24,4;83,6;
2012-03-31;331,7;30,9;26,6;24,1;85,6;
2012-04-30;249,5;31,6;27,2;24,6;85,4;
2012-05-31;86,4;31,9;27,4;24,6;82,8;
2012-06-30;50,8;31,6;26,9;24,4;83,6;
2012-07-31;60,5;31,8;26,9;24,4;83,5;
2012-08-31;11,2;33,1;27,3;24;78,8;
2012-09-30;,2;33,1;27,6;24,6;75;
2012-10-31;0;33,2;27,9;25,2;74,2;
2012-11-30;1,6;33,6;28,2;25,4;74,7;
2012-12-31;,8;33,6;28,5;25,6;76,1;
2013-01-31;60;32,8;28,1;25,3;78,4;
2013-02-28;279,4;32,4;27,7;25,1;80,1;
2013-03-31;319,1;31,4;27,5;25,2;84,2;
2013-04-30;267,8;31,4;27,2;24,7;85,5;
2013-05-31;186,3;32,2;27,3;24,5;84,6;
2013-06-30;203,4;null;null;24,1;82,8;
2013-07-31;203,7;null;null;23,9;85,1;
2013-08-31;15;null;null;24,9;80,2;
2013-09-30;4,4;null;null;25,3;76,2;
2013-10-31;,8;null;null;25,4;75,2;
2013-11-30;13,8;null;null;25,4;76,8;
2013-12-31;40,5;null;null;25,3;76,2;
2014-01-31;149,6;null;null;24,3;82,5;
2014-02-28;251;null;null;24,4;85,4;
2014-03-31;161;null;null;24,5;84,4;
2014-04-30;244,3;null;null;24,3;86,7;
2014-05-31;760,7;null;null;24,1;88,7;
2014-06-30;185,5;null;null;24,4;84,2;
2014-07-31;44,3;null;null;24,5;81,2;
2014-08-31;3,8;null;null;24,3;77,9;
2014-09-30;,5;null;null;25,1;76,2;
2014-10-31;2,2;null;null;25,3;76;
2014-11-30;1,8;33,3;28;25;75,6;
2014-12-31;29,2;33;28,1;25,5;75,1;
2015-01-31;30,2;32,5;27,8;25;76,3;
2015-02-28;90,7;32;27,4;24,8;81,3;
2015-03-31;425,9;30,6;26,7;24,2;85,9;
2015-04-30;366,5;31,1;26,8;24,4;87,4;
2015-05-31;399,7;31,7;27,2;24,5;85,9;
2015-06-30;106,7;32,1;null;23,9;null;
2015-07-31;75,9;32,3;null;24,3;null;
2015-08-31;0;33;null;24,3;null;
2015-09-30;0;32,8;null;25;null;
2015-10-31;0;33,4;null;25,2;null;
2015-11-30;,3;33,5;null;25,5;null;
2015-12-31;11,3;33,9;null;26,2;null;
2016-01-31;204,5;31,4;null;25,3;null;
2016-02-29;140,8;31,9;null;25,1;null;
2016-03-31;362,1;31,1;null;24,9;null;
2016-04-30;327,4;32,3;null;24,9;null;
2016-05-31;264,9;32,2;null;24,7;null;
2016-06-30;133,4;32,2;null;24,1;null;
2016-07-31;52,1;32,5;null;23,9;null;
2016-08-31;13,4;32,7;null;24,4;null;
2016-09-30;1,8;33;null;24,9;null;
2016-10-31;0;33,8;null;25,4;null;
2016-11-30;0;33,8;null;25,8;null;
2016-12-31;42,9;33,3;null;25,6;null;
2017-01-31;380;31,5;null;24,6;null;
2017-02-28;355,4;30,2;null;23,9;null;
2017-03-31;442,8;30,4;null;23,8;null;
2017-04-30;362,1;31,6;null;24,3;null;
2017-05-31;329,9;32,1;null;24,2;null;
2017-06-30;120,6;32,6;null;24;null;
2017-07-31;201,4;32,9;null;23,2;null;
2017-08-31;4,8;33;null;24,2;null;
2017-09-30;0;33,8;null;25;null;
2017-10-31;1,2;33,6;null;26;null;
2017-11-30;,6;33,2;null;25,3;null;
2017-12-31;63,2;32,4;null;25,4;null;
2018-01-31;253;31,6;null;24;null;
2018-02-28;531;29,6;null;23,5;null;
2018-03-31;251,4;31,1;null;24,3;null;
2018-04-30;478,2;30,8;null;23,7;null;
2018-05-31;374,2;30,9;null;23,5;null;
2018-06-30;106,3;32,1;null;23,4;null;
2018-07-31;75,4;31,8;null;23,4;null;
2018-08-31;27,2;31,9;null;23,9;null;
2018-09-30;11,6;32,7;null;24,8;null;
2018-10-31;4,2;33,2;null;25,2;null;
2018-11-30;167,7;33,6;null;25,7;null;
2018-12-31;209,8;30,7;null;23,8;null;
2019-01-31;327,9;31,2;null;24,3;null;
2019-02-28;521,6;29,8;null;24,1;null;
2019-03-31;818,2;30,1;null;24;null;
2019-04-30;433,7;31;null;24,6;null;
2019-05-31;226,7;31,8;null;24,7;null;
2019-06-30;218,3;32,2;null;24,4;null;
2019-07-31;107,4;32;null;24,1;null;
2019-08-31;3,4;32,8;null;24,6;null;
2019-09-30;4,9;32,8;null;25,4;null;
2019-10-31;2,1;32,7;null;25,3;null;
2019-11-30;16;32,7;null;25,9;null;
2019-12-31;72,8;32,7;null;26,4;null;
2020-01-31;509,9;30,2;null;24,8;null;
2020-02-29;491,1;30,6;null;24,7;null;
2020-03-31;657,8;30,2;null;24,6;null;
2020-04-30;545,5;31,1;null;24,6;null;
2020-05-31;236;32,3;null;24,9;null;
2020-06-30;136,3;32,1;null;24,5;null;
2020-07-31;54,5;32,1;null;24;null;
2020-08-31;11,6;32,8;null;24,4;null;
2020-09-30;0;33,3;null;25;null;
2020-10-31;,8;33,2;28,1;25;77,9;
2020-11-30;35;32,7;28,1;25,2;83,2;
2020-12-31;46,9;32,7;28;25,3;81,7;
2021-01-31;148;31,5;27,3;24,6;86,2;
2021-02-28;365,9;30,6;26,9;24,6;89,3;
2021-03-31;701,8;29,9;26,2;23,8;91,9;
2021-04-30;195,9;31,4;27,3;24,6;87,2;
2021-05-31;386,4;31,7;27,4;24,6;86,5;
2021-06-30;281,8;30,9;26,9;24,2;89,2;
2021-07-31;140,8;31,3;27,1;24,4;88,6;
2021-08-31;87,8;31,7;27,2;24,4;89,4;
2021-09-30;17,2;31,8;27,7;25,3;81,3;
2021-10-31;32,8;32;28;25,5;80,8;
2021-11-30;51,8;31,9;28;25,5;81,6;
2021-12-31;142,9;32;28,2;26;82,4;
2022-01-31;297,1;30,6;26,6;24,1;91,9;
2022-02-28;190,7;30,9;27,2;24,9;88,8;
2022-03-31;664,1;30,1;26,4;23,8;92,6;
2022-04-30;345,2;30,8;26,8;24,3;90,7;
2022-05-31;441,6;31,2;26,8;24,3;89,9;
2022-06-30;147,4;32;27,2;24,1;89,3;
2022-07-31;114,6;31,8;27,2;24,3;91;
2022-08-31;113,4;null;null;null;null;
2022-09-30;1,6;32;27,6;25,4;83,7;
2022-10-31;0;32,2;27,9;25,7;81,6;
2022-11-30;29,8;31,5;27,4;24,9;85,8;
2022-12-31;102,7;31,9;27,7;25,2;83,3;
2023-01-31;455,4;30,1;26,4;24,4;88,3;
2023-02-28;252,3;29,8;26,3;24,3;94,1;
2023-03-31;null;null;null;null;null;
2023-04-30;306,8;30,5;26,6;24,6;94,8;
2023-05-31;183,8;31,5;27,3;24,9;92,7;
2023-06-30;226,8;31,4;27;24,5;92,6;
2023-07-31;62,6;31,7;27,2;24,8;91,3;
2023-08-31;17;31,9;27,4;24,6;86,3;
2023-09-30;0;32,8;28;25,7;82,7;
2023-10-31;1,3;32,9;28,3;25,8;80,3;
2023-11-30;0;33,3;28,7;26,3;80;
2023-12-31;28,6;33,3;28,7;26,4;82,7;
2024-01-31;189,5;31,7;27,8;25,7;89,2;
2024-02-29;407,7;30,7;27,1;25,2;94;
2024-03-31;436,8;31,1;27,2;24,9;94,8;
2024-04-30;432,2;31,4;27,3;25,1;95,5;
2024-05-31;149,4;32,9;27,9;25,3;93,7;
2024-06-30;298,2;32,6;27,2;24,2;92,6;
2024-07-31;43,4;32,5;27;23,8;90,2;
2024-08-31;0;33;27,6;24,9;84,9;
2024-09-30;0;32,4;27,8;25,8;80,4;
2024-10-31;0;32,7;28,1;25,9;79;
2024-11-30;0;33;28,2;26;80,1;
2024-12-31;null;null;null;26,1;null;

