Nome: PARNAIBA
Codigo Estacao: 82287
Latitude: -3.08668
Longitude: -41.783139
Altitude: 52.11
Situacao: Desativada
Data Inicial: 2010-01-01
Data Final: 2018-09-30
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;28,8;33,1;null;null;null;
2010-02-28;25,2;34,2;null;null;null;
2010-03-31;145;33,5;null;null;null;
2010-04-30;175,4;32,3;null;null;null;
2010-05-31;49,4;32,5;null;null;null;
2010-06-30;45,1;33;null;null;null;
2010-07-31;60,8;33,3;null;null;null;
2010-08-31;0;35;null;null;null;
2010-09-30;0;35,5;null;null;null;
2010-10-31;12,1;34,2;null;null;null;
2010-11-30;3,5;34,9;null;null;null;
2010-12-31;92,6;33;null;null;null;
2011-01-31;82,9;31;null;null;null;
2011-02-28;224,1;30,8;null;null;null;
2011-03-31;196,6;30,9;null;null;null;
2011-04-30;264,7;30,5;null;null;null;
2011-05-31;74,5;31,1;null;null;null;
2011-06-30;63,7;31,2;null;null;null;
2011-07-31;60,9;31,7;null;null;null;
2011-08-31;5,3;33,5;null;null;null;
2011-09-30;0;34,6;null;null;null;
2011-10-31;44,4;33,4;null;null;null;
2011-11-30;0;33,8;null;null;null;
2011-12-31;0;33,6;null;null;null;
2012-01-31;17;33,6;null;null;null;
2012-02-29;163,8;32,5;null;null;null;
2012-03-31;228,9;31,3;null;null;null;
2012-04-30;47,9;32;null;null;null;
2012-05-31;27,7;33,5;null;null;null;
2012-06-30;101;32,7;null;null;null;
2012-07-31;38,5;33,6;null;null;null;
2012-08-31;0;34,4;null;null;null;
2012-09-30;0;34,4;null;null;null;
2012-10-31;0;35;null;null;null;
2012-11-30;0;34,1;null;null;null;
2012-12-31;0;34,3;null;null;null;
2013-01-31;115,8;32,9;null;null;null;
2013-02-28;66,5;33,2;null;null;null;
2013-03-31;139,5;33,3;null;null;null;
2013-04-30;186,1;31,4;null;null;null;
2013-05-31;152,4;31,6;null;null;null;
2013-06-30;32,4;32,2;null;null;null;
2013-07-31;114;32,3;null;null;null;
2013-08-31;10;34;null;null;null;
2013-09-30;0;35,1;null;23,9;null;
2013-10-31;0;35,1;null;24;null;
2013-11-30;20,8;34,4;null;24,1;null;
2013-12-31;15,7;34,1;null;24,1;null;
2014-01-31;70,9;32,3;null;23,7;null;
2014-02-28;121,7;32;null;23,5;null;
2014-03-31;180,1;31,3;null;23,4;null;
2014-04-30;211,1;31,2;null;23,2;null;
2014-05-31;369,7;31,2;null;22,7;null;
2014-06-30;9;32,5;null;22,4;null;
2014-07-31;3,8;34;null;22;null;
2014-08-31;0;34,7;null;22,4;null;
2014-09-30;8,5;34,7;null;22,6;null;
2014-10-31;,1;35,4;null;23,4;null;
2014-11-30;3,9;34,4;null;23,6;null;
2014-12-31;0;33,9;null;23,9;null;
2015-01-31;14,4;33,8;null;23,9;null;
2015-02-28;190,9;33,1;null;23,7;null;
2015-03-31;127,3;31,3;null;23,7;null;
2015-04-30;268,8;30,9;null;23,7;null;
2015-05-31;7,9;32,1;null;23,8;null;
2015-06-30;16;32,7;null;22,8;null;
2015-07-31;56,6;33,1;null;22,6;null;
2015-08-31;0;34,9;null;22,6;null;
2015-09-30;0;35,2;null;23,9;null;
2015-10-31;0;35,3;null;24,2;null;
2015-11-30;0;34,5;null;24,3;null;
2015-12-31;14,6;34,7;null;24,9;null;
2016-01-31;226;31,7;null;24,2;null;
2016-02-29;59,4;31,9;null;23,8;null;
2016-03-31;86,7;32,2;null;24,5;null;
2016-04-30;122,9;31,8;null;23,8;null;
2016-05-31;151,6;32,5;null;23,8;null;
2016-06-30;121,2;33,1;null;22,7;null;
2016-07-31;36,3;34;null;22,2;null;
2016-08-31;0;35;null;22,9;null;
2016-09-30;0;35,2;null;23,8;null;
2016-10-31;0;35,8;null;24,3;null;
2016-11-30;0;35,7;null;24,6;null;
2016-12-31;74,8;34,3;null;24,6;null;
2017-01-31;98,6;32,6;null;24,1;null;
2017-02-28;161,8;31,6;null;23,5;null;
2017-03-31;295,9;31;null;23,3;null;
2017-04-30;178,7;31,6;null;23,3;null;
2017-05-31;79,1;31,9;null;23,3;null;
2017-06-30;21,4;32,5;null;22,3;null;
2017-07-31;33;33,5;null;21,7;null;
2017-08-31;12,7;35,1;null;22,3;null;
2017-09-30;0;35,8;null;23,4;null;
2017-10-31;4,4;35,7;null;24,1;null;
2017-11-30;0;34,6;null;23,6;null;
2017-12-31;2,6;34,2;null;24;null;
2018-01-31;53,9;33,7;null;23,6;null;
2018-02-28;385,6;30,7;null;23,2;null;
2018-03-31;170,1;31,2;null;23,5;null;
2018-04-30;216,8;30,4;null;23,3;null;
2018-05-31;177,7;31;null;22,8;null;
2018-06-30;22,3;31,4;null;21,4;null;
2018-07-31;15,1;32,5;null;21,6;null;
2018-08-31;1,3;34;null;22,2;null;
2018-09-30;0;35,1;null;22,9;null;

