Nome: LUZILANDIA(LAG.DO PIAUI)
Codigo Estacao: 82296
Latitude: -3.46972221
Longitude: -42.26805554
Altitude: 44.13
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;null;null;null;null;null;
2010-02-28;170,4;35,1;27,7;22,8;75,2;
2010-03-31;null;36,3;28,3;22,9;74,7;
2010-04-30;260,5;33;27;22,7;88,9;
2010-05-31;108,4;33,4;27,5;22,7;86,5;
2010-06-30;94,4;33,1;27,3;21,7;82,2;
2010-07-31;3;34,6;27,8;21,3;77,3;
2010-08-31;4;36,5;28,1;20,9;70,4;
2010-09-30;1,4;38,2;28,9;20,8;65,1;
2010-10-31;110,4;37,7;28,7;21,8;66,2;
2010-11-30;15,5;37,3;28,7;22,2;68,5;
2010-12-31;106,1;34,9;27,4;21,6;75;
2011-01-31;null;31,2;25,9;20,7;82,9;
2011-02-28;222,4;32;26,1;21;86,9;
2011-03-31;null;31,7;26,1;20,7;85,7;
2011-04-30;193,6;32;26,1;21,1;87,1;
2011-05-31;211,3;32;26,2;21,5;87,1;
2011-06-30;50,7;32,3;26,2;20,6;84,6;
2011-07-31;64,9;33;26,3;20;81,7;
2011-08-31;17,7;35;27;20;75,7;
2011-09-30;3,4;37,1;27,9;20,4;69,2;
2011-10-31;33,2;36,6;28;21,2;72,1;
2011-11-30;1,4;36;28;21,1;72,3;
2011-12-31;0;36,6;28,4;21,1;76,4;
2012-01-31;null;null;null;null;null;
2012-02-29;166,5;33,4;26,4;20,2;82,6;
2012-03-31;216,6;32,4;26,1;20,1;85,2;
2012-04-30;93,2;33,1;26,7;21,2;82,6;
2012-05-31;55,5;34,3;27,7;22,3;70,7;
2012-06-30;90,6;34,7;28;22,2;68,5;
2012-07-31;0;35,7;28,2;22,2;66,2;
2012-08-31;0;37,6;28,6;21,1;64,7;
2012-09-30;0;38,3;28,7;21,4;62,1;
2012-10-31;0;38,9;29,1;22,3;61,8;
2012-11-30;0;38;29;22,8;61,9;
2012-12-31;4,1;37,7;29;23,1;61,9;
2013-01-31;193,4;34,7;27,6;22,7;75,3;
2013-02-28;86,2;35,1;27,6;23,1;75,6;
2013-03-31;218,7;34,4;27,8;22,8;80,4;
2013-04-30;213,3;33,2;27,1;22,4;84,9;
2013-05-31;87,6;33,2;27;21,8;82,9;
2013-06-30;44,4;33,9;26,9;20,9;83,1;
2013-07-31;31,5;34,6;26,9;20,4;80,2;
2013-08-31;37,4;37,2;28,1;20,9;75,4;
2013-09-30;1,6;38,2;28,7;21;70,9;
2013-10-31;15,4;38,4;28,9;21,3;81;
2013-11-30;53;37;28,4;21;87,5;
2013-12-31;0;37;28,6;21,5;84,1;
2014-01-31;279,1;34,4;26,8;20,5;91,3;
2014-02-28;262,5;33,1;26,3;20,3;93,2;
2014-03-31;200,1;32,8;26,4;20,4;94,4;
2014-04-30;191,3;32,6;26,5;20,2;94,4;
