Nome: ESPERANTINA
Codigo Estacao: 82298
Latitude: -3.9
Longitude: -42.25944444
Altitude: 88
Situacao: Desativada
Data Inicial: 2010-01-01
Data Final: 2018-11-19
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;177,4;33,6;26,8;22,1;78,3;
2010-02-28;144;34,1;27,2;22,4;76,7;
2010-03-31;230;34;27,4;22,4;77,6;
2010-04-30;287,7;33,1;27;22,6;81,8;
2010-05-31;78,2;33,3;27,3;22,6;80,7;
2010-06-30;82,5;32,8;26,9;21,9;77,9;
2010-07-31;14,5;34,6;27;21,6;78,5;
2010-08-31;,6;36,4;27,8;21;71,5;
2010-09-30;7,5;38,1;28,4;20,9;67;
2010-10-31;122,9;37,8;28,6;21,9;68,8;
2010-11-30;91,9;36,2;28,2;22;70,4;
2010-12-31;173,2;34,2;27,4;22,2;72,8;
2011-01-31;390,3;31,8;26;21,5;82,2;
2011-02-28;280,7;31,6;25,9;21,7;83,5;
2011-03-31;229,6;31,8;26,1;21,9;84,1;
2011-04-30;418,3;31,5;25,9;21,7;86,5;
2011-05-31;303,1;31,7;26,3;22;84,7;
2011-06-30;98,6;32,1;26,2;21,6;84;
2011-07-31;58,4;32,4;26,1;21,4;83,3;
2011-08-31;7,5;34,5;26,7;20,7;77,1;
2011-09-30;5,8;36,6;27,8;20,8;70,2;
2011-10-31;108,6;36,6;27,9;21,6;71,8;
2011-11-30;13,7;35,5;28;22,2;73;
2011-12-31;6,8;36,9;28,3;21,7;69,5;
2012-01-31;229;34,7;27,2;21,6;76,9;
2012-02-29;154,9;32,8;26,2;21,4;82,4;
2012-03-31;253,9;32,2;26;21,5;85;
2012-04-30;295,8;32,8;26,5;21,8;83,7;
2012-05-31;93,3;32,9;26,6;21,7;79,8;
2012-06-30;46,4;33,4;26,6;21,4;78,5;
2012-07-31;8,8;35;27,1;20,8;70,3;
2012-08-31;2,2;36,9;27,8;20,1;69,7;
2012-09-30;0;37,9;28,2;20,3;67,8;
2012-10-31;3,8;38,6;28,9;21,3;66,1;
2012-11-30;4;38,1;29,1;22,3;67,2;
2012-12-31;27,4;37,5;29;22,6;67,4;
2013-01-31;97,3;35,1;27,8;22,5;75,5;
2013-02-28;211,1;34,8;27,5;22,1;78,9;
2013-03-31;205,1;34,2;27,4;22,6;80,7;
2013-04-30;285,3;32,8;26,7;22,3;83,6;
2013-05-31;122,6;32,7;26,5;21,9;82,5;
2013-06-30;42,8;32,8;26,4;21,4;80,5;
2013-07-31;63,4;33,3;26,4;21,3;77,4;
2013-08-31;20,9;36,2;27,7;21,2;70,9;
2013-09-30;43,5;37,8;28,3;20,8;66,4;
2013-10-31;17,6;38,4;28,8;21,2;63,9;
2013-11-30;37;36,9;28,3;21,6;67,1;
2013-12-31;1,3;37,1;28,6;21,7;64;
2014-01-31;146,4;34,8;27;21,7;75,2;
2014-02-28;341,6;32,6;26,1;21,6;81,3;
2014-03-31;129,2;32,5;26,4;21,8;82,1;
2014-04-30;271;32,2;26,1;21,7;83,3;
2014-05-31;251;32;26,1;21,5;84,1;
2014-06-30;172,3;32,6;26,4;21,3;81,5;
2014-07-31;15,4;33,3;26,3;20,2;75,8;
2014-08-31;4,5;35,6;27;19,8;70,2;
2014-09-30;3,2;37,5;28,2;20,6;64,6;
2014-10-31;28,2;38,5;28,9;21;62,2;
2014-11-30;53,2;37,2;28,4;21,2;66;
2014-12-31;1,9;37,2;28,6;21,5;63,4;
2015-01-31;43;36,7;28,2;21,4;66,1;
2015-02-28;204,6;34,1;27;21,3;75,9;
2015-03-31;152,6;33;26,5;21,5;80,4;
2015-04-30;133,8;32,8;26,4;21,4;82,6;
2015-05-31;103;33;26,7;21,3;80,3;
2015-06-30;96,4;32,9;26,4;20,3;78,6;
2015-07-31;6,7;34,7;27;19,9;70,7;
2015-08-31;0;37,2;28;19,6;63,7;
2015-09-30;,8;38,5;28,7;20,5;61;
2015-10-31;0;39,1;29,2;20,9;58,9;
2015-11-30;0;39,4;29,4;21,2;58,6;
2015-12-31;6,4;38,9;29,4;21,4;57,5;
2016-01-31;301,6;33,3;27;21,4;76,9;
2016-02-29;183,9;33,2;26,6;20,9;79,9;
2016-03-31;254,2;33;26,8;21,3;81,6;
2016-04-30;241,6;33,1;26,8;21;80,8;
2016-05-31;191,6;32,8;26,6;20,7;80,2;
2016-06-30;24,1;33,2;26,4;19,9;77,7;
2016-07-31;13,3;34,7;26,5;19;72,6;
2016-08-31;0;36,5;27,4;18,7;65,3;
2016-09-30;28,2;37,7;28,2;20;64,7;
2016-10-31;37,2;38,6;28,8;20,1;63;
2016-11-30;7;38,7;29,3;20,6;62,6;
2016-12-31;31,6;37;28,4;20,8;65,3;
2017-01-31;133,6;35;27,2;20,2;71,8;
2017-02-28;305,5;32,8;26;20;79,7;
2017-03-31;402,8;32;25,5;19,6;83,4;
2017-04-30;376,5;32,1;25,8;20,5;83,5;
