Nome: TEFE
Codigo Estacao: 82317
Latitude: -3.38027777
Longitude: -64.72527777
Altitude: 56
Situacao: Temporariamente Fechada
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;234,5;33,5;27,5;24,4;86,2;
2010-02-28;180,5;33;27,4;24,7;87,6;
2010-03-31;199,2;33,7;27,8;24,5;87;
2010-04-30;387,5;32;27,1;24;89;
2010-05-31;226,9;32,3;27,2;24,3;88,3;
2010-06-30;167,7;33;27,2;23,8;86,2;
2010-07-31;139;32,6;26,6;22,9;84;
2010-08-31;50,5;34,3;27,5;23,1;83;
2010-09-30;50,2;35,1;28,2;23,8;81,4;
2010-10-31;130,5;35;27,9;23,5;82,1;
2010-11-30;171,9;34;27,5;23,8;83,6;
2010-12-31;304,8;33;26,8;23,1;84,5;
2011-01-31;281,4;32,4;26,4;23,2;84,3;
2011-02-28;228,2;32,3;26,3;22,7;85,3;
2011-03-31;243,1;32,4;26,6;22,9;83,8;
2011-04-30;300,3;32,5;26,3;22,5;85,3;
2011-05-31;308,8;32,3;26,6;23,1;87,4;
2011-06-30;197,2;32,4;26,6;22,4;86,4;
2011-07-31;70,9;33,9;27;22,1;80,8;
2011-08-31;52,5;34,9;27,5;21,9;76,6;
2011-09-30;null;null;null;null;null;
2011-10-31;181,7;33,9;27,1;22,4;82,7;
2011-11-30;275,4;33,4;26,7;22,1;84,1;
2011-12-31;144;32,9;26,4;21,7;86,2;
2012-01-31;637,2;32,3;25,7;21,1;88;
2012-02-29;364,3;32,2;25,6;20,8;86,9;
2012-03-31;302,7;32,3;25,8;20,6;86,9;
2012-04-30;338,6;32,4;25,9;20,9;89;
2012-05-31;370,3;32;25,8;20,5;87,7;
2012-06-30;111;32,9;26,8;22,5;83,6;
2012-07-31;121,5;32,6;26,5;23;83,7;
2012-08-31;120,6;34,3;27,1;22,7;80,6;
2012-09-30;109,3;34,9;27,5;23,2;80,9;
2012-10-31;196,4;34,6;27,7;23,9;82,6;
2012-11-30;108,6;34,6;27,8;24;81,7;
2012-12-31;344,1;32,8;26,7;23,4;86,1;
2013-01-31;268,4;33,2;27,1;24;85,1;
2013-02-28;401,8;32,4;26,5;23,4;86,6;
2013-03-31;391,6;32,7;27;23,9;85,6;
2013-04-30;424,7;33,1;27,1;24,2;87,5;
2013-05-31;229,7;32,9;27;24;86;
2013-06-30;175,2;32,7;26,7;23,4;86,8;
2013-07-31;146,3;32,7;26,2;22,6;84,8;
2013-08-31;91,9;33,9;27;23;80,8;
2013-09-30;148,7;34,2;27,5;23,3;81,5;
2013-10-31;119,4;34,6;27,5;23;81,5;
2013-11-30;374,2;33,1;26,8;22,7;85,9;
2013-12-31;178,4;33,5;27,1;23,2;84,9;
2014-01-31;299,3;32,6;26,7;23,3;85,2;
2014-02-28;346,2;32,8;26,5;23,7;86,9;
2014-03-31;509,4;32,4;26,5;23,5;86,1;
2014-04-30;225,5;33,2;27;23,9;86,3;
2014-05-31;399,3;32,2;26,7;23,9;88;
2014-06-30;161,9;32,7;26,9;23,7;86,5;
2014-07-31;106,9;33,1;26,6;22,9;84,9;
2014-08-31;138;33,6;26,9;23;83,2;
2014-09-30;102,9;35,1;27,8;23,7;87,9;
2014-10-31;162,8;33,9;27,2;23,6;83,8;
2014-11-30;251,3;33,5;27,5;24;88,9;
2014-12-31;132,8;33,4;27,2;23,9;84,8;
2015-01-31;294,7;32,4;26,4;23,3;85,9;
2015-02-28;129,6;33,3;27,1;23,4;83,6;
2015-03-31;311,8;32,9;27;23,6;86,7;
2015-04-30;343,8;32,9;26,8;23,3;87,3;
2015-05-31;284;32,4;26,6;23,5;88,4;
2015-06-30;182,4;33,3;26,8;23,1;85,2;
2015-07-31;90,5;33,6;27,2;23;83,7;
2015-08-31;66,7;35,1;28,3;23,9;79,8;
2015-09-30;62,9;36,2;28,7;24;84,6;
2015-10-31;105,8;34,7;27,7;23,6;83,6;
2015-11-30;197;34,7;27,7;23,6;83,9;
2015-12-31;147,5;34;27,3;23,6;85,8;
2016-01-31;205,7;33,1;27,7;24,5;87,5;
2016-02-29;226;33,7;27,3;24,2;86,2;
2016-03-31;408,3;31,6;27,1;24,2;86,3;
2016-04-30;283,7;32,3;27,4;24,4;84,8;
2016-05-31;184,6;31,7;27,4;24,4;85,2;
2016-06-30;195,6;31,8;26,9;23,5;84;
2016-07-31;166,8;32,7;27,5;24;82,2;
2016-08-31;59,5;34,3;28,2;24;77,8;
2016-09-30;92;33,1;27;23,1;86,4;
2016-10-31;183,9;33,9;28;24,2;86,4;
2016-11-30;211,3;33,3;28,1;24,4;83,1;
2016-12-31;287,8;31,6;26,8;23,7;87,5;
2017-01-31;454,1;31;26,3;23,2;87,2;
2017-02-28;317,9;31,7;26,9;23,7;84,4;
2017-03-31;214,4;31;26,7;24;89,1;
2017-04-30;397,4;32,7;27,4;24,2;84,6;
2017-05-31;362;32,9;27,9;24,3;83,6;
2017-06-30;202,3;32,1;27,3;23,6;83,9;
2017-07-31;109,7;32,6;26,9;22,6;79,6;
2017-08-31;62,2;35,1;28,5;24;77,3;
2017-09-30;99;34,2;27,7;23,4;81;
2017-10-31;292,6;33,4;27,4;23,5;88,9;
2017-11-30;93,4;33,5;27,5;23,9;83,5;
2017-12-31;264,1;32,9;27,2;23,8;84,4;
2018-01-31;348,1;32,7;27;23,4;83,6;
2018-02-28;292,2;31,8;26,9;23,3;84,7;
2018-03-31;247,4;32,9;27,5;23,6;81,7;
2018-04-30;285,9;31,6;26,6;22,8;84,9;
2018-05-31;221,8;32,1;27;23,3;83,9;
2018-06-30;110,1;31,6;26,4;22,5;82,4;
2018-07-31;99,2;32,5;27,2;23,1;82,1;
2018-08-31;201,1;33,2;27;22,5;82,1;
2018-09-30;129,1;34;27,8;23,2;85,2;
2018-10-31;85,5;34,5;28,1;23,6;84,6;
2018-11-30;241,1;33,1;27,6;23,8;83,8;
2018-12-31;272,9;31,6;26,4;23,1;86,6;
2019-01-31;259,3;31,8;26,7;23,3;86,9;
2019-02-28;382,3;null;null;23,5;82,5;
2019-03-31;301,8;null;null;23,6;82,7;
2019-04-30;546,7;null;null;23,4;85,2;
2019-05-31;306;null;null;23,5;83,9;
2019-06-30;205,1;null;null;23,1;83,3;
2019-07-31;75,7;null;null;22,8;82;
2019-08-31;71;33,8;27,5;22,7;77,2;
2019-09-30;80,5;34,6;28,6;23,9;76,1;
2019-10-31;131;33,1;27;22,9;86;
2019-11-30;198,5;32,7;27,3;23,8;85,9;
2019-12-31;345,1;32,7;27;23,6;89;
2020-01-31;197,9;33,3;27,9;24,1;80,3;
2020-02-29;171,5;33,1;28;24,4;79,7;
2020-03-31;234,2;32,8;27,4;23,8;85,3;
2020-04-30;521,6;32;26,6;23;88,2;
2020-05-31;305,6;31,3;26,7;23,4;90;
2020-06-30;113,2;32,5;27,2;23,1;88,1;
2020-07-31;173,4;33;27;22,6;87,6;
2020-08-31;125,2;34,3;27,6;22,4;83,1;
2020-09-30;124,5;33,6;27,1;22,5;86,3;
2020-10-31;89,8;34,2;27,2;22,7;87;
2020-11-30;406,5;32,5;27;22,9;86,8;
2020-12-31;227,4;32,4;26,8;23,3;82,9;
2021-01-31;340,3;null;null;23,3;null;
2021-02-28;215;null;null;23,9;null;
2021-03-31;467,8;31,6;26,3;23,2;85,7;
2021-04-30;460,7;31,8;26,8;23,5;86,8;
2021-05-31;123,1;32;27,2;23,9;84,8;
2021-06-30;147,7;31,3;26,4;23,1;85,8;
2021-07-31;114,4;31,4;26,2;22,5;85,4;
2021-08-31;87,9;33,5;28;24;84,3;
