Nome: CODAJAS
Codigo Estacao: 82326
Latitude: -3.8411111
Longitude: -62.05527777
Altitude: 30.31
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;337,9;31,8;26,7;23,8;88,3;
2010-02-28;186,5;31,6;26,9;24,1;88,9;
2010-03-31;416,1;32,7;27,4;24,3;87,7;
2010-04-30;509,7;31;26,6;24;90,1;
2010-05-31;246,4;31,3;26,7;23,9;88,9;
2010-06-30;224,9;31,6;26,6;23,3;89,3;
2010-07-31;134,6;31,6;25,6;21,2;84,4;
2010-08-31;23,3;33,8;26,8;21,7;84,8;
2010-09-30;164,4;34;27,4;23;85,1;
2010-10-31;124,6;null;null;23,1;86,7;
2010-11-30;299,4;32,1;26,6;23,2;88,2;
2010-12-31;557,1;31,7;26,2;22,9;90,7;
2011-01-31;469,4;31;25,7;22,9;90,8;
2011-02-28;415,1;30,5;25,4;22,3;90,9;
2011-03-31;326,3;30,8;25,7;22,8;91,1;
2011-04-30;393,5;30,3;25,5;22,6;92,6;
2011-05-31;189,1;31,2;26,2;23,1;91,6;
2011-06-30;142,8;31,7;26,4;22,7;92;
2011-07-31;57,7;32,5;26,1;21,9;88,6;
2011-08-31;80,5;33,4;26,7;22,4;84,6;
2011-09-30;113,7;33,1;26,5;22,7;88,6;
2011-10-31;246,2;32,8;26,9;23,3;87,2;
2011-11-30;310,2;32;26,3;23;90,3;
2011-12-31;239,5;32,2;26,6;23,7;90,4;
2012-01-31;436,1;30,5;25,6;23;93;
2012-02-29;374,5;30,3;25,3;22,3;92,2;
2012-03-31;497,1;30,7;25,4;22,4;92,9;
2012-04-30;249,7;31,3;26;22,8;91;
2012-05-31;241,4;31,1;26,3;22,7;90,8;
2012-06-30;144,2;31,4;26,3;22,7;89,9;
2012-07-31;115,2;31,4;25,8;22;90,8;
2012-08-31;76,3;33,2;26,3;21,7;85,9;
2012-09-30;113;33,6;26,6;22,2;87,1;
2012-10-31;181,4;33,8;27,1;23;88,1;
2012-11-30;233,2;33,4;27,2;23,3;88,6;
2012-12-31;624,8;31,4;25,9;22,6;91,3;
2013-01-31;571,6;31,5;26,3;22,7;91,9;
2013-02-28;625,2;31,1;25,4;21,7;92,4;
2013-03-31;545,2;31,3;25,9;22,1;92,4;
2013-04-30;319,4;31,2;26;22;92,7;
2013-05-31;359,6;31,3;26;21,7;90,7;
2013-06-30;135,4;32;26,3;22,3;90,4;
2013-07-31;97,4;31,7;25,8;22,3;88,2;
2013-08-31;101,8;32,4;26,3;22,6;86,9;
2013-09-30;44,4;33,7;27,2;23,2;82,9;
2013-10-31;89,7;33,9;27,2;23,3;83,3;
2013-11-30;545,4;31,5;26,2;23,3;90,1;
2013-12-31;215;32,5;26,7;23,7;89;
2014-01-31;326;31,9;26,4;23,5;89,8;
2014-02-28;386,2;31,1;25,6;23;93,1;
2014-03-31;495,6;31,3;26,1;23,3;91,8;
2014-04-30;408,7;32;26,5;23,7;92,1;
2014-05-31;319,6;31,6;26,4;23,7;91,8;
2014-06-30;242,4;32;26,4;23,2;89,4;
2014-07-31;94,4;32,3;26,5;22,9;88,3;
2014-08-31;98,3;32,9;26,4;22,2;88,9;
2014-09-30;64,5;34,8;27,5;22,9;86,3;
2014-10-31;256,8;33,3;27;23,4;87,5;
2014-11-30;318,8;32,4;26,9;23,4;90;
2014-12-31;373,1;32,3;26,7;23,8;90,5;
2015-01-31;411,5;31,5;26;23,2;91,7;
2015-02-28;338,6;32;26,6;23,7;92,2;
2015-03-31;489,5;31,8;26,1;23,2;92;
2015-04-30;209,8;32;26,7;23,7;92,4;
2015-05-31;387,4;31,5;26,4;23,7;93,1;
2015-06-30;137,2;32,3;27,4;24,3;87,8;
2015-07-31;67,7;33,3;27,3;23,9;87,1;
2015-08-31;7;34,9;28;23,5;81,5;
2015-09-30;14,1;36,5;28,8;23,7;74;
2015-10-31;179,8;34,6;28,1;24,1;87,2;
2015-11-30;207,7;33,7;27,6;23,9;90,6;
2015-12-31;237,9;32,8;27,2;24,1;88,7;
2016-01-31;206,1;33,1;27,9;25,1;87,4;
2016-02-29;305,8;32,5;27;24,1;88,9;
2016-03-31;382,8;32;27;24,5;90,5;
2016-04-30;345,4;31,9;26,8;24;91,2;
2016-05-31;208,5;31,8;26,9;24;91,8;
2016-06-30;190,5;31,9;26,4;23,2;89,8;
2016-07-31;72,4;34;26,9;22,8;86,4;
2016-08-31;95,4;34;27,2;22,9;84,2;
2016-09-30;181,2;33,5;26,9;23,3;87,3;
2016-10-31;164,6;34,4;27,7;23,7;90,6;
2016-11-30;199,4;33,6;27,6;24,1;88,8;
2016-12-31;481,7;32,5;26,4;23,5;91,7;
2017-01-31;435,1;31,7;25,9;22,8;91,6;
2017-02-28;485;31,1;25,9;23,1;93,1;
2017-03-31;700,6;31,5;26;22,9;92,8;
2017-04-30;364,9;32,4;26,6;23,2;89,4;
2017-05-31;180,5;33,1;27,1;23,6;89,7;
2017-06-30;51,2;32,9;27;23,6;89,1;
2017-07-31;116,4;33,3;26,3;21,8;88,5;
2017-08-31;66,9;35;27,5;23,1;85,7;
2017-09-30;80,9;34,1;27;23,1;88;
2017-10-31;154;33,7;27,1;23,2;87,4;
2017-11-30;180,6;33,5;27,1;23,9;90;
2017-12-31;428,2;32,3;26,3;23,6;92,3;
2018-01-31;541,6;32,3;25,9;22,8;91,4;
2018-02-28;328,2;31,7;26,2;23,2;90,4;
2018-03-31;380,6;33,1;26,5;23,1;89,9;
2018-04-30;356,8;32,2;26,1;23,1;95,3;
2018-05-31;383,2;32,1;26,2;23,2;96,4;
2018-06-30;109,8;32,2;26;22,4;93;
2018-07-31;79,4;33,4;26,8;22,8;91,6;
2018-08-31;123,9;33,8;26,7;22,6;93,1;
2018-09-30;89,6;34,6;27,3;23;91,9;
2018-10-31;177,7;35,3;27,9;23,8;91;
2018-11-30;273,6;33,1;27;24,2;94;
2018-12-31;null;null;null;null;null;
2019-01-31;345,6;31,3;26,3;23,4;95,3;
2019-02-28;469,8;31,4;26,4;24;95,9;
2019-03-31;205,5;33,2;27,3;24,3;92,5;
2019-04-30;589;31,8;26,8;24,3;94,4;
2019-05-31;255,5;31,7;26,6;24;94,7;
2019-06-30;156,2;31,8;26,7;23,8;94,2;
2019-07-31;92,3;32,6;26,6;23,1;94,3;
2019-08-31;78,2;33,3;26,8;22,7;93,5;
2019-09-30;128;34,5;27,6;23,2;90,6;
2019-10-31;null;null;null;null;null;
2019-11-30;208,8;32,7;27,1;23,8;89,5;
2019-12-31;294,8;32,1;26,6;23,8;93,7;
