Nome: MANAUS
Codigo Estacao: 82331
Latitude: -3.10333333
Longitude: -60.01638888
Altitude: 61.25
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;295,8;32;27,3;24,5;83,8;
2010-02-28;352,5;31,8;27,3;24,8;87,2;
2010-03-31;206,4;33,5;28,4;25,1;80,7;
2010-04-30;303,4;31,5;27,1;24,3;87,3;
2010-05-31;165,1;32,3;27,7;24,8;84,4;
2010-06-30;119,1;32,5;27,5;24,3;82,6;
2010-07-31;100,6;32,4;27,2;23,9;81,8;
2010-08-31;54,8;34;28,4;24,4;75,5;
2010-09-30;26,6;35,3;29,5;25;72,4;
2010-10-31;116,9;35;28,9;24,6;75,5;
2010-11-30;140,6;33,3;28;24,4;79;
2010-12-31;290,1;32,4;27;23,5;83,9;
2011-01-31;226,8;30,9;26,4;23,5;84,6;
2011-02-28;493,3;30,8;26,2;23,3;85;
2011-03-31;323,3;31,2;26,6;24;84,1;
2011-04-30;515,9;31;26,6;23,7;84,4;
2011-05-31;222,4;31,3;27,2;24,7;82,6;
2011-06-30;121,3;32,7;28,2;24,9;76;
2011-07-31;20,2;33,3;28,8;24,9;68,3;
2011-08-31;64,3;34,8;29,6;25,3;64,7;
2011-09-30;41,5;34,5;29,1;24,9;69,9;
2011-10-31;283,7;33,6;28,5;25;75,2;
2011-11-30;272,8;32,8;28;24,8;78,2;
2011-12-31;194,5;32,7;28;24,7;79,3;
2012-01-31;365,2;31,1;26,3;23,9;85;
2012-02-29;288,7;30,7;26;23,9;86;
2012-03-31;277,4;30,9;26,6;23,9;84;
2012-04-30;195,6;31,6;27,1;24,6;82,2;
2012-05-31;167,8;32;27,6;24,6;79,2;
2012-06-30;85,4;32,5;28,1;24,8;74,8;
2012-07-31;83;32,5;27,7;24,5;76;
2012-08-31;26,6;34;28,8;25,1;70,5;
2012-09-30;90,3;34,6;29;25,1;72,3;
2012-10-31;181,3;34,4;29,2;25,6;72,6;
2012-11-30;284,5;34,1;29,1;25,8;75,1;
2012-12-31;266,2;31,6;27,1;24,4;82,2;
2013-01-31;314,6;32,3;27,3;24,8;83,5;
2013-02-28;342,1;31,2;26,5;24,1;86;
2013-03-31;427,4;31,3;26,8;24,5;86,8;
2013-04-30;420,6;31,9;27,3;24,9;83,1;
2013-05-31;238,4;31,9;27,2;24,6;83,3;
2013-06-30;32,3;33,1;28,5;25,5;75,5;
2013-07-31;167,1;32,2;27,4;24,3;76,6;
2013-08-31;53;33,1;28,2;25;73,2;
2013-09-30;121;33,9;28,8;25,4;73,1;
2013-10-31;193;34,3;29,2;25,6;71,4;
2013-11-30;312,2;32,4;27,3;24,5;82,7;
2013-12-31;101,3;33,2;28,5;25,5;76,8;
2014-01-31;253,3;31,9;27,5;25;80,3;
2014-02-28;245,4;31;26,5;24,2;85,8;
2014-03-31;527,7;31,2;26,9;24,4;85;
2014-04-30;260,3;32;27,4;24,9;82,6;
2014-05-31;411,3;31,5;27,3;24,8;83,6;
2014-06-30;211,7;32,3;28;25;78,4;
2014-07-31;66,1;32,5;27,8;24,6;76,3;
2014-08-31;32,2;34;28,8;25,2;70,4;
2014-09-30;,6;35,8;30,2;26,2;63,3;
2014-10-31;190,9;33,1;28;24,7;77,3;
2014-11-30;196;33;28,4;25,3;77,1;
2014-12-31;173,8;32,9;28,1;25,4;80,3;
2015-01-31;303,7;31,6;26,8;24,5;82,8;
2015-02-28;214;32,2;27,5;24,8;79,9;
2015-03-31;373,7;31,9;26,8;24,6;85,1;
2015-04-30;165,5;32,1;27,5;24,8;81,8;
2015-05-31;280,8;32;27,3;25;83,4;
2015-06-30;83,9;32,7;28,1;25,3;77,4;
2015-07-31;47,3;33,4;28,4;25,2;74,3;
2015-08-31;10,7;35,4;30,2;26,2;68,9;
2015-09-30;15,8;37,1;31,6;27,5;63,9;
2015-10-31;31,3;36,1;30,8;27,2;62,6;
2015-11-30;91,3;34,8;29,8;26,4;68,3;
2015-12-31;154,2;33,9;29,4;26,5;72,3;
2016-01-31;129,6;33,5;29,6;26,7;71,5;
2016-02-29;235,3;null;28,2;25,4;79,6;
2016-03-31;281,9;null;27,9;25,4;82,3;
2016-04-30;303,9;32,3;27,8;25,3;81,7;
2016-05-31;108,4;32,5;28,2;25,8;79,7;
2016-06-30;92,1;32,7;28,1;25;74,9;
2016-07-31;103,2;33,4;28,7;25,2;68,8;
2016-08-31;49,8;34,4;29,4;25,7;66;
2016-09-30;112;33,5;28,5;25,6;74,1;
2016-10-31;152,2;34,5;29,5;26,4;70,4;
2016-11-30;193,7;33,9;29,2;25,9;71,9;
2016-12-31;518,8;31,4;27,1;24,8;83,8;
2017-01-31;402,1;31,9;26,9;24;81,9;
2017-02-28;257,4;30,9;26,8;24,5;82,7;
2017-03-31;270;31,4;27;24,5;83,2;
2017-04-30;338,4;31,8;27,2;24,6;83,5;
2017-05-31;135,8;33,1;28,4;25,5;77,5;
2017-06-30;126,5;32,8;28,4;25,4;75,8;
2017-07-31;75,7;32,8;28,3;24,7;69,3;
2017-08-31;20,1;35,4;30,1;26,3;63,3;
2017-09-30;166,4;33,9;28,9;25,7;73,7;
2017-10-31;148,1;33,4;28,6;25,2;74,2;
2017-11-30;195,7;33,3;28,6;25,7;77,5;
