Nome: ITACOATIARA
Codigo Estacao: 82336
Latitude: -3.13694444
Longitude: -58.44277777
Altitude: 19.16
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;167,1;31,6;27,3;24,1;83,5;
2010-02-28;172,6;31,7;27,6;24,5;83,6;
2010-03-31;161,2;33,4;28,5;24,9;78,9;
2010-04-30;391,5;31,7;27,2;24,5;86,5;
2010-05-31;213,9;32,5;27,9;24,9;83,7;
2010-06-30;147,5;33,1;28;24,4;80,4;
2010-07-31;116,1;33,1;27,7;24;78,5;
2010-08-31;50,8;34,4;28,9;24,5;72;
2010-09-30;29,1;35;29,4;24,8;70,6;
2010-10-31;43,2;35,2;29;24,6;71,9;
2010-11-30;86,3;33,9;28,2;24,3;77,4;
2010-12-31;361,3;32;27;23,5;83,4;
2011-01-31;416,7;31,2;26,4;23,4;84,5;
2011-02-28;409;30,9;26,1;22,9;85,6;
2011-03-31;587,6;31;26,7;23,2;83,5;
2011-04-30;501,7;31,2;26,8;23,2;82,5;
2011-05-31;512,7;31,3;27;24;84,4;
2011-06-30;132,7;32,9;27,9;24;79,5;
2011-07-31;88,9;33,2;28,1;23,7;75,5;
2011-08-31;150,3;33,9;28,6;23,9;73,4;
2011-09-30;53,9;33,4;28,6;24,5;74;
2011-10-31;217,8;32,7;28;24,3;77,1;
2011-11-30;150,1;32,5;27,8;24,1;79;
2011-12-31;211,5;31,9;27,5;24,4;81,9;
2012-01-31;339,4;30;26,2;23,7;86,8;
2012-02-29;322;29,6;26;23,6;87;
2012-03-31;501,7;30,1;26,5;23,8;85,6;
2012-04-30;355,8;30,7;27,1;24,4;84,5;
2012-05-31;228;31,1;27,4;24,5;82,2;
2012-06-30;107,5;31,9;27,7;24,6;78,9;
2012-07-31;214,6;31,2;27,3;24,1;80,2;
2012-08-31;69,8;33;28,2;24,3;74,5;
2012-09-30;49;33,2;28,7;24,6;73,1;
2012-10-31;20,6;34;29,3;25,5;72,4;
2012-11-30;155,3;34;29,1;25,4;74,4;
2012-12-31;461,6;31;26,9;23,9;84,3;
2013-01-31;367,8;30,4;26,9;24,2;84,9;
2013-02-28;418,4;30,2;26,7;24,1;85,4;
2013-03-31;454,8;30,2;26,8;24,3;85,6;
2013-04-30;293,3;30,9;27,2;24,6;85,3;
2013-05-31;195,4;31;27,3;24,4;84,3;
2013-06-30;109;32;28,1;25,3;79,6;
2013-07-31;139,3;31,2;27,3;24,2;80,2;
2013-08-31;127,7;31,9;27,9;24,6;78,5;
2013-09-30;113;32,6;28,3;24,8;77,3;
2013-10-31;98,9;33,9;28,9;25,3;74;
2013-11-30;174,1;32;27,6;24,7;80,8;
2013-12-31;222,3;32;28;25;80,1;
2014-01-31;150,3;31,1;27,2;24,3;82;
2014-02-28;474,4;30,4;26,6;24;85,4;
2014-03-31;605;30,5;26,9;24,1;84,7;
2014-04-30;337,8;31,1;27,2;24,6;85,2;
2014-05-31;259,8;31,3;27,2;24,6;85,2;
2014-06-30;235,1;31,5;27,9;25;80,2;
2014-07-31;114,5;31,5;27,6;24,5;81,7;
2014-08-31;79,3;33,2;28,8;24,9;74,7;
2014-09-30;20,1;34,1;29,5;25,6;70,6;
2014-10-31;264,5;32,7;28,5;24,7;76,1;
2014-11-30;272,3;32,5;28,2;25,1;79,6;
2014-12-31;207,8;31,7;28;25,1;82,6;
2015-01-31;246,6;30,5;26,8;24,1;85,2;
2015-02-28;245,9;31;27,1;24,2;81,6;
2015-03-31;446,9;30,5;26,8;24,2;88,2;
2015-04-30;309,7;30,7;27,1;24,5;88,5;
2015-05-31;401,9;31,2;27,5;24,4;86,4;
2015-06-30;225;32;28,1;24,8;83,4;
2015-07-31;71,5;32,9;28,4;24,9;83,5;
2015-08-31;36,2;33,8;29,1;25;81,5;
2015-09-30;3,9;35,6;null;null;78,1;
2015-10-31;110,6;35,5;30;25,4;77,8;
2015-11-30;52,8;34,7;29,6;25,3;79,6;
2015-12-31;88,9;34,2;29,5;25,2;78,1;
2016-01-31;187,4;33,3;29;25,2;75,4;
2016-02-29;402,4;31,7;27,9;24,7;81,4;
2016-03-31;628,9;31,5;27,5;24,3;84,5;
2016-04-30;353,2;31,7;27,8;24,6;84,4;
2016-05-31;308,3;32,1;27,9;24,6;83,4;
2016-06-30;96,7;32,8;28,3;24,2;79,1;
2016-07-31;132,7;33,1;28,4;23,9;77,1;
2016-08-31;79,3;33,8;28,7;24,3;75,1;
2016-09-30;73,2;33,8;28,7;24,4;76,2;
2016-10-31;143,2;33,4;28,7;24,4;75,4;
2016-11-30;115,8;33,3;28,6;24,3;77,2;
2016-12-31;467,4;31,5;27,2;23,7;82,2;
2017-01-31;326,5;31;26,9;23,2;85,7;
2017-02-28;377,5;30,5;26,7;23,6;83,9;
2017-03-31;584,9;30,8;27;23,8;84,5;
2017-04-30;386,9;30,9;27;24;85,3;
2017-05-31;144;32,3;28,4;24,9;79,3;
2017-06-30;166,7;32,4;28,3;24,6;78,3;
2017-07-31;181,1;32,3;28,1;23,9;75,4;
2017-08-31;14;34,7;29,4;24,7;70,3;
2017-09-30;85,7;33,5;28,8;24,5;75,1;
2017-10-31;270,4;32,9;28,3;23,8;76,5;
2017-11-30;40,6;32,8;28,5;24,6;78,3;
2017-12-31;253,2;31,4;27,5;23,8;81,4;
2018-01-31;241,5;30,8;27;23,6;85,3;
2018-02-28;225,4;30,8;26,9;23,5;83,2;
2018-03-31;285,6;31;27,3;23,6;81,6;
2018-04-30;513,2;30,7;26,5;23,1;84,2;
2018-05-31;227,9;30,9;26,7;23,3;85,2;
2018-06-30;302,1;31,5;27,2;23,3;80,1;
2018-07-31;100,6;32,1;27,4;23,2;79,8;
2018-08-31;25;33,2;28,4;23,9;72,1;
2018-09-30;85,8;33,9;28,9;24,1;73;
2018-10-31;52,9;35;29,9;24,7;68,3;
2018-11-30;164,9;32,6;28,1;24;77,4;
2018-12-31;231,6;30,8;26,6;22,8;82,8;
2019-01-31;366,9;30,8;26,7;22,7;85,6;
2019-02-28;424;30,4;26,5;23;86,4;
2019-03-31;239,9;32;27,8;23,7;78,3;
