Nome: ALTAMIRA
Codigo Estacao: 82353
Latitude: -3.21416666
Longitude: -52.21305555
Altitude: 101.51
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;340,6;32,1;26,9;22,9;81,9;
2010-02-28;265,3;32,1;27,2;23,3;84,5;
2010-03-31;212,6;34,3;28,1;23,5;79,8;
2010-04-30;338,7;33,2;27,5;23,3;83;
2010-05-31;294,1;33,3;28,2;23,7;80,3;
2010-06-30;77,7;34;28;23;77,3;
2010-07-31;53,5;34,7;28,3;22,9;73,8;
2010-08-31;45,2;35,3;28,2;22,6;74,3;
2010-09-30;21,8;35,3;28,6;23,5;73,5;
2010-10-31;14,4;36;28,8;23,4;71,1;
2010-11-30;127,2;34,8;28,3;23,8;74,9;
2010-12-31;168,6;32,7;27;23;82,1;
2011-01-31;411,8;31,1;25,6;21,9;87,8;
2011-02-28;322,9;31,6;25,7;22,1;87,7;
2011-03-31;272,9;31,7;25,9;22,4;86,8;
2011-04-30;392,9;31,6;26;22,6;88,8;
2011-05-31;223;32,4;26,8;23,2;87,3;
2011-06-30;78,2;33,4;27;22,6;84,4;
2011-07-31;41,3;33,6;26,9;22,2;81,1;
2011-08-31;39,2;35,5;28,1;22,7;75,5;
2011-09-30;3,4;36;28,8;23,2;71,2;
2011-10-31;43,3;35,4;28,6;23,5;72,4;
2011-11-30;90;33,8;27,7;23,1;78,7;
2011-12-31;8,6;34,8;28,4;23,3;73,5;
2012-01-31;222,4;31,3;26;22,5;86,5;
2012-02-29;288,9;30,9;25,5;21,4;87,9;
2012-03-31;521,8;31,8;26;22;87,1;
2012-04-30;194,9;32,1;26,6;22,7;86,3;
2012-05-31;162,6;32,9;26,9;22,7;85,9;
2012-06-30;57;33;26,9;22,4;83,6;
2012-07-31;33,3;33,9;27,2;22,1;79,8;
2012-08-31;10,8;35,3;28;22,1;73,5;
2012-09-30;28,8;35,3;28,3;22,8;74,1;
2012-10-31;127,8;34,5;28,2;22,8;73,6;
2012-11-30;13,8;35,5;28,8;23,5;72,4;
2012-12-31;251,8;32,7;26,8;22,3;83,8;
2013-01-31;363,2;31,5;26,1;22,5;88,9;
2013-02-28;240,5;31,6;26;22;87,2;
2013-03-31;478,3;31,6;26,3;22,6;88,8;
2013-04-30;442;31,8;26,6;22,8;87,5;
2013-05-31;333,4;32,2;26,9;23,3;86,7;
2013-06-30;125,6;33;27,3;23,4;84,2;
2013-07-31;127,9;32,9;27;22,8;82,1;
2013-08-31;22,6;34,4;28,2;24,1;79,4;
2013-09-30;80,6;34,3;28,1;24,4;79,1;
2013-10-31;71,9;34,9;28,5;24,4;75;
2013-11-30;68,9;33,4;27,6;24;80,2;
2013-12-31;139,8;34;28,1;24,2;76,9;
2014-01-31;195,7;31,3;26,2;22,7;84,9;
2014-02-28;454,1;30,9;25,8;22,5;88,9;
2014-03-31;339,9;31,1;26;22,8;89,7;
2014-04-30;360,3;31,8;26,6;23,4;88,4;
2014-05-31;137,3;31,8;26,8;23,5;87,2;
2014-06-30;102;32,7;27,3;22,9;83,2;
2014-07-31;24,4;33,6;27,5;23,3;79,5;
2014-08-31;85,6;33,7;27,8;23,7;78,3;
2014-09-30;73,4;34,8;28,5;24;73,8;
2014-10-31;83,2;34,3;28,4;24,2;76,6;
2014-11-30;130,6;34,7;28,5;24,5;75,1;
2014-12-31;15,2;34,3;28,2;24,4;77;
2015-01-31;252,7;32,5;26,7;23,2;83,6;
2015-02-28;229,3;31,1;26,2;23,4;87,4;
2015-03-31;347,4;31,5;26,4;23,9;88,6;
2015-04-30;364,8;31,8;26,8;23,9;87,1;
2015-05-31;152,3;32,3;27,2;24,3;87,5;
2015-06-30;63,2;32,9;27,3;23,9;84,4;
2015-07-31;124,9;33,4;27,7;23,8;81,9;
2015-08-31;13,7;34,9;28,4;24,1;76,2;
2015-09-30;3,6;35,9;29,2;24,6;70,6;
2015-10-31;25,7;35,7;29,3;24,9;71,8;
2015-11-30;28;35,6;29,5;25,2;69,5;
2015-12-31;12,8;34,6;28,8;25,1;74,3;
2016-01-31;156,1;32,5;27,5;24,6;83,7;
2016-02-29;336,1;32,7;27,4;24,2;85,6;
2016-03-31;566,2;31,5;26,8;24,4;90,4;
2016-04-30;441;32,3;27,3;24,6;89,2;
2016-05-31;217,1;32,8;27,7;24,7;86,4;
2016-06-30;72,7;33,7;27,9;24;81,3;
2016-07-31;null;null;null;null;null;
2016-08-31;36,3;35,9;29,3;24,2;70,3;
2016-09-30;70,4;35,1;29,1;24,7;71,4;
2016-10-31;null;34,1;28,8;24,4;73,5;
2016-11-30;null;34,6;29,1;24,9;72,7;
2016-12-31;350,8;32,9;27,7;23,9;79,8;
2017-01-31;318,8;31;26,3;23;83,5;
2017-02-28;377,1;30,8;26,2;23,4;85,6;
2017-03-31;229,1;31,5;26,8;23,6;83,7;
2017-04-30;369,2;31,9;27,2;23,7;82,9;
2017-05-31;216,6;32,3;27,8;24,2;80,5;
2017-06-30;54,2;33,3;28,2;24;77,2;
