Nome: TUCURUI
Codigo Estacao: 82361
Latitude: -3.76
Longitude: -49.66666666
Altitude: 27.83
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;468,5;32,9;27,6;23,9;80,6;
2010-02-28;344,8;33,6;28,3;24,5;81,2;
2010-03-31;232,9;34,1;28,7;24,9;79,3;
2010-04-30;392,1;33,1;27,8;24,5;84,3;
2010-05-31;236,1;34,4;28,7;24,9;79,9;
2010-06-30;31;34,6;28,5;24,1;74,9;
2010-07-31;16,8;35,1;28,7;24;71,8;
2010-08-31;9,5;36,2;28,9;24;67,5;
2010-09-30;5,5;35,9;29,1;24,8;68,7;
2010-10-31;99,3;35,2;29;24,9;71,8;
2010-11-30;141,3;34,3;28,3;24,5;75,8;
2010-12-31;244,4;33,1;27,6;24,2;80,8;
2011-01-31;444,7;31,5;26,3;22,7;84,2;
2011-02-28;289,3;31,3;26,4;22,9;85,3;
2011-03-31;318,4;31,8;26,6;23,2;85,6;
2011-04-30;497,2;31,5;26,5;23,4;88,2;
2011-05-31;375;32,3;27,4;24,2;84;
2011-06-30;116,6;33,1;27,9;24;76,7;
2011-07-31;77,7;33,2;27,6;23,2;73,4;
2011-08-31;20,5;34,3;28,1;23,8;72,6;
2011-09-30;43,5;34,7;28,6;24,4;71,2;
2011-10-31;128,2;34,4;28,6;24,5;72;
2011-11-30;122,3;32,9;27,7;24,1;78,6;
2011-12-31;26,6;33;28,2;24,8;75,3;
2012-01-31;427,1;30,9;26,6;23,1;83,2;
2012-02-29;343,5;30,8;26;22,6;84,7;
2012-03-31;499;31,5;26,3;23;86,5;
2012-04-30;219,1;32,5;27,2;23,8;83,4;
2012-05-31;58,1;33,1;27,8;23,9;78,6;
2012-06-30;62,6;33,3;27,6;23,3;76,8;
2012-07-31;96,7;33,3;27,7;23,5;75,6;
2012-08-31;0;34,4;28;23,4;68,3;
2012-09-30;,4;35,1;28,9;24,5;67,2;
2012-10-31;106;34,4;28,8;24,9;70;
2012-11-30;53,6;34,7;29,2;25,2;70,9;
2012-12-31;321,5;32,7;27,6;24;79,5;
2013-01-31;442,8;31,6;27,2;23,9;83,4;
2013-02-28;403,7;32,6;27,2;23,7;82,2;
2013-03-31;297,2;32,7;27,8;24,1;82,4;
2013-04-30;375,5;33,1;27,7;24,3;83,2;
2013-05-31;204;33,4;27,9;24,1;80,2;
2013-06-30;113,2;33,4;27,9;23,9;77,3;
2013-07-31;110,4;33,3;27,4;23,3;76,8;
2013-08-31;28,1;33,8;27,9;23,8;76,6;
2013-09-30;31,4;34,3;28,4;24,3;74;
2013-10-31;100,8;34,8;28,8;24,5;71,4;
2013-11-30;145,1;32,9;27,7;24;77,6;
2013-12-31;69,9;34;28,5;24,3;73,9;
2014-01-31;448,8;31,7;26,8;22,8;81,7;
2014-02-28;433,2;31,3;26,2;22,5;86,9;
2014-03-31;371,2;31,6;26,5;23;86,6;
2014-04-30;546,2;31,8;26,6;23,1;87,1;
2014-05-31;260,7;32,3;27,3;23,7;83,3;
2014-06-30;81,9;33,4;27,9;23,5;78;
2014-07-31;41;33,3;27,5;22,9;75,1;
2014-08-31;42,6;33,6;27,5;22,8;75;
2014-09-30;36,2;34,1;28;23,3;73,1;
2014-10-31;140,3;33,8;28,1;23,3;75,3;
2014-11-30;40;33,7;28,2;23,7;74,6;
2014-12-31;204,9;33,1;27,8;23,2;77;
2015-01-31;440,7;32,3;27;22,1;81;
