Nome: ZE DOCA
Codigo Estacao: 82376
Latitude: -3.26916666
Longitude: -45.65111111
Altitude: 46.71
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;142,2;32,6;27,1;23,9;79,6;
2010-02-28;195,2;32,7;27,5;24;80,3;
2010-03-31;111,9;33,6;28;24,6;80,1;
2010-04-30;323,4;32;27,3;24,6;85;
2010-05-31;168,2;33;27,9;24,5;80,8;
2010-06-30;42,6;32,3;27,4;23,6;77,3;
2010-07-31;6,1;32,8;27,8;23,3;71,9;
2010-08-31;15,9;34,1;28,2;23,2;67,6;
2010-09-30;1,9;35,6;29;23,5;61,1;
2010-10-31;130,4;35,7;28,8;23,8;65,2;
2010-11-30;174,5;34,2;28,3;24;72,7;
2010-12-31;151,4;33,1;27,5;23,9;79;
2011-01-31;433;31,5;26,3;23,4;83,3;
2011-02-28;369,5;31,5;26,1;23,3;84,7;
2011-03-31;162,8;31,8;26,8;23,9;82,8;
2011-04-30;376,8;31,9;26,6;23,6;83,9;
2011-05-31;282,3;31,7;27,3;24,1;80,9;
2011-06-30;66,7;32,6;27,5;23,5;75,4;
2011-07-31;69;32,5;27,2;23,1;74,4;
2011-08-31;44,5;33,3;27,5;23;73,5;
2011-09-30;2,9;34,6;28,3;23,3;65,9;
2011-10-31;136,2;34,1;28,1;23,5;72,6;
2011-11-30;34,5;34,1;28,2;24;74,7;
2011-12-31;3;34,9;28,6;23,9;66,4;
2012-01-31;258,2;32,6;27;23,3;76;
2012-02-29;299,5;31,7;26,4;23,1;81,5;
2012-03-31;292,5;31,9;26,4;23,3;83,9;
2012-04-30;162,3;32,4;27,1;23,8;81,6;
2012-05-31;50,1;32,8;27,4;23,6;78,2;
2012-06-30;99,4;32,2;26,9;23,1;79,8;
2012-07-31;22,3;32,6;27,3;23,3;76,2;
2012-08-31;,6;34,2;27,9;22,8;67;
2012-09-30;6,4;35,3;28,2;23;64,3;
2012-10-31;16;35,4;28,6;23,5;63;
2012-11-30;13,8;35;29;24;64,3;
2012-12-31;47,2;34;28,3;24,3;71,9;
2013-01-31;107,3;33;27,9;24,5;76,1;
2013-02-28;371,9;32,9;27,2;23,7;80,2;
2013-03-31;389,3;31,5;27,1;24,2;84,1;
2013-04-30;373,4;32;27,1;24,2;84,4;
2013-05-31;110,3;32;27,3;23,9;82,5;
2013-06-30;29,5;32,5;27,6;23,8;77,9;
2013-07-31;52,4;32,1;27;23,1;77,9;
2013-08-31;3,5;33,6;28;23,7;73;
2013-09-30;7,3;34,5;28,5;23,6;66,4;
2013-10-31;8,6;34,9;28,6;23,6;64,9;
2013-11-30;51,7;33,8;28,2;23,9;70;
2013-12-31;35,5;33,8;28,3;24,1;69,7;
2014-01-31;305,6;32;26,6;23,3;79,9;
2014-02-28;439,9;30,9;26,2;23,4;85,7;
2014-03-31;192,2;null;null;24,2;84,2;
2014-04-30;276,6;null;null;24,7;85,7;
2014-05-31;330;null;null;24,6;84,4;
2014-06-30;163,4;31,8;27,1;24,5;79,8;
2014-07-31;24,6;32,1;27,7;24,4;77;
2014-08-31;10,9;33,3;27,9;24,1;72,2;
2014-09-30;41,1;33,8;28,1;24,2;70,4;
2014-10-31;1,1;35,2;29;24,4;64,3;
2014-11-30;3,6;35,2;28,8;23,9;63,9;
2014-12-31;34,1;34,2;28,3;24,1;68,3;
2015-01-31;225,5;32,7;27,3;23,6;76,1;
2015-02-28;241,7;31,7;26,5;23,7;83,3;
2015-03-31;264,1;31,4;26,5;23,7;85,6;
2015-04-30;270,1;31,8;26,7;23,8;84,3;
2015-05-31;210,3;32,1;27,3;24,2;81,6;
2015-06-30;126,4;32,1;27,3;23,6;79,9;
2015-07-31;27,7;32,5;27,6;23,7;76,3;
2015-08-31;0;33,3;28;23,5;71,1;
2015-09-30;0;null;null;23,6;65;
2015-10-31;1,8;35,7;29,1;24;62,3;
2015-11-30;0;35,9;29,3;24,2;60,3;
2015-12-31;15,6;36;29,5;24,8;61,4;
2016-01-31;107,9;32,3;27,8;24,5;76,8;
2016-02-29;216,8;32,9;27,4;24,2;80,4;
2016-03-31;368,3;31,5;27,1;24,7;86,7;
2016-04-30;258,9;32,3;27,5;24,4;82,7;
2016-05-31;180,3;33;27,9;24,5;80,9;
2016-06-30;32,5;32,4;27,5;23,6;77,6;
2016-07-31;8,6;33,4;27,7;23,2;73;
2016-08-31;1,4;34,7;28,4;23,2;66,6;
2016-09-30;,5;35,4;28,9;23,7;64,2;
2016-10-31;21,8;36;29,3;24;62,9;
2016-11-30;0;36,5;29,7;24,5;60,6;
2016-12-31;187,9;33,9;28,2;24,2;72;
2017-01-31;235,6;31,2;26,4;23,4;86,1;
2017-02-28;456,2;31;26,5;23,3;84,8;
2017-03-31;325,4;31,6;26,6;23,5;85,2;
2017-04-30;317,9;32,6;27,3;23,8;82;
2017-05-31;176,8;32,6;27,6;23,9;79,9;
2017-06-30;40,5;32,4;27,7;23,4;75,7;
2017-07-31;20,2;32,8;27,3;22,2;67,4;
2017-08-31;1,2;34,8;28,4;23;66,6;
2017-09-30;0;35,7;29,1;23,7;61,5;
2017-10-31;4;36;29,1;23,8;61,7;
2017-11-30;5,5;35,7;29;23,8;60,3;
2017-12-31;145,3;33,8;28,1;24;70;
2018-01-31;319,3;32,1;26,6;23;80,4;
2018-02-28;609,1;30,7;26,2;23,1;84,3;
2018-03-31;316,4;31,9;27;23,6;82;
2018-04-30;237,3;31,5;26,4;23;83,8;
2018-05-31;210,3;31,7;26,6;23,1;82,6;
2018-06-30;86,8;32;27,1;22,8;78,1;
2018-07-31;28,9;32,6;27,4;22,9;75,4;
2018-08-31;,8;33,7;27,7;22,6;70,5;
2018-09-30;7,8;34,9;28,3;22,8;65,9;
2018-10-31;8,5;35,3;28,7;23,2;65,4;
2018-11-30;181,9;35;28,4;23,5;68,6;
2018-12-31;265,4;31,3;26,2;22,6;82,9;
2019-01-31;301,4;31,5;26,1;22,5;84,1;
2019-02-28;277,4;31,4;26,1;22,9;86,6;
2019-03-31;604,7;31,5;26,2;22,7;85,8;
2019-04-30;337,7;31,5;26,8;23,3;85;
2019-05-31;222;32,6;27,5;23,5;80,5;
2019-06-30;55,6;32,8;27,7;23,2;75,9;
2019-07-31;30,6;32,8;27,3;22,5;74,4;
2019-08-31;2,6;33,8;27,9;22,5;69;
2019-09-30;19,6;34,8;28,3;22,7;66,4;
2019-10-31;4,3;34,7;28,2;22,8;66,5;
2019-11-30;46;34,9;28,5;22,9;66,5;
2019-12-31;77,7;33,8;28;23,2;71,9;
2020-01-31;428;31,1;26,2;22,6;86,4;
2020-02-29;407,2;31,4;26,2;22,6;86,8;
2020-03-31;282,7;31,3;26,7;23,1;85,7;
2020-04-30;392,8;31,9;26,6;22,8;85,7;
2020-05-31;217,7;32,6;27,6;23,2;80,5;
2020-06-30;47,5;32,7;27,6;22,9;74,5;
2020-07-31;12,3;33,2;27,8;22,1;70;
2020-08-31;0;34,5;28;21,7;65,3;
2020-09-30;12,3;35,3;28,2;22,1;65,8;
2020-10-31;20;35,8;28,6;22,5;63,7;
2020-11-30;187,3;33,3;27,4;22,7;78,9;
2020-12-31;135,4;32,5;27;22,5;79,4;
2021-01-31;190,5;32;26,5;22,1;82,3;
2021-02-28;452,7;31,4;26;21,7;84,8;
2021-03-31;434,6;31,6;25,7;21,4;85,7;
2021-04-30;278,8;32,6;27;22,4;81,3;
2021-05-31;201,3;32,6;27,3;22,3;79,6;
2021-06-30;93,5;32,5;26,8;21,8;80,1;
2021-07-31;80,5;32,8;26,7;21,5;85;
2021-08-31;36,3;33,4;27,2;21,4;75,9;
2021-09-30;35,5;33,7;27,3;21,6;75,1;
2021-10-31;79,1;33,5;27,4;21,9;76,6;
2021-11-30;75,9;33,3;27,7;22,3;80,3;
2021-12-31;25,6;33,9;28;22,9;73,8;
2022-01-31;185,7;31,7;26,1;21,4;82;
2022-02-28;239,7;31,7;26,3;21,9;84,9;
2022-03-31;708;31,1;25,9;22,2;86,7;
2022-04-30;457,9;31,7;26,4;23,1;86,3;
2022-05-31;157,5;31,5;26,7;23,4;83,5;
2022-06-30;161,6;32,3;27,4;23,6;76,9;
2022-07-31;20,2;32,8;27,4;23,4;79,1;
2022-08-31;8,2;33,9;28;23,3;70,4;
2022-09-30;16,5;34,8;28,4;23,7;67,3;
2022-10-31;49,3;35,4;28,8;24;71;
2022-11-30;147,1;33,8;27,9;23,8;79,1;
2022-12-31;138,8;33,2;27,5;24;81,9;
2023-01-31;286,9;32;26,4;23,2;88,6;
2023-02-28;307,3;32,2;26,3;23,4;90;
2023-03-31;635,6;31,8;26,4;23,4;89,8;
2023-04-30;425,2;32,4;27;23,7;89;
2023-05-31;61,8;34,3;28,4;24,7;84,2;
2023-06-30;55,6;34,5;28,8;24,7;80,2;
2023-07-31;null;null;null;null;null;
2023-08-31;3,6;36,3;29,4;24,4;72,8;
2023-09-30;0;37,3;30,2;24,8;68,4;
2023-10-31;1,8;37,6;30,1;24,5;67,8;
2023-11-30;3,8;37,5;30,3;25;64,1;
2023-12-31;68;36,6;29,6;25,3;74,9;
2024-01-31;196;34,6;28,5;24,8;82,4;
2024-02-29;408,3;32,7;27,2;24,4;90,1;
2024-03-31;298,6;33,9;28,1;25;88,7;
2024-04-30;386,1;33,6;28,1;25;88,1;
2024-05-31;237,5;34,8;29;25,2;82,9;
2024-06-30;45,1;34,6;29;24,7;77,4;
2024-07-31;null;null;null;null;null;
2024-08-31;,3;36,3;29,1;23,8;71,2;
2024-09-30;,5;38,5;29,8;23,8;68,2;
2024-10-31;1,1;38,4;30,1;24,2;67,4;
2024-11-30;,4;38,3;30,1;24,1;66,7;
2024-12-31;119,2;35,8;29,4;24,8;73,6;

