Nome: CHAPADINHA
Codigo Estacao: 82382
Latitude: -3.74277777
Longitude: -43.35222222
Altitude: 104
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;242,8;33,6;27,3;23,4;76,4;
2010-02-28;109;33,7;27,8;24,1;78,2;
2010-03-31;139;33,9;27,6;23,9;79,7;
2010-04-30;228,5;32,5;27,2;24,1;85,6;
2010-05-31;150,3;33,2;27,6;24,1;82,4;
2010-06-30;92,9;32,4;27,2;23,1;75,6;
2010-07-31;49,9;32,9;27,2;22,7;71,4;
2010-08-31;,5;35;27,9;22,5;62,7;
2010-09-30;0;36,6;28,5;22,8;59,9;
2010-10-31;15;37,1;28,7;23,6;63;
2010-11-30;85;36,3;28,8;24,1;64,8;
2010-12-31;137,7;34,1;27,6;23,6;73;
2011-01-31;318,3;31,9;26,3;23;82,1;
2011-02-28;331,3;31,6;26;22,8;84,9;
2011-03-31;357,1;31,9;26,2;23;84,9;
2011-04-30;471,8;31,7;26;23;87;
2011-05-31;240,6;31,6;26,4;23,4;84,7;
2011-06-30;63,4;31,7;26,6;23;79,6;
2011-07-31;21,6;32,4;26,7;22,6;74,5;
2011-08-31;,7;34,2;27,6;22,7;67,8;
2011-09-30;0;35,8;28,3;22,9;61,1;
2011-10-31;133;35,3;28,3;23,4;67,9;
2011-11-30;89,9;33,9;27,8;23,6;70,2;
2011-12-31;3,3;35,2;28,1;23,5;65,8;
2012-01-31;407,3;33;26,8;22,9;75,7;
2012-02-29;240,5;31,9;26;22,5;81,4;
2012-03-31;202,4;32,2;26,3;23;83;
2012-04-30;35;32,7;27,1;23,6;80,6;
2012-05-31;25;33,1;27,3;23,4;77,1;
2012-06-30;34,3;33,4;27,3;23,4;75;
2012-07-31;2,1;34,3;27,8;23,1;67,4;
2012-08-31;15,2;35,7;28,2;22,7;60,6;
2012-09-30;,6;36,7;28,5;22,9;57,9;
2012-10-31;,1;37,6;29;23,7;58,8;
2012-11-30;80;37,1;29;24,2;61,4;
2012-12-31;134,9;35,3;28,4;24,1;67;
2013-01-31;87,8;33,4;27,6;23,9;74,2;
2013-02-28;218,3;33,6;27,4;23,7;75,8;
2013-03-31;226;32,9;27,2;23,9;80,9;
2013-04-30;362;32,3;26,8;23,6;84,3;
2013-05-31;130,7;32,4;27,1;23,6;80,1;
2013-06-30;69,8;32,5;27;23,3;77,5;
2013-07-31;115,8;32,1;26,7;22,7;75,8;
2013-08-31;1,9;34,5;27,8;23,1;68,2;
2013-09-30;6;36,3;28,4;23,3;62,8;
2013-10-31;0;37,2;28,9;23,8;60,6;
2013-11-30;39,5;35,6;28,2;23,7;66,9;
2013-12-31;57,6;35,9;28,5;23,9;65,8;
2014-01-31;305,6;33,4;26,4;22,7;78,5;
2014-02-28;203,8;32,2;26,5;23,3;81,9;
2014-03-31;180,7;32,2;26,6;23,4;83,2;
2014-04-30;304,5;32,1;26,6;23,4;85;
2014-05-31;452,2;31,7;26,4;23,1;86,7;
2014-06-30;57,1;32;27;23,3;80;
2014-07-31;25;32,6;27;22,8;74;
2014-08-31;,8;34,3;27,5;22,6;67;
2014-09-30;1,6;35,8;28,2;23,2;64,6;
2014-10-31;2,9;37;28,8;23,6;62,1;
2014-11-30;54,8;36;28,2;23,4;67,2;
2014-12-31;19,6;35,5;28,3;23,8;65,7;
2015-01-31;67,9;35;27,8;23,5;69,1;
2015-02-28;248,4;33,1;26,8;23,5;79,1;
2015-03-31;286,5;32,3;26,4;23,1;83,9;
2015-04-30;178,5;32,3;26,5;23,4;84,7;
2015-05-31;124,3;32,3;27,1;23,6;81,1;
2015-06-30;90,4;32,5;27,2;23,2;78;
2015-07-31;20,2;33,2;27,3;22,9;72,4;
2015-08-31;0;35,5;28,1;22,8;64,8;
2015-09-30;0;37;28,6;23,2;61,4;
2015-10-31;2;37,8;29,2;23,8;58,7;
2015-11-30;0;37,9;29,3;24,1;59,6;
2015-12-31;39,2;37,3;29,3;24,5;60,7;
2016-01-31;214,8;32,9;27,3;24,2;80,5;
2016-02-29;278,2;33,1;27,2;23,8;79,3;
2016-03-31;296,3;32,5;27;24,1;85,9;
2016-04-30;238,1;32,6;27,3;24;83,6;
2016-05-31;93,8;32,7;27,5;24,1;80,1;
2016-06-30;11,5;33,4;27,6;23,4;73,6;
2016-07-31;12,6;34,1;27,7;22,7;67,5;
2016-08-31;0;36,1;28,3;23;63,4;
2016-09-30;,9;37;28,9;23,8;60,9;
2016-10-31;18,5;37,5;29,3;23,9;59,9;
2016-11-30;17;37,2;29,6;24,6;60,1;
2016-12-31;73;35,8;28,8;24,5;65,8;
2017-01-31;174,6;33,8;27,2;23,7;78;
2017-02-28;356,1;32;26,3;23,4;84,6;
2017-03-31;411,1;31,8;26,1;23,2;87,4;
2017-04-30;331,7;32,2;26,6;23,4;85;
2017-05-31;104,2;32,4;27,1;23,7;82,2;
2017-06-30;64,7;32,3;27,3;23,5;77;
2017-07-31;9,9;32,2;26,9;22,1;69,6;
2017-08-31;,2;34,9;28,1;23,1;66,8;
2017-09-30;0;36,2;28,7;23,4;62,1;
2017-10-31;,6;37,4;29,2;24;61,8;
2017-11-30;37,2;36,7;28,8;24;63,1;
2017-12-31;42,2;35,8;28,7;24,4;65,5;
2018-01-31;188,1;33,3;26,8;23;77,5;
2018-02-28;379,1;31,3;25,9;23,1;87,4;
2018-03-31;225,1;32,5;26,8;23,5;82,9;
2018-04-30;397;31,4;26,1;23,1;87,5;
2018-05-31;129,6;31,6;26,4;23,2;84,4;
2018-06-30;76,4;31,9;26,8;22,8;78,4;
2018-07-31;19,6;32,6;26,9;22,7;74,9;
