Nome: SOBRAL
Codigo Estacao: 82392
Latitude: -3.74833333
Longitude: -40.34583333
Altitude: 91.8
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2020-08-30
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;174,7;34,9;27,8;22,8;66,7;
2010-02-28;67,4;34,7;28;23;67;
2010-03-31;79,6;36,1;28,4;23,6;65,9;
2010-04-30;131,4;32,9;27;23,2;77,9;
2010-05-31;40,8;34,8;27,7;22,8;69,2;
2010-06-30;73,1;34,9;27,7;21,6;60,2;
2010-07-31;8,8;36,1;28,4;21,8;64,5;
2010-08-31;0;36,8;28,3;21,7;63,1;
2010-09-30;0;37,5;28,7;21,8;56,3;
2010-10-31;9,9;37,5;28,6;22,7;55,3;
2010-11-30;0;37,7;29,1;23;54,1;
2010-12-31;59,2;35,3;28;23;70;
2011-01-31;197;31,8;25,8;22,1;78,8;
2011-02-28;135;31,7;25,9;22,4;81,9;
2011-03-31;204,1;31,2;25,6;22,1;85,4;
2011-04-30;339,9;30,9;25,4;22,2;83,9;
2011-05-31;120,6;30,8;25,9;22,7;81;
2011-06-30;54,9;31,5;25,6;21;77,2;
2011-07-31;50,7;31,9;25,9;21;76,5;
2011-08-31;7,1;35,1;27,1;20,8;59,4;
2011-09-30;0;36,7;28,1;21,3;66;
2011-10-31;41;36,2;28;22,5;61;
2011-11-30;,2;36,3;28;21,7;58;
2011-12-31;0;36,8;28,4;22,1;67,7;
2012-01-31;105,4;35,1;27,8;22,8;63,9;
2012-02-29;95,4;33,9;26,9;22,4;69,6;
2012-03-31;190,1;33,1;26,6;22,3;75,5;
2012-04-30;50,2;33,3;26,8;22,3;75,2;
2012-05-31;7,1;35,6;27,6;21,9;61,1;
2012-06-30;,1;35,6;27,7;21,6;60,2;
2012-07-31;0;35,7;27,9;21,5;61,3;
2012-08-31;0;36,2;28;21,4;54,6;
2012-09-30;0;36,7;28,2;21,8;65,7;
2012-10-31;1;37,1;28,4;22,6;58,9;
2012-11-30;0;37;28,5;22,8;57,3;
