Nome: FORTALEZA
Codigo Estacao: 82397
Latitude: -3.81527777
Longitude: -38.53777777
Altitude: 29.89
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;70,9;31,9;27,8;24,3;76,9;
2010-02-28;76,2;32,4;28,4;25,3;77,3;
2010-03-31;234,7;32,4;28,2;24,9;78;
2010-04-30;310;32;27,8;24,4;82,2;
2010-05-31;176,7;31,7;27,6;24,3;80,6;
2010-06-30;90,1;31,8;27,1;23,3;76,2;
2010-07-31;54,2;31,8;26,9;22,9;74,1;
2010-08-31;3,1;32,2;27;22,7;69,3;
2010-09-30;0;32,2;27,1;23;68,2;
2010-10-31;3,8;32,4;27,8;24,4;71,8;
2010-11-30;13,2;32,5;28,1;24,9;71,1;
2010-12-31;76,4;32;27,9;24,6;74,8;
2011-01-31;668,3;30,6;26,5;23,1;83,9;
2011-02-28;308,6;30,7;26,7;23,6;84;
2011-03-31;375,6;31,3;26,8;23,2;83;
2011-04-30;387,3;30,4;26,1;23;87,1;
2011-05-31;160;31;26,7;23,4;83,4;
2011-06-30;141,4;30,9;26,3;22,7;80;
2011-07-31;123,2;30,8;26;22,2;78,7;
2011-08-31;24,4;31,5;26,5;22,3;73,5;
2011-09-30;0;32,2;26,8;22,5;71,3;
2011-10-31;32,8;31,6;27,3;24;74,7;
2011-11-30;24,4;31,5;27,4;24,2;74,4;
2011-12-31;14,9;31,7;27,7;24,8;73,6;
2012-01-31;48,2;31,7;27,7;25;75,3;
2012-02-29;210;30,9;26,8;23,8;80,8;
2012-03-31;302,4;30,6;26,9;23,8;81,7;
2012-04-30;152,1;31,1;27,3;24,4;81,3;
2012-05-31;143;31,1;27,2;24;78,5;
2012-06-30;140,2;30,7;26,7;23,5;79,2;
2012-07-31;6,3;31,1;26,7;23,2;73,5;
2012-08-31;0;31,6;26,8;22,9;70,5;
2012-09-30;2,1;31,5;27;23,7;70,9;
2012-10-31;11,3;31,4;27,3;24,3;71,5;
2012-11-30;3,7;31,7;27,7;24,9;72;
2012-12-31;14;32;28,1;25,5;74,1;
2013-01-31;46,7;31,7;27,9;25,4;76,3;
2013-02-28;109,5;32,3;28,2;25,4;75,7;
2013-03-31;72,7;32;28,4;25,7;77;
2013-04-30;154,6;31,4;27,6;24,5;80;
2013-05-31;144,3;31,3;27,4;24,3;79,7;
2013-06-30;217,9;30,5;26,5;23,5;81,3;
2013-07-31;87;30,6;26,3;23,1;78,3;
2013-08-31;13,5;31,3;27,1;23,8;73,1;
2013-09-30;10,5;31,6;27,3;24,1;74,2;
2013-10-31;9,4;31,9;27,6;24,7;73,1;
2013-11-30;11,2;31,7;27,7;25;74,6;
2013-12-31;10,6;31,9;28;25,4;73,4;
2014-01-31;67,2;31,5;27,6;24,4;77,3;
2014-02-28;144,2;31;27;23,5;80,2;
2014-03-31;330,6;31,2;27,2;23,6;81,1;
2014-04-30;266,9;30,9;26,9;23,5;84,6;
2014-05-31;257,1;30,8;26,7;23,5;84;
2014-06-30;56;31,2;26,9;23,3;78,1;
2014-07-31;35,6;31,2;26,5;22,3;75,7;
2014-08-31;1,7;31,6;26,7;22,7;71,6;
2014-09-30;7,5;31,6;27;23,4;73,5;
2014-10-31;4,4;32,2;27,5;23,9;71,4;
2014-11-30;18;31,9;27,5;24,3;74,1;
2014-12-31;48,9;31,8;27,6;24,6;74,2;
2015-01-31;72,2;31,5;27,4;24,3;76,3;
2015-02-28;144,6;31,5;27,5;24,5;79,2;
2015-03-31;377,7;30,7;26,9;23,6;83,4;
2015-04-30;296,4;30,9;26,9;23,6;85;
2015-05-31;81,1;31,7;27,6;24,1;79,4;
2015-06-30;66,2;31;26,8;23,1;79,2;
2015-07-31;147,5;30,4;null;22,6;null;
2015-08-31;12,7;31;null;22,9;null;
2015-09-30;15,2;31,2;null;23,9;null;
2015-10-31;1,1;31,8;null;23,9;null;
2015-11-30;1,2;32,4;null;24,1;null;
2015-12-31;47,4;32,4;null;24,8;null;
2016-01-31;309,7;31,2;27,4;24,4;82,5;
2016-02-29;169,2;31,3;27,5;24,3;82,2;
2016-03-31;265;32,2;28,1;24,6;80,6;
2016-04-30;411,3;31,2;27,4;24;83,1;
2016-05-31;123,1;31,4;27,5;24;80,6;
2016-06-30;30,3;31,8;27,5;23,9;76,2;
2016-07-31;5,3;31,8;27,2;23,8;null;
2016-08-31;9,7;31,7;27,2;23,8;71,8;
2016-09-30;9,8;31,7;27,5;24,6;72,5;
2016-10-31;7,6;32,5;28;25;73,5;
2016-11-30;7,8;32,6;28,3;25,6;74,3;
2016-12-31;74,2;32,4;28,2;25,5;75,8;
2017-01-31;106,8;31,3;27,7;24,8;78,9;
2017-02-28;227,4;31,2;27,4;24,6;81,9;
2017-03-31;477,9;30,3;26,6;23,9;86,6;
2017-04-30;346;31;27,2;24,4;85,1;
2017-05-31;136,7;31,4;27,4;24,6;82;
2017-06-30;48;31,6;27,4;24,2;77,7;
2017-07-31;78,1;31,6;26,6;23,1;75,4;
2017-08-31;1,5;31,6;27,1;23,7;73,4;
2017-09-30;7,4;32;27,3;23,9;70,8;
2017-10-31;10,7;32,1;27,7;24,6;72,5;
2017-11-30;9,5;31,8;27,7;25;72,9;
2017-12-31;20,7;32;28,1;25,6;74,7;
2018-01-31;151,6;31,5;27,6;24,5;77,6;
2018-02-28;229,5;30,4;26,8;24,1;83,4;
2018-03-31;277,4;31,3;27,6;24,5;80,6;
2018-04-30;185,8;31,2;26,9;23,8;82,6;
2018-05-31;217,1;31,2;27;24;80,5;
2018-06-30;51,2;31;26,6;23,2;76,9;
2018-07-31;197,4;30,8;26,4;23,2;76,2;
2018-08-31;21;31,2;26,8;23,8;74,3;
2018-09-30;5,4;31,9;27,2;24,1;72,4;
2018-10-31;6,3;31,9;27,7;25;72,2;
2018-11-30;3,3;32,5;28,3;25,6;72,4;
2018-12-31;197,3;31,7;27,6;24,6;78,9;
2019-01-31;210,2;31,2;27,5;24,7;81,6;
2019-02-28;319,3;31,1;27,1;24,5;85;
2019-03-31;397,6;30,3;26,4;23,8;90,2;
2019-04-30;430,4;30,4;26,7;24,1;87,9;
2019-05-31;353,4;31,1;27,1;24,2;84,6;
2019-06-30;206,1;30,7;26,7;23,7;80,1;
2019-07-31;49,5;30,8;26,5;23,3;78,2;
2019-08-31;18,7;31,3;26,6;23,2;73;
2019-09-30;8,9;31,4;27,2;24,4;73,4;
2019-10-31;9,1;31,9;27,5;24,5;71,9;
2019-11-30;2,8;32,5;28,1;25,4;72,6;
2019-12-31;null;null;null;null;null;
2020-01-31;186,2;31,3;27,7;25;81;
2020-02-29;345,4;30,9;27,3;24,4;84,8;
2020-03-31;306,2;31,5;27,4;24,6;85,8;
2020-04-30;473,5;31,3;27,3;24,4;87,3;
2020-05-31;234,1;31,4;27,3;24,3;84,1;
2020-06-30;74,1;30,7;26,8;23,9;82,7;
2020-07-31;60,8;30,8;26,3;23;76,5;
2020-08-31;,4;31,5;26,8;23,3;72,4;
2020-09-30;5,3;31,7;27,2;24,2;68,7;
2020-10-31;15,9;32,2;27,9;24,8;72,6;
2020-11-30;16,1;32,3;28,3;25,6;74,8;
2020-12-31;null;null;null;null;null;
2021-01-31;113,9;31,6;27,8;25,3;78,9;
2021-02-28;45,5;31,4;27,8;25,2;81,2;
2021-03-31;348,3;30,6;26,9;24;86,2;
2021-04-30;109,1;31,9;27,7;24,4;82,3;
2021-05-31;null;null;null;null;null;
2021-06-30;null;31,3;27,1;24,2;81,2;
2021-07-31;null;31,3;27,1;24;76,6;
2021-08-31;null;32,2;27,6;24,2;71,4;
2021-09-30;null;32,4;28;25;73,6;
2021-10-31;null;32,7;28,3;25,4;73,1;
2021-11-30;null;33;28,8;26;73,8;
2021-12-31;null;null;null;null;null;
2022-01-31;null;31,2;27,2;24;84,9;
2022-02-28;null;31,8;27,8;24,6;82,3;
2022-03-31;null;30,7;26,8;24,1;88,1;
2022-04-30;null;31;27;24,1;87,2;
2022-05-31;null;30,6;26,7;23,9;87,7;
2022-06-30;null;30,3;26,1;23,2;82,5;
2022-07-31;null;null;null;null;null;
2022-08-31;null;31,5;26,6;23;72,6;
2022-09-30;null;32;27,3;24,2;72,5;
2022-10-31;null;32,4;27,9;25;72;
2022-11-30;null;32,4;27,8;24,7;75,2;
2022-12-31;null;32,5;28,2;25,1;74,3;
2023-01-31;null;31,5;27,3;24,4;79,5;
2023-02-28;null;30,7;27;24,7;83,1;
2023-03-31;null;30,9;26,8;24;84,1;
2023-04-30;null;31,2;26,8;23,9;84,8;
2023-05-31;null;31,4;27,5;24,7;81,6;
2023-06-30;null;31,3;27,2;24,3;79,6;
2023-07-31;null;null;null;null;null;
2023-08-31;null;32,2;27,3;24,2;73,8;
2023-09-30;null;32,8;27,8;24,7;72,6;
2023-10-31;null;32,8;28,1;25,4;73,6;
2023-11-30;null;33,1;28,6;25,5;75,7;
2023-12-31;null;32,8;28,5;26;79,1;
2024-01-31;null;33;28,6;25,7;77,7;
2024-02-29;484,5;32,3;28,1;25,1;81,6;
2024-03-31;458,8;31,8;27,9;25;84,3;
2024-04-30;410,3;31,8;27,7;24,7;85,1;
2024-05-31;319,4;32,3;null;24,9;null;
