Nome: BENJAMIN CONSTANT
Codigo Estacao: 82410
Latitude: -4.3786111
Longitude: -70.02999999
Altitude: 78.41
Situacao: Temporariamente Fechada
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;458,4;31,8;26,3;23,1;88,8;
2010-02-28;304,6;32,8;27,1;23,8;86,5;
2010-03-31;322,6;33,4;27,3;23,7;85,7;
2010-04-30;232;32,8;27,2;23,9;86,3;
2010-05-31;110,6;32,5;26,8;23,5;85,7;
2010-06-30;302,6;32;26,1;22,6;87,7;
2010-07-31;98;31,6;25,2;20,5;84,8;
2010-08-31;94,2;33,8;26,3;20,9;82,2;
2010-09-30;109,8;34,5;27,3;22,1;81,7;
2010-10-31;129,8;33,6;26,9;22,4;81,8;
2010-11-30;411,6;32,8;26,5;22,5;85,2;
2010-12-31;243,8;32,3;26,3;22,4;86;
2011-01-31;281,8;31,5;25,8;22;87,7;
2011-02-28;278,6;31,3;25,9;21,7;87,2;
2011-03-31;305,6;31,7;25,9;21,9;87,2;
2011-04-30;328,6;32,2;26,3;22,2;86,7;
2011-05-31;263,4;31,7;25,9;22,2;88,7;
2011-06-30;197,8;31,7;25,7;21,9;87,8;
2011-07-31;160,2;32,1;25,7;21,3;85,9;
2011-08-31;74,8;33,9;26,1;21;81,7;
2011-09-30;114,2;33,7;26,3;21,4;83,2;
2011-10-31;130;32,3;26,7;22,7;84,5;
2011-11-30;303,6;32,1;26,5;22,8;88,1;
2011-12-31;null;31;26,3;23,2;90,8;
2012-01-31;null;30,7;26,1;22,8;90,9;
2012-02-29;342;30,3;25,7;22,6;91;
2012-03-31;443;30,7;25,9;22,6;90,6;
2012-04-30;154,2;31;26,2;23;90,1;
2012-05-31;182,8;31;26,2;23,1;91,3;
2012-06-30;214,6;30,9;25,6;22,1;90,8;
2012-07-31;137;30,8;25,4;21,7;89;
2012-08-31;82,4;32,6;26,4;22,1;87,7;
2012-09-30;222,4;32,6;26,4;22,4;88,6;
2012-10-31;207,6;32,3;26,7;22,9;89,9;
2012-11-30;null;null;null;null;null;
2012-12-31;229,8;30,6;26,1;22,9;90,8;
2013-01-31;340;30,5;26,2;23,2;91,6;
2013-02-28;339,2;30;25,8;22,9;91,7;
2013-03-31;265;31,5;26,7;23,3;90,7;
2013-04-30;213,4;31,6;26,5;23,2;90,9;
2013-05-31;220,6;31,2;26,3;23,2;92,4;
2013-06-30;125,2;31,6;26,2;22,8;91,3;
2013-07-31;130,6;30,8;25,1;21,3;90,8;
2013-08-31;135,2;31,3;25,3;20,8;89,8;
2013-09-30;85,4;32,6;26,7;22,6;87,8;
2013-10-31;199,2;32,1;26,5;22,3;88,9;
2013-11-30;null;null;null;null;null;
2013-12-31;178;31,1;26,3;22,7;83,4;
2014-01-31;339,8;30,2;25,9;22,5;90,4;
2014-02-28;399,6;30,3;25,8;22,4;91,8;
2014-03-31;282,4;30,5;25,9;22,3;91,9;
