Nome: COARI
Codigo Estacao: 82425
Latitude: -4.08527777
Longitude: -63.14527777
Altitude: 34.18
Situacao: Desativada
Data Inicial: 2010-01-01
Data Final: 2016-01-29
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;266;32,2;27,3;24,2;82,5;
2010-02-28;173,8;32,1;27,3;24,5;84,7;
2010-03-31;396,1;33;28;25,2;83,6;
2010-04-30;391,1;31,2;27;24,6;84,3;
2010-05-31;188,4;31,9;27,4;24,8;81,2;
2010-06-30;115,7;32;27,2;24,4;81,4;
2010-07-31;72,2;32,2;27,1;23,8;76;
2010-08-31;27;33,7;28,4;24,7;72,9;
2010-09-30;70,2;34,9;29;24,7;71,8;
2010-10-31;76,7;34,6;28,4;24,5;75,1;
2010-11-30;108,1;33,2;27,6;24,2;79,7;
2010-12-31;306,6;32,4;27,3;24,5;80,7;
2011-01-31;294;31,3;26,5;24;83,7;
2011-02-28;302,4;31,9;26,6;23;81,4;
2011-03-31;205;31,8;26,9;23,5;80,5;
2011-04-30;378,2;31,4;26,4;22,9;83,9;
2011-05-31;162,8;31,8;26,9;23,1;81,5;
2011-06-30;50;32,6;27,6;23,4;77,3;
2011-07-31;29,6;33,2;27,6;22,9;73,9;
2011-08-31;,4;34,2;28,5;23,6;69,7;
2011-09-30;111,8;33,7;28;23,5;74;
2011-10-31;182,2;33,4;28;24,1;76,1;
2011-11-30;212,7;32,6;27,4;23,2;82,3;
2011-12-31;170,8;32,3;27,5;24,3;86;
2012-01-31;576,5;30,9;26,5;24;90,9;
2012-02-29;349,1;31,4;26,7;23,8;82,5;
2012-03-31;255,8;31,8;26,7;23,6;81,4;
2012-04-30;274,8;31,8;27,1;24,1;81,4;
2012-05-31;168;31,9;27,3;24,4;80,2;
2012-06-30;111,1;32,4;27,5;24,1;76,1;
2012-07-31;105,6;32,1;27,3;23,9;76,6;
2012-08-31;159,3;33,8;28,2;24,1;75,9;
2012-09-30;58,8;34,4;28,5;24,8;70,6;
2012-10-31;226,2;34,2;28,8;24,8;73,8;
2012-11-30;165,2;33,6;28,4;24,5;76,1;
2012-12-31;285,3;32,8;27,3;23,7;79,8;
2013-01-31;193,5;32,6;27,6;24,5;80,5;
2013-02-28;314,1;32,6;27,1;23,8;79,3;
2013-03-31;244,7;33,4;28;24,6;78,1;
2013-04-30;372,3;32,3;27,7;24,6;81,2;
2013-05-31;289,8;32,6;28;25;84,8;
2013-06-30;147,6;32,7;28;24,5;78,8;
2013-07-31;58,2;32,2;27,5;24,1;76;
2013-08-31;68,6;33,2;28,2;24,7;72,6;
2013-09-30;141,6;33,8;28,7;25;72;
2013-10-31;197,7;33,8;28,2;24,1;74,1;
2013-11-30;232,3;32,3;27,6;24,4;76,5;
2013-12-31;163,9;33,2;28,2;25,1;76,3;
2014-01-31;196,8;32,2;27,6;24,4;77;
2014-02-28;253,3;31,9;27,1;24,2;80,9;
2014-03-31;142,4;32;27,4;24,4;79,2;
2014-04-30;212,8;33;27,9;25;77,3;
2014-05-31;170,8;32,2;27,8;24,7;79;
2014-06-30;71,1;32,6;28,1;24,9;75,4;
2014-07-31;148,8;32,1;27,5;24;76;
2014-08-31;125,2;32,9;28,1;24,7;74,8;
2014-09-30;36,4;34,9;29,5;25,9;68,8;
2014-10-31;138,8;33,2;27,9;24,8;74,4;
2014-11-30;263,3;33,1;28,3;25,1;76,4;
2014-12-31;185,8;32,4;27,9;24,8;78,6;
2015-01-31;170,8;32,1;27,3;24;77,2;
2015-02-28;200,3;32,5;27,9;24,7;78,7;
2015-03-31;325,4;32,1;27,5;24,7;83,9;
2015-04-30;324,1;32,2;27,6;24,9;79,8;
2015-05-31;175,1;31,9;27,8;24,9;78,1;
2015-06-30;119,6;32,8;28,2;24,4;73,6;
2015-07-31;21,3;33,3;28,5;25,2;76,9;
2015-08-31;42,3;34,7;29,6;25,7;69;
2015-09-30;8,9;36,1;30,3;26;67,5;
2015-10-31;70,4;34,5;28,9;24,6;76,2;
2015-11-30;129,3;34,2;28,9;25,1;79,2;
2015-12-31;242,3;33,3;27,8;23,6;82,9;
2016-01-31;134,8;33,8;28,6;24,3;81,3;

