Nome: ITAITUBA
Codigo Estacao: 82445
Latitude: -4.27694443
Longitude: -55.99305555
Altitude: 24.5
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;155,9;32,4;27,6;25;82,9;
2010-02-28;349,7;32,5;27,8;24,8;84,7;
2010-03-31;186;33,2;28,1;25,1;82,8;
2010-04-30;494,7;32;27,2;24,7;88,4;
2010-05-31;145,1;32,2;27,7;25,1;86,9;
2010-06-30;98,7;33,1;27,6;24,2;83,9;
2010-07-31;93,7;33,1;27,5;24,2;82,4;
2010-08-31;6,6;35,3;28,5;23,9;77,3;
2010-09-30;54,4;35,3;29;24,1;81,2;
2010-10-31;201,5;35,3;28,8;24,5;76,8;
2010-11-30;144,6;33,6;28,2;24,9;81,9;
2010-12-31;238,3;32;27,1;24,1;86,4;
2011-01-31;440,7;31,1;26,2;23,1;88,8;
2011-02-28;430,5;31,8;26,4;23,4;88,4;
2011-03-31;274,1;32,1;26,9;24,1;86,2;
2011-04-30;382,7;31,6;26,8;24;87;
2011-05-31;346,7;32,1;27,1;24,4;86,6;
2011-06-30;70,1;33,7;27,8;24,3;82,3;
2011-07-31;54;33,9;27,7;23,7;81,6;
2011-08-31;128;35,3;29;24,4;76,8;
2011-09-30;83,5;35,1;29;24,6;76,3;
2011-10-31;160;34,1;28,2;24,5;78,3;
2011-11-30;172,1;33,1;27,7;null;80,6;
2011-12-31;176,5;32,9;28,2;null;81,1;
2012-01-31;348,4;30,8;26,4;null;87,1;
2012-02-29;323,7;30,7;26,1;null;86,1;
2012-03-31;340;31,4;26,5;null;85,4;
2012-04-30;201,7;32;27,1;null;84,2;
2012-05-31;223,1;32,5;27,4;null;84,3;
2012-06-30;92,2;32,8;27,4;null;84,3;
2012-07-31;77,3;33,2;27,2;null;83,2;
2012-08-31;73,8;34,9;27,8;null;74,6;
2012-09-30;71;35;28,9;null;73,7;
2012-10-31;176,3;34,4;28,7;null;76,4;
2012-11-30;218;34,3;28,8;null;79,1;
2012-12-31;127,2;32,5;27,5;null;84,1;
2013-01-31;398,9;31,1;26,8;null;88,1;
2013-02-28;338,8;31,1;26,6;null;88,1;
2013-03-31;372,5;31,9;27,1;null;86,2;
2013-04-30;236,8;32,7;27,6;null;83,6;
2013-05-31;223,7;31,9;27,1;null;87,3;
2013-06-30;136,2;33,4;27,6;null;83,2;
2013-07-31;75,2;33,2;27,3;23,6;82,6;
2013-08-31;58,6;34;28,1;24,1;77,6;
2013-09-30;120,6;34,7;28,7;24,6;75,6;
2013-10-31;70,7;34,7;28,9;24,8;75,6;
2013-11-30;272,7;32,4;27,6;24,2;82,8;
2013-12-31;135,4;33,2;28,2;24,8;81,3;
2014-01-31;281,5;31,9;27,1;24,1;83;
2014-02-28;424,6;31,4;26,4;23,6;86,5;
2014-03-31;283,1;32,1;27;24,3;84,4;
2014-04-30;181,8;32,4;27,3;24,4;84,5;
2014-05-31;269,8;32,6;27,4;24,4;86;
2014-06-30;66,1;33,9;27,8;24,2;82,5;
2014-07-31;59,1;34;27,8;23,8;80,8;
2014-08-31;69,4;35,3;28,6;23,7;74,9;
2014-09-30;27,7;36,1;29,5;24,9;72,3;
2014-10-31;185,1;35,2;28,6;24,7;79,6;
2014-11-30;141,8;34,6;28,4;24,6;81,6;
2014-12-31;257,6;33,8;28,5;24,8;81,3;
2015-01-31;197,4;32,3;27,2;24;85,7;
2015-02-28;224,7;32,7;27,3;24,4;84,3;
2015-03-31;330,8;32,2;26,8;24;86,7;
2015-04-30;165,2;null;null;24,5;82,8;
2015-05-31;73;null;null;24,3;83,8;
2015-06-30;98,8;null;null;24;82,9;
2015-07-31;53,8;null;null;23,8;79,5;
2015-08-31;28,6;null;null;24,3;71,3;
2015-09-30;4,5;null;null;25,8;64,6;
2015-10-31;43,4;null;null;25,9;67,4;
2015-11-30;76,8;null;null;25,5;72,7;
2015-12-31;69,7;null;null;26;71,7;
2016-01-31;95,5;null;null;25,6;78,8;
2016-02-29;226;null;null;25,2;80,2;
2016-03-31;607,7;32,7;27,7;24,9;86,2;
2016-04-30;223,8;32,9;28;25,3;85;
2016-05-31;192,6;34;28,2;24,7;84,1;
2016-06-30;157,1;34,4;27,8;23,9;83,2;
2016-07-31;56,1;35,4;28,5;23,8;78,1;
2016-08-31;41,2;36,1;29,3;24,6;74,9;
2016-09-30;112,1;35,1;28,4;24,5;76,3;
2016-10-31;140,3;35;28,9;24,8;76,9;
2016-11-30;122,8;35,5;29,1;25;77,4;
2016-12-31;391,8;32,8;27,6;24,4;83,3;
2017-01-31;338,8;32,2;27,1;23,9;83,1;
2017-02-28;399;31,6;26,7;23,8;85,6;
2017-03-31;394,1;32,3;27;24,1;85,4;
2017-04-30;473,6;32,5;27,2;24,4;86,3;
2017-05-31;152;34,5;28,4;24,9;81,1;
2017-06-30;108,2;35,1;28,6;24,3;79,5;
2017-07-31;17,8;36,5;28,7;23,3;73,5;
2017-08-31;80,9;37,1;29,7;24,5;71,8;
2017-09-30;34,8;36,5;29,7;24,9;71,6;
2017-10-31;109,6;36;29,6;25,3;72,7;
2017-11-30;87,2;34,8;29,1;25;76,5;
2017-12-31;274,2;32,2;27,6;24,5;83,1;
2018-01-31;214,1;31,5;27;24;86;
2018-02-28;427;30,7;26,4;23,8;89,3;
2018-03-31;347;32,1;27,3;24,4;84,9;
2018-04-30;380;31,3;26,6;23,9;87,7;
2018-05-31;368;32,1;26,9;24;86,8;
2018-06-30;71,8;33,3;27,6;23,8;84,2;
2018-07-31;141,4;33,6;27,5;23,5;84;
2018-08-31;37,6;34,6;28,3;24;78,1;
2018-09-30;68,8;35,2;28,9;24,7;77,1;
2018-10-31;81;36,5;29,9;25,2;75,9;
2018-11-30;162,2;33,5;28,4;25,1;81,8;
2018-12-31;291,9;31,3;26,8;23,9;87,4;
2019-01-31;274,4;31,6;26,9;24;86,6;
2019-02-28;319,3;31,6;26,8;24,3;88,6;
2019-03-31;268,2;32,5;27,4;24,3;84,3;
2019-04-30;240,7;33,1;27,6;24,6;85,1;
2019-05-31;319,1;32,8;27,3;24,3;87,3;
2019-06-30;133,9;34,5;28,3;24,5;85,1;
2019-07-31;96,5;34;28,1;24;80,5;
2019-08-31;61,7;35,1;28,7;24;76,9;
2019-09-30;35,8;35,6;29,5;25,2;73,6;
