Nome: BACABAL
Codigo Estacao: 82460
Latitude: -4.21805554
Longitude: -44.77583332
Altitude: 26.6
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;265,4;34,6;27,9;23,9;75,4;
2010-02-28;256,9;34,4;28,5;24,6;75,2;
2010-03-31;182,3;35,4;28,8;24,5;73,7;
2010-04-30;337,8;34,8;28,5;24,8;79;
2010-05-31;103,6;35,5;29,1;25,4;73,5;
2010-06-30;43,7;34,6;28,3;23,8;68,9;
2010-07-31;26,4;34,7;28,2;22,7;63,8;
2010-08-31;0;37,2;29,2;23,1;58,4;
2010-09-30;2;39;30,2;23,9;54;
2010-10-31;64,3;38,5;29,9;24,8;60,3;
2010-11-30;78,2;37;29,5;24,8;66,1;
2010-12-31;112;35,2;28,6;24,5;73;
2011-01-31;244,2;33,9;27,7;24,2;78,9;
2011-02-28;586,3;33,4;26,8;23;83;
2011-03-31;311,2;34,4;27,7;24,4;82,4;
2011-04-30;431,3;34,3;27,4;23,8;82,5;
2011-05-31;296,9;34,1;28,2;24,9;79,7;
2011-06-30;25,2;34,2;28,3;24,2;73,8;
2011-07-31;104,1;33,9;27,7;23,1;72,6;
2011-08-31;11,9;35,6;28,7;23,8;69,8;
2011-09-30;0;37,9;29,8;23,7;62,8;
2011-10-31;65,3;36,9;29,3;24,5;67,8;
2011-11-30;24,1;36,7;29,2;24,8;69,3;
2011-12-31;61,5;37,1;29,4;24,8;68,5;
2012-01-31;195,2;33,5;27,4;23,1;77,1;
2012-02-29;214;33,5;26,8;23,1;81,2;
2012-03-31;318,7;33,9;27,2;23,3;83;
2012-04-30;116;34,8;28,1;24,7;81,5;
2012-05-31;92,5;35,2;28,7;24,6;77,3;
2012-06-30;62,7;35,2;28,2;24,2;76,2;
2012-07-31;3,5;35,5;28,6;23,9;67,4;
2012-08-31;33,7;37,2;29;22,7;59,1;
2012-09-30;25,4;38,8;29,8;23,7;57,9;
2012-10-31;1;39,1;30,1;24,6;64,1;
2012-11-30;26,2;38,1;30,1;25,1;64,3;
2012-12-31;166,3;35,6;28,7;24,6;72,7;
2013-01-31;54,7;34,2;28,3;null;77,5;
2013-02-28;310,8;34,5;28;24;77,6;
2013-03-31;255;34,1;28;24,5;80,6;
2013-04-30;295,5;34,7;28,2;24,4;80,6;
2013-05-31;171,9;34,1;28,2;23,9;79,9;
2013-06-30;97,3;34,4;28,1;23,5;76,5;
2013-07-31;27;34,3;27,7;22,6;76;
2013-08-31;8,7;36,6;28,9;22,8;70,5;
2013-09-30;11,4;38,4;29,6;22,7;63,6;
2013-10-31;14,7;37,9;29,3;22,6;64,1;
2013-11-30;288,5;35,7;28,2;22;71,8;
2013-12-31;59,3;35,7;28,7;23,6;72,4;
2014-01-31;275,7;32,7;null;null;79,9;
2014-02-28;377,6;33,1;null;null;85,9;
2014-03-31;273,7;33,7;27,5;23,8;83,2;
2014-04-30;440,6;33,8;27,3;23,8;84,9;
2014-05-31;284,9;33,9;27,4;23,6;83,1;
2014-06-30;46;33,8;28,1;23,4;77,2;
2014-07-31;2,2;34,6;28,1;22,9;74,3;
2014-08-31;18,7;36,6;28,5;22,4;65,9;
2014-09-30;51,8;36,8;null;null;68,1;
2014-10-31;27,7;38,1;null;null;65,5;
2014-11-30;24,7;36,6;null;null;66,6;
