Nome: CALDEIRAO
Codigo Estacao: 82474
Latitude: -4.328706
Longitude: -41.721691
Altitude: 183.51
Situacao: Desativada
Data Inicial: 2010-01-01
Data Final: 2015-02-26
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;134,7;32,4;26,5;19,7;73,3;
2010-02-28;106;34,4;27,7;20,2;67,3;
2010-03-31;346,1;33,4;26,6;19,8;71,5;
2010-04-30;235,2;32,2;26,5;19,7;72,8;
2010-05-31;139,6;32,9;26,8;20,1;75,1;
2010-06-30;58,3;32,9;27;20,5;69,2;
2010-07-31;0;35;28;20,3;62,8;
2010-08-31;0;36,5;28,6;20,3;57,2;
2010-09-30;1,5;37,6;29,4;20,8;52,1;
2010-10-31;75,7;37,5;29;20,8;56,7;
2010-11-30;21,7;36,7;29;21,3;59,4;
2010-12-31;364,4;33,5;26,9;20,1;74,3;
2011-01-31;342,6;31,5;25,6;20;82,4;
2011-02-28;169;31,1;25,4;19,5;84;
2011-03-31;409,7;30,6;25,2;19,9;87,5;
2011-04-30;343,4;30;24,9;19,9;89,6;
2011-05-31;219;31,4;25,8;19,6;83,3;
2011-06-30;4,2;32,3;26,2;19,7;74,5;
2011-07-31;15;32,9;26,6;20,2;72,7;
2011-08-31;18,1;35;27,8;20,9;63,7;
2011-09-30;0;36,2;28,8;21;55,6;
2011-10-31;99,6;35,8;28,3;20,9;62,9;
2011-11-30;65,8;35,4;28,3;21,5;64,3;
2011-12-31;70,7;36,9;28,8;21;59;
2012-01-31;78,1;34,8;27,5;21,3;68,8;
2012-02-29;150,5;32,4;26,3;20,7;75,6;
2012-03-31;298;31,8;26,1;20,6;79,4;
2012-04-30;130,3;32,8;27,2;20,9;74,5;
2012-05-31;41,6;34,2;27,9;21;68,7;
2012-06-30;8,7;34,6;27,9;20,9;65,2;
2012-07-31;0;35,5;27,9;19,9;62,5;
2012-08-31;0;36,7;28,5;20,4;59,1;
2012-09-30;0;37,6;29,2;20,3;56;
2012-10-31;1;38,6;29,3;21,2;55;
2012-11-30;3,6;38,3;29,2;20,7;54,9;
2012-12-31;40,9;37,6;29,2;21,2;55;
2013-01-31;135,8;33,7;27,5;21,4;65,9;
2013-02-28;156,7;34,8;27,4;21,2;70,8;
2013-03-31;159,5;33,9;27,4;21,6;69,1;
2013-04-30;331,2;32;26,6;21,3;75;
2013-05-31;91,5;32,5;26,8;20,7;75,8;
2013-06-30;33,3;33,3;26,7;20,5;71,9;
2013-07-31;16,2;33,7;27;20,4;66,6;
2013-08-31;0;34,5;28,6;21,9;57,9;
2013-09-30;0;38,3;29,8;22,1;52,6;
2013-10-31;11,1;39,6;30,2;22,2;51,3;
2013-11-30;23,4;37,5;29,6;22,7;54,6;
2013-12-31;44,8;37,9;30,3;22,7;51,6;
2014-01-31;149,7;36,2;28,4;22,5;65,8;
2014-02-28;180;32,9;26,8;22,5;79,1;
2014-03-31;278,1;33;27,1;22,5;71,8;
2014-04-30;290,6;31,8;26,6;22,4;73,3;
2014-05-31;117,9;32,5;27,2;22,7;71,3;
2014-06-30;35,7;33,4;27,8;22,4;65,9;
2014-07-31;0;35;27,9;22;64,9;
2014-08-31;0;36,7;29,2;21,7;58,9;
2014-09-30;0;38,5;30,1;21,8;55,3;
2014-10-31;21,7;39,2;30,5;23,1;53,7;
2014-11-30;19,4;38,2;29,7;22,9;57,3;
2014-12-31;3,2;37,1;29,5;22,9;57,7;
2015-01-31;63,2;35,7;28,6;22,4;61,3;
2015-02-28;null;null;null;null;null;

