Nome: CAXIAS
Codigo Estacao: 82476
Latitude: -4.86722221
Longitude: -43.35666666
Altitude: 96.67
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2022-08-30
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;137,1;33,3;27,3;22,8;72,3;
2010-02-28;226,5;33,1;27,9;23,9;74,7;
2010-03-31;107,3;34,2;28,2;23,8;71,3;
2010-04-30;266,1;32,9;27,5;23,5;78,1;
2010-05-31;174,7;33,6;27,9;23,7;76;
2010-06-30;102,2;33,3;26,9;21,8;71,1;
2010-07-31;1,7;34,8;27,6;21,4;59,3;
2010-08-31;0;36,9;28,3;21,2;53,7;
2010-09-30;3,3;38,9;30,1;22,9;48,3;
2010-10-31;93,2;38,5;30,4;24,3;55,3;
2010-11-30;4,8;37,7;30,2;24,8;55,7;
2010-12-31;124,6;34,4;28,3;24;67,8;
2011-01-31;104,8;33;27,1;23;73,9;
2011-02-28;260,7;32;26,3;22,7;81;
2011-03-31;197,2;32,7;26,7;22,7;79,5;
2011-04-30;399,9;33,2;26,8;23,2;80,8;
2011-05-31;173;32,2;27;23,4;77,2;
2011-06-30;8,3;33,1;26,9;22,2;69,5;
2011-07-31;14,4;34;26,8;21,4;62,7;
2011-08-31;39;35,7;28;22,4;56,8;
2011-09-30;0;38,4;29,7;22,8;47,5;
2011-10-31;112,2;37,2;29,7;24,3;55,3;
2011-11-30;83,1;34,3;28,2;24,1;66,2;
2011-12-31;22,2;36,1;29,1;24,4;60,4;
2012-01-31;223,7;33,6;27,5;23,4;72,4;
2012-02-29;191,6;32,3;26,6;22,8;75,1;
2012-03-31;226,9;32,6;26,6;23,1;75,6;
2012-04-30;73,2;33,3;27,7;23,9;72,1;
2012-05-31;11,9;34,4;28;23,7;66,4;
2012-06-30;67;35,5;28,3;23,5;62;
2012-07-31;0;36,2;28,3;22,2;54,8;
2012-08-31;0;38,2;29,3;21,8;44,8;
2012-09-30;8,7;39,3;30,8;23,7;44,3;
2012-10-31;10;40,4;31,8;25;44;
2012-11-30;27,9;39,2;31;25;52,9;
2012-12-31;101,9;36,7;29,1;24,6;61,3;
2013-01-31;185,2;34,2;28,2;24;66,7;
2013-02-28;125;34,8;27,9;23,8;69,7;
2013-03-31;305,8;34,5;28,1;24;69,4;
2013-04-30;290,7;32,8;27,4;23,7;81,5;
2013-05-31;62,3;33,1;27,4;23,4;73,6;
2013-06-30;42,6;33,6;27,3;23,2;70,6;
2013-07-31;2,4;35,6;28;22,8;57;
2013-08-31;2,8;38,1;29,3;22,8;48,9;
2013-09-30;17,4;39,1;30,6;23,7;48,7;
2013-10-31;17,4;39;31;24,9;54,2;
2013-11-30;69,7;36,1;29,2;24,4;63,5;
2013-12-31;61;35,7;29;24,5;68;
2014-01-31;215,7;33,6;27,4;22,9;76,2;
2014-02-28;252,8;31,8;26,5;22,3;84;
2014-03-31;195,9;32,1;26,5;22;82,9;
2014-04-30;300,3;32,7;26,6;21,5;83,5;
2014-05-31;97,5;32,5;27;23,1;87,6;
2014-06-30;32,7;33,8;27,9;23,2;73,6;
2014-07-31;53,5;34,5;27,7;22,4;69,1;
2014-08-31;,6;37;28,8;22,3;61,8;
2014-09-30;34,2;38,2;30,1;24,2;57,8;
2014-10-31;68,9;38,6;30,5;24,4;56,3;
2014-11-30;154;35,7;29;24;62;
2014-12-31;44,2;35,9;29,2;24,5;55,2;
2015-01-31;40,1;35,6;28,5;23,6;57,9;
2015-02-28;328,5;33;27,4;23,6;71,4;
2015-03-31;null;null;null;null;null;
2015-04-30;208,4;32,6;27,3;22,9;82,7;
2015-05-31;223,3;33;27,7;23,6;79,4;
2015-06-30;33,5;33,1;27,3;23,2;73;
2015-07-31;36,1;34,2;27,7;22,8;63,5;
2015-08-31;0;37,2;28,6;22,1;53,4;
2015-09-30;63,1;39,1;30,5;23,9;46,1;
2015-10-31;2,8;39,9;31,5;24,7;41,9;
2015-11-30;4,3;40;31,7;25,3;41,7;
2015-12-31;10;39,8;31,7;25,5;43,2;
2016-01-31;356,8;32,7;27,7;24;68,8;
2016-02-29;null;33,9;null;24,1;60,6;
2016-03-31;290;32,8;27,5;23,8;74,6;
2016-04-30;104,2;null;null;null;null;
2016-05-31;null;null;null;null;null;
2016-06-30;null;35,4;null;22,2;null;
2016-07-31;null;null;null;null;null;
2016-08-31;null;40,3;null;21,3;null;
2016-09-30;null;40,5;31,6;25;52,3;
2016-10-31;2,6;40,9;31,7;25,3;53,7;
2016-11-30;,2;41,1;32,4;26,2;53,4;
2016-12-31;43,6;39,8;31,8;26,3;58,5;
2017-01-31;192,5;null;null;null;null;
2017-02-28;471,1;null;null;null;null;
2017-03-31;233,7;null;null;null;null;
2017-04-30;250,8;null;null;null;null;
2017-05-31;210,5;null;null;null;null;
2017-06-30;6,6;null;null;null;null;
2017-07-31;20,7;null;null;null;null;
2017-08-31;3,4;null;null;null;null;
2017-09-30;0;null;null;null;null;
2017-10-31;0;null;null;null;null;
2017-11-30;48,6;null;null;null;null;
2017-12-31;49,7;null;null;null;null;
2018-01-31;null;null;null;null;null;
2018-02-28;382,1;null;null;null;null;
2018-03-31;null;null;null;null;null;
2018-04-30;249,4;null;null;null;null;
2018-05-31;49,7;null;null;null;76,9;
2018-06-30;49,9;null;null;null;71,6;
2018-07-31;24,6;null;null;null;68;
2018-08-31;1,2;null;null;null;64,8;
2018-09-30;13,5;null;null;null;59,9;
2018-10-31;43;null;null;25,3;61,4;
2018-11-30;31,9;null;null;25,3;65;
2018-12-31;242,6;null;null;22,8;75,1;
2019-01-31;175,7;null;null;20,5;79,7;
2019-02-28;228,5;null;null;22,6;82;
2019-03-31;373,9;null;null;22,6;81,8;
2019-04-30;362,7;null;null;23,3;81,7;
2019-05-31;193,9;null;null;23,9;78,3;
2019-06-30;16;null;null;22,8;76;
2019-07-31;5,5;34,4;27,5;22,1;69,4;
2019-08-31;0;36,7;28,9;23;61,2;
2019-09-30;33,6;38,2;30,2;24;57,7;
2019-10-31;55,6;37,7;30,4;24,6;60,1;
2019-11-30;15,1;39,5;31;24,8;62,4;
2019-12-31;null;null;null;null;null;
2020-01-31;null;null;null;null;null;
2020-02-29;247;31,4;26,7;23,3;77,5;
2020-03-31;540,4;31,4;26,3;23,6;82,8;
2020-04-30;281,2;32,5;27,2;23,7;82,1;
2020-05-31;null;null;null;null;null;
2020-06-30;null;null;null;null;null;
2020-07-31;null;null;null;null;null;
2020-08-31;null;null;null;null;null;
2020-09-30;4,9;38,2;30,1;23,6;62,5;
2020-10-31;48,3;38,3;30,9;25,2;61,7;
2020-11-30;23,9;35,5;29,5;25,3;72,9;
2020-12-31;105,5;35,4;null;25,3;null;
2021-01-31;null;null;null;null;null;
2021-02-28;null;32,2;27,1;23,8;84,5;
2021-03-31;248,7;31,9;26,7;23,7;87,8;
2021-04-30;76,3;32,7;27,5;23,9;85,7;
2021-05-31;65,7;33,3;27,7;23,9;82,9;
2021-06-30;30,2;33,6;27,7;23,7;81,6;
2021-07-31;24,6;35;28,1;23,2;77,3;
2021-08-31;0;37,7;29,7;23,6;71,3;
2021-09-30;53,2;38,5;31;25,2;72,4;
2021-10-31;86;38;30,5;25,3;72,8;
2021-11-30;99,9;35,7;29,2;25,2;77;
2021-12-31;259,6;34,1;28,7;25,3;82,3;
2022-01-31;null;null;null;null;null;
2022-02-28;null;32,5;27,5;24,1;86,2;
2022-03-31;425,8;31;26,4;23,5;90,1;
