Nome: PIRIPIRI
Codigo Estacao: 82480
Latitude: -4.2761111
Longitude: -41.79444444
Altitude: 157.89
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2021-07-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;91,6;33,9;27,4;23,2;69;
2010-02-28;97,3;34,7;28,4;24,3;67;
2010-03-31;343,6;34,6;27,6;23,5;74,6;
2010-04-30;204,5;33;27,4;23,9;79,9;
2010-05-31;140,4;33,2;27,3;23,6;79,9;
2010-06-30;41,6;33;27,1;22,6;71,7;
2010-07-31;,1;35;28;22,5;66,1;
2010-08-31;2,4;36,4;28,4;21,5;53,1;
2010-09-30;,4;37,8;29,3;21,9;48,3;
2010-10-31;47,9;37,7;29;22,5;56,3;
2010-11-30;44,3;37,2;29;23;58,2;
2010-12-31;351,4;34;27,3;22,8;75,7;
2011-01-31;288;31,5;25,9;22,5;80,3;
2011-02-28;247,9;31,1;25,7;22,6;83,1;
2011-03-31;371;31,2;25,6;22,5;86,2;
2011-04-30;448,6;30,9;25,6;22,6;87,2;
2011-05-31;252,4;31,6;26,7;23,3;77,8;
2011-06-30;40;32,4;26,6;22,3;72,8;
2011-07-31;43,1;32,3;26,6;21,8;71,8;
2011-08-31;10,1;34,7;27,5;21,5;61,7;
2011-09-30;,6;36,6;28,3;21,6;65;
2011-10-31;56,7;36,4;28,3;22,5;72,7;
2011-11-30;13,7;35,6;28,5;23;63,7;
2011-12-31;10,2;36,6;28,7;22,3;68,3;
2012-01-31;84,7;34,8;27,6;23;69,5;
2012-02-29;248,5;32,9;26,5;22,4;76;
2012-03-31;250,3;32,8;26,2;22,5;80,6;
2012-04-30;78,1;32,5;26,5;22,9;81;
2012-05-31;30;33,8;27,1;22,5;79,3;
2012-06-30;22,4;34,8;27,3;22;68,2;
2012-07-31;3,5;35,6;28;21,7;63,9;
2012-08-31;,3;36,6;28,8;21,4;49,5;
2012-09-30;0;37,4;29,1;21,8;58,6;
2012-10-31;6,6;38,4;29,7;22,6;50,6;
2012-11-30;78,1;37,5;29,4;22,9;54,3;
2012-12-31;40;36,7;29,1;23,3;66,8;
2013-01-31;123,6;34,6;27,9;23,5;69,9;
2013-02-28;174,1;34,9;27,8;23,1;70,2;
2013-03-31;169,8;34,3;27,6;23,5;74,8;
2013-04-30;235,6;32,5;26,6;23,2;82,3;
2013-05-31;95;32,3;26,4;22,6;85,2;
2013-06-30;59,4;32,8;26,7;22;81,1;
