Nome: GUARAMIRANGA
Codigo Estacao: 82487
Latitude: -4.26138888
Longitude: -38.9311111
Altitude: 865.44
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2019-08-30
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;135,1;26,3;21,5;19,2;87,1;
2010-02-28;52,5;26,6;22,2;19,8;85,8;
2010-03-31;130;27,3;22,5;20;84,5;
2010-04-30;356,3;25,4;22;19,9;90,4;
2010-05-31;72,2;25,6;21,8;19,7;89;
2010-06-30;76;25,5;21,2;18,6;84;
2010-07-31;9,1;26,2;21,1;18,1;88,5;
2010-08-31;4,1;27,1;21;17,4;75,9;
2010-09-30;20;27,7;21,2;17,1;80,9;
2010-10-31;11,4;28,4;21,8;18,5;76,9;
2010-11-30;19,8;28,3;21,8;18,7;79,4;
2010-12-31;188,6;26,3;21,4;18,8;85,1;
2011-01-31;397,6;24,4;20,7;18,5;89,4;
2011-02-28;228,9;24,1;20,9;19;90,5;
2011-03-31;270,1;24,7;21,1;18,8;91,2;
2011-04-30;208,4;24,1;21;19,1;94,4;
2011-05-31;248,4;23,8;21;19,1;93,1;
2011-06-30;98,4;23,4;20,3;18,1;91,8;
2011-07-31;182,2;23,3;19,9;17,4;92,5;
2011-08-31;71,3;25;20,2;17,3;85,5;
2011-09-30;4,8;27,1;20,8;17,2;78,5;
2011-10-31;100,3;26,3;20,7;18;84,8;
2011-11-30;60,9;25,9;20,8;18,4;87,2;
2011-12-31;16,5;26,6;21;18,7;84,4;
2012-01-31;113,8;26,1;21,1;18,6;86,1;
2012-02-29;243,6;25,3;20,8;18,4;87,5;
2012-03-31;158,2;24,5;20,7;18,6;91,2;
2012-04-30;99,4;25,4;21,2;19,4;91,7;
2012-05-31;56,5;25,6;20,9;18,6;87,4;
2012-06-30;158,7;24,9;20,5;18,3;89,2;
2012-07-31;17,3;25,3;20,4;17,6;90,6;
2012-08-31;1,8;26,8;20,6;17,2;80,2;
2012-09-30;3;27,4;20,8;17,4;77,4;
2012-10-31;24,7;27,9;21;17,7;78,8;
2012-11-30;16,2;27,7;21,4;18,6;80,4;
2012-12-31;47,6;27,5;21,5;18,9;83,5;
2013-01-31;91,4;26,9;21,6;19,1;84,7;
2013-02-28;140,7;26,8;21,7;19,3;85,3;
2013-03-31;126,2;26,8;22;19,7;86,5;
2013-04-30;257;25,3;21,5;19,4;90,2;
2013-05-31;280,5;24,4;21,1;19,3;93,6;
2013-06-30;215,6;24,3;20,5;18,3;90,4;
2013-07-31;157;23,9;20;17,8;91,7;
2013-08-31;21,8;25,9;20,6;17,7;82,9;
2013-09-30;21,3;27,2;20,9;17,8;81;
2013-10-31;22,2;27,6;21,2;18,1;80,9;
2013-11-30;59;26,9;21,1;18,5;83,4;
2013-12-31;15,4;27;21,4;18,8;81,5;
2014-01-31;155,5;26,3;21,2;18,8;85,5;
2014-02-28;120,6;25,3;21;18,9;88,7;
2014-03-31;367,8;24,9;21,1;19;90,9;
2014-04-30;200,7;24,7;21,3;19,4;91,5;
2014-05-31;208,6;24,4;21,2;19,3;93,7;
2014-06-30;94;24,3;20,7;18,5;89,5;
2014-07-31;22,6;25,1;20,3;17,6;91,4;
2014-08-31;2,6;26,5;20,5;17,4;80,9;
2014-09-30;64;26,9;20,7;17,6;82,9;
2014-10-31;40,4;27,3;21,1;18;80,5;
2014-11-30;63,6;27;21;18,3;84;
2014-12-31;36,7;26,6;21,5;18,9;83;
2015-01-31;135,3;25,7;21,6;19,3;83,8;
2015-02-28;176,3;25;21,8;19,7;87;
2015-03-31;339,6;24,3;21,5;19,5;90,2;
2015-04-30;190,4;24,1;21,7;19,8;91,3;
2015-05-31;106,9;24,6;21,7;19,8;90,1;
2015-06-30;158,5;24,1;21,2;18,9;87,2;
2015-07-31;370,2;23,3;20,4;18,1;92,9;
2015-08-31;14,1;26,5;20,5;17,1;83,6;
2015-09-30;37,6;27,4;20,6;17,7;84,5;
2015-10-31;8,1;28,3;21,1;17,9;81,6;
2015-11-30;3,7;29;21,8;18,4;79,3;
2015-12-31;59,8;28,4;21,9;18,9;81,3;
2016-01-31;235,5;26;21,6;19,4;91,1;
2016-02-29;94,8;26,3;21,7;19,3;89,4;
