Nome: JAGUARUANA
Codigo Estacao: 82493
Latitude: -4.85361111
Longitude: -37.77722221
Altitude: 16.57
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2019-04-30
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;32,1;34,3;28,4;24,1;71,3;
2010-02-28;9,4;35,5;29,3;24,8;69,2;
2010-03-31;38,5;35,4;29,3;25;70,5;
2010-04-30;182;34;28,6;24,6;76,7;
2010-05-31;40,3;34,2;28,4;24;74;
2010-06-30;17,8;34,5;28,2;23,2;66,4;
2010-07-31;7,4;34,4;27,9;23,1;62,7;
2010-08-31;0;34,9;27,8;22,1;58,9;
2010-09-30;0;35,5;28,1;22,5;58,1;
2010-10-31;10;35,2;28,3;23,4;64,9;
2010-11-30;,4;35,2;28,7;23,8;62,9;
2010-12-31;48,5;34,1;28,2;23,9;70,1;
2011-01-31;278,7;32,1;27,2;23,6;77,1;
2011-02-28;111,5;31,7;27,1;23,6;80,5;
2011-03-31;152,2;31,6;27;23,5;83,1;
2011-04-30;336,8;31,2;26,5;23,2;85,1;
2011-05-31;151,1;30,9;26,4;23;83,6;
2011-06-30;11,6;31,8;26,3;22,1;77,6;
2011-07-31;70,1;31,6;26,2;21,9;72,6;
2011-08-31;4,2;33,8;26,6;21,2;67,7;
2011-09-30;0;35,3;27,6;21,7;61,4;
2011-10-31;14,1;34,3;27,8;23,2;66,8;
2011-11-30;2,8;34,3;28,1;23,6;67,7;
2011-12-31;39,4;34;27,8;23,2;67,4;
2012-01-31;21,9;33,7;27,9;23,7;69,8;
2012-02-29;198,8;33,2;27,5;23,1;73,7;
2012-03-31;81,6;32,9;27,3;23,4;77,4;
2012-04-30;96,1;34,3;28;23,6;75,4;
