Nome: MANICORE
Codigo Estacao: 82533
Latitude: -5.81777777
Longitude: -61.29083333
Altitude: 40.1
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2022-06-20
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;452,6;32,3;26,5;23;87,7;
2010-02-28;399;32,8;26,8;23,2;86,3;
2010-03-31;300,2;33,7;27,2;23,2;85,2;
2010-04-30;379,2;32,3;26,7;23;87,7;
2010-05-31;126,2;33,1;27;22,8;84,5;
2010-06-30;139,4;33,5;27,1;22,5;82,8;
2010-07-31;43,8;32,8;26,1;21,2;80,7;
2010-08-31;17,2;35,2;27,2;21,4;75;
2010-09-30;104;35;27,9;23,3;77,3;
2010-10-31;161,2;34,9;27,6;23,3;80,6;
2010-11-30;220,4;32,7;27;23,2;84,4;
2010-12-31;136,8;32,6;26,6;23,1;84,2;
2011-01-31;458;31,4;26;23,1;89,1;
2011-02-28;388,4;31,8;26,1;22,9;86,3;
2011-03-31;154,8;32,3;26,5;23,1;86,6;
2011-04-30;462;32;26,6;23;86,5;
2011-05-31;232,8;32,3;26,8;23,2;85,8;
2011-06-30;42,4;33,7;27,1;22,6;80,4;
2011-07-31;32;34,2;27;21,8;79,9;
2011-08-31;74,8;35,2;27,4;22,3;76,3;
2011-09-30;169,2;34,6;27,3;22,9;80,7;
2011-10-31;319,2;34;27,2;23,2;83,3;
2011-11-30;308,6;33,1;27,1;23,5;83,3;
2011-12-31;296,4;33,2;27,1;23,6;85,5;
2012-01-31;433;32,1;26,4;23,2;86,8;
2012-02-29;388;31,6;26;22,8;87;
2012-03-31;381,8;32,5;26,3;23,1;86,1;
2012-04-30;409,9;32,8;26,6;23,1;85,5;
2012-05-31;235,6;32,5;26,7;23,3;85,3;
2012-06-30;138,2;32,9;26,7;22,7;83,3;
2012-07-31;9,4;33,8;26,9;22,3;80,9;
2012-08-31;2,6;35,4;27,4;21,7;73,8;
2012-09-30;90,4;35,8;27,8;23,1;76,6;
2012-10-31;274,4;34,7;27,5;23,4;81,4;
2012-11-30;197,2;34,2;27,6;23,8;82,7;
2012-12-31;311,2;32,8;26,7;23,4;85,6;
2013-01-31;340;null;null;23,7;85,2;
2013-02-28;330,2;31,3;26,3;23,6;86,7;
2013-03-31;349,8;32,5;26,8;23,9;85,1;
2013-04-30;403;32,6;27;23,9;86;
2013-05-31;201,2;32,6;27;23,9;84,9;
2013-06-30;76,8;33,2;27,1;23,6;83;
2013-07-31;73,2;32,7;26,4;22,4;82,3;
2013-08-31;44,2;34,1;27;22,5;77,6;
2013-09-30;165,4;33,7;27,1;23,2;81,9;
2013-10-31;155,4;33,7;27,4;23,8;81,1;
2013-11-30;488,8;31,8;26,4;23,6;85,7;
2013-12-31;245;32,9;27,1;24;84,5;
2014-01-31;359;32,2;26,5;23,7;86,5;
2014-02-28;377,4;31,4;26,2;23,7;86,9;
2014-03-31;371,6;32,3;26,7;24;86;
2014-04-30;276,4;32,2;26,7;24;87,3;
2014-05-31;213;32;26,8;24;87;
2014-06-30;32;33,5;27,4;23,6;80,2;
2014-07-31;99,4;33,4;27;23,1;79,6;
2014-08-31;73,2;34,1;27,3;23;79,1;
2014-09-30;96;34,5;27,7;23,5;79,7;
2014-10-31;194;32,8;27;23,8;84,5;
2014-11-30;373;33;27;23,8;83,6;
2014-12-31;257,4;33,3;27;24;84,5;
