Nome: MARABA
Codigo Estacao: 82562
Latitude: -5.36611111
Longitude: -49.12527777
Altitude: 101.66
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;281,3;31,8;27;23,3;79,8;
2010-02-28;238,3;32;27,1;23,3;81,8;
2010-03-31;238,3;32,8;27,7;23,4;80;
2010-04-30;271,9;32,8;27,8;24,2;81,8;
2010-05-31;127,2;34,3;28,6;24,2;75,8;
2010-06-30;28,3;34,2;28,7;23,6;67,3;
2010-07-31;0;35,1;28,9;22,9;59,7;
2010-08-31;19;36,1;29;22,6;58,2;
2010-09-30;8,9;36,2;29,8;24,4;60;
2010-10-31;148,7;34,7;28,9;24,2;68,9;
2010-11-30;49,7;33,6;28,4;23,9;72,3;
2010-12-31;251,3;31,8;27;23,4;80,3;
2011-01-31;393,7;30,9;26;22,7;84,4;
2011-02-28;270,8;31,4;26,1;22,7;82,9;
2011-03-31;410,5;31,9;26,7;23;82;
2011-04-30;353,6;32,5;26,8;23,1;82,8;
2011-05-31;151,8;33,2;27,8;23,9;76,5;
2011-06-30;41,8;34,2;28,3;23,3;69,5;
2011-07-31;19,8;34,6;27,9;22;63,2;
2011-08-31;27,8;36;28,9;23,1;62,3;
2011-09-30;4,4;35,7;29,5;24,2;59;
2011-10-31;98,5;34,3;28,4;24;70,3;
2011-11-30;319,5;32,4;27,1;23,3;77,6;
2011-12-31;80,1;32,8;27,6;23,7;76,5;
2012-01-31;213,7;30,4;26;23,2;81;
2012-02-29;289,8;null;null;25,3;74,9;
2012-03-31;226,6;null;null;25,9;74,1;
2012-04-30;148,2;null;null;26,8;72,3;
2012-05-31;56,3;null;null;null;71,2;
2012-06-30;68,2;31,7;27,1;23,2;74,3;
2012-07-31;10;32,8;27,3;22,5;70,3;
2012-08-31;0;35;28,3;22;56,5;
2012-09-30;15,8;34,8;28,9;23,9;62,4;
2012-10-31;21,7;33,9;28,6;24,3;67,3;
2012-11-30;144,4;32,8;28,3;24,5;73;
2012-12-31;204;31,7;27,2;23,4;78,8;
2013-01-31;191,3;30,7;26,6;23,7;84,1;
2013-02-28;185,6;31,6;26,7;23,2;81,8;
2013-03-31;363,6;32;26,9;22,9;82,3;
2013-04-30;291,9;32;27,2;23,3;82,6;
2013-05-31;80,6;32,9;27,6;23;76,5;
2013-06-30;26;33,2;27,6;22,5;72,6;
2013-07-31;36,2;33,6;27,8;22,4;69,6;
2013-08-31;14,3;34,4;28,4;22,8;66,8;
2013-09-30;104,2;33,5;28,1;23;70,6;
2013-10-31;102,2;33,3;28;23,1;71,2;
2013-11-30;124,4;31,8;27,1;22,9;78,1;
2013-12-31;121,5;32,6;27,5;23,2;77,1;
2014-01-31;253,2;31,2;26,2;22,1;81,3;
2014-02-28;444,1;30,8;26,1;21,9;83,9;
2014-03-31;363,3;31,5;26,5;22,5;82,5;
2014-04-30;301,1;32;27;22,8;80,3;
2014-05-31;151,5;32,7;27,5;23,1;78,4;
2014-06-30;3,1;34;28,4;22,9;66,3;
2014-07-31;10,8;34,3;28,2;22,5;65,1;
2014-08-31;18,5;34,8;28,4;22,5;64;
2014-09-30;65,4;33,8;28;22,9;69,5;
2014-10-31;173,8;33,3;27,9;23,1;72,5;
2014-11-30;104,3;32,7;28;23,7;74,9;
2014-12-31;215,9;31,8;27,2;23,3;79;
2015-01-31;310,7;31,6;26,4;22,5;79,3;
2015-02-28;320,5;31;26,2;22,6;83,7;
2015-03-31;357;31,5;26,4;22,7;83,9;
2015-04-30;100,7;32,6;27,4;23,5;79,5;
2015-05-31;68;33,1;27,9;23,7;76,4;
2015-06-30;39,1;33,5;28,1;23,4;70,4;
2015-07-31;53,1;33,7;28;23,1;69,6;
2015-08-31;9,8;35,6;28,6;23;64,1;
2015-09-30;4,9;35,2;29,2;24,2;63,9;
2015-10-31;49,1;35,7;29,6;24,9;67,1;
2015-11-30;69,2;33,9;28,7;24,5;71,8;
2015-12-31;110;33,2;28;24,3;75,1;
2016-01-31;277,9;30,9;26,9;23,7;84;
2016-02-29;88,5;34,1;28,5;24,3;74,5;
2016-03-31;367,8;32,7;27,6;24,1;82,5;
2016-04-30;213,6;33,1;28;24,3;81;
2016-05-31;88,7;33,8;28,3;24,3;77,2;
2016-06-30;22,7;34,3;28,4;23,5;70,7;
2016-07-31;4,8;35,7;28,9;23;61,7;
2016-08-31;,3;36,3;29,4;23,9;60,8;
2016-09-30;100,3;34,9;28,6;23,9;70;
2016-10-31;187,4;33,9;28,3;23,7;72,9;
2016-11-30;183,1;33,4;28;24;78,6;
2016-12-31;119;32,2;27,2;23,6;79;
2017-01-31;285,3;31,5;26,4;22,9;84;
2017-02-28;579,2;30,5;26,1;22,9;86,1;
2017-03-31;334,7;32;26,7;23,2;83,5;
2017-04-30;212,8;33;27,5;23,7;81,2;
2017-05-31;107,9;34;28,4;24,2;76,5;
2017-06-30;4,6;35;28,6;23,4;66,8;
2017-07-31;7,8;null;null;null;null;
2017-08-31;6,2;null;null;null;null;
2017-09-30;13;null;null;null;null;
2017-10-31;34,6;null;null;null;null;
2017-11-30;378,1;null;null;null;null;
2017-12-31;160,6;null;null;null;null;
