Nome: IMPERATRIZ
Codigo Estacao: 82564
Latitude: -5.53638888
Longitude: -47.47888888
Altitude: 126.33
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;183,2;33;26,9;20,6;78,4;
2010-02-28;198,7;32,9;27,1;21;80,7;
2010-03-31;169,7;33,8;27,5;20,9;79,9;
2010-04-30;259,7;33,8;27,4;20,6;81,7;
2010-05-31;162,6;34,3;28,4;23,8;78,3;
2010-06-30;32,3;34,4;28;22,3;70,5;
2010-07-31;11,4;35,4;28,1;21,2;59;
2010-08-31;4,7;36,8;28,4;20,1;54,3;
2010-09-30;8;38;30,2;21,8;48,4;
2010-10-31;144,9;36;28,7;21,7;64,9;
2010-11-30;48,1;34,1;27,7;21;73,9;
2010-12-31;168,1;32,7;26,7;20,1;82,6;
2011-01-31;390,3;32;25,7;19,2;84,4;
2011-02-28;342,6;31,7;25,8;21,3;85,5;
2011-03-31;346,1;32,1;26,8;23,3;86;
2011-04-30;169,8;32,2;26,8;23,4;86;
2011-05-31;122,3;33,2;27,6;23,5;83,1;
2011-06-30;,4;34,4;27,8;22,1;75,9;
2011-07-31;10;34,8;27,4;20,4;66,8;
2011-08-31;0;36,7;28,8;21,1;66,4;
2011-09-30;0;38;30,1;21,8;62,9;
2011-10-31;169,9;35,3;28,5;22,1;74,1;
2011-11-30;90,8;32,4;26,9;21,5;82,7;
2011-12-31;114,5;33,2;27,1;21,5;82;
2012-01-31;248,1;31,5;25,9;20,8;85,5;
2012-02-29;252,1;31,3;25,8;22,3;85,8;
2012-03-31;149,2;32,6;26,7;22,9;85;
2012-04-30;59;33,7;27,6;23,2;82,8;
2012-05-31;29,4;34;27,6;22,5;79,4;
2012-06-30;57,9;33,9;27;21,4;79,3;
2012-07-31;4,5;35,6;27,7;20,7;72,4;
2012-08-31;,2;37,4;28,7;20,5;60;
2012-09-30;25,6;37,7;30,1;23,2;59,9;
2012-10-31;120,8;35,5;29;23,5;69,2;
2012-11-30;194,1;33,4;27,6;23;78,6;
2012-12-31;234,8;33,2;26,9;22,3;80,5;
2013-01-31;221,3;32,2;26,7;22,4;83,7;
2013-02-28;170,9;32,7;26,7;22,2;84,6;
2013-03-31;265,7;33,2;27,2;22,6;83,3;
2013-04-30;146,3;33,1;27,3;22,7;84;
2013-05-31;83,9;33,4;27,4;21,9;80,3;
2013-06-30;21,2;33,7;27,2;21,2;78,6;
2013-07-31;13,6;34,8;27,6;20,8;76,6;
2013-08-31;7,6;36,4;29,1;22;69,5;
2013-09-30;42,2;37;30;24,4;66,8;
2013-10-31;47;35,8;29,2;24,1;71,3;
2013-11-30;92,3;33,4;27,5;23,7;81,9;
2013-12-31;221,1;33;27,6;23,6;80,8;
2014-01-31;150,3;32,4;26,6;22,9;83,4;
2014-02-28;279,1;32,1;26,5;23,1;85,5;
2014-03-31;175,8;32,7;26,9;23,4;84,9;
2014-04-30;141,1;33;27;23,4;87,6;
2014-05-31;22,3;null;null;23,3;85,8;
2014-06-30;0;null;null;22,5;80,3;
2014-07-31;0;null;null;21,9;77,8;
2014-08-31;9,7;null;null;22,3;69,8;
2014-09-30;20,9;null;null;24;70,8;
2014-10-31;79,8;null;null;null;73,2;
2014-11-30;169,5;null;null;null;75,1;
2014-12-31;154,6;null;null;22,4;76,9;
2015-01-31;119,7;null;null;21,6;78,6;
2015-02-28;121,1;null;null;21,7;78;
2015-03-31;234,9;null;null;22;80,8;
2015-04-30;65,9;32,5;28,3;22,7;76,7;
2015-05-31;57;33,1;28,8;23,3;74,9;
2015-06-30;1,9;34,1;28,5;22,8;73,5;
2015-07-31;5,9;35,4;28,8;22,6;71,9;
2015-08-31;,1;37;29,5;22,1;65,4;
2015-09-30;1,2;37,3;30;22,1;65,2;
2015-10-31;60,3;37,7;30,5;22,4;64,4;
2015-11-30;64,5;35,2;29,1;21,9;71,3;
2015-12-31;59,3;34,6;28,2;21,6;77;
2016-01-31;250,7;31,5;26,4;20,7;88,5;
2016-02-29;127,6;34,5;28,1;21,3;78;
2016-03-31;190,8;32,9;27,4;21,7;84,3;
