Nome: BARRA DO CORDA
Codigo Estacao: 82571
Latitude: -5.50638888
Longitude: -45.23722221
Altitude: 154.17
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;182;31,6;26,4;22,9;82,5;
2010-02-28;131,2;31,9;26,9;23,6;84,8;
2010-03-31;77;32,5;27,3;23,8;82,6;
2010-04-30;253,1;32,1;27;23,6;85,3;
2010-05-31;14,4;33;27,3;23,2;81,4;
2010-06-30;4;33,2;26,7;21,3;71;
2010-07-31;29,5;34,1;27;20,6;63,3;
2010-08-31;0;35,7;27,6;20,1;54,5;
2010-09-30;,6;37,1;29,6;22,8;50,2;
2010-10-31;56,7;36,1;29,4;24,5;61,2;
2010-11-30;58,5;35,1;28,8;24,1;66,1;
2010-12-31;124,6;33,2;27,7;23,9;73,2;
2011-01-31;173,7;31,2;26,1;22,9;82,2;
2011-02-28;290,8;30,8;25,6;22,5;85,7;
2011-03-31;257,3;32;26,3;22,8;83,2;
2011-04-30;205,1;31,8;26,3;23;84,3;
2011-05-31;199,4;32,1;26,6;23,1;80,4;
2011-06-30;1,4;33;26,6;21,3;73,7;
2011-07-31;22,2;33,1;26;19,9;68;
2011-08-31;7,1;34,8;27,2;20,9;65,1;
2011-09-30;,4;36,6;28,9;22,3;56,1;
2011-10-31;107,7;35,2;28,7;24,1;65,4;
2011-11-30;138,6;32,6;27,1;23,3;77,3;
2011-12-31;69,5;33,6;27,7;23,7;74,4;
2012-01-31;110,5;31,9;26,3;22,7;80;
2012-02-29;193,3;31,4;25,6;22,1;81,9;
2012-03-31;196;31,8;26,1;22,4;82,6;
2012-04-30;65,1;32,7;27;23,4;81,7;
2012-05-31;23,1;33,3;26,9;22,7;77;
2012-06-30;21,9;34;27;22;72,6;
2012-07-31;36,7;35,2;27,7;21,1;59,6;
2012-08-31;0;36,1;28,1;20,8;48;
2012-09-30;2,7;37,5;30;23,9;49,5;
2012-10-31;47,1;37,4;30,1;24,9;55,2;
2012-11-30;36,9;34,8;28,8;24,9;66,1;
2012-12-31;112,7;33;27,2;23,3;75,3;
2013-01-31;143,1;32,3;27,4;23,9;77,6;
2013-02-28;109;32,4;26,9;23,4;80;
2013-03-31;212,2;null;null;23,6;81,3;
2013-04-30;35,1;32,8;27,3;24;79,6;
2013-05-31;119,4;32,6;27,1;23,1;78,3;
2013-06-30;40,1;32,7;26,8;22,3;74;
2013-07-31;20,8;34,3;27,4;21,7;61,6;
2013-08-31;1,6;null;null;22,4;52,2;
2013-09-30;,2;null;null;24,4;48,9;
2013-10-31;62,9;null;null;24,5;57,7;
2013-11-30;138,2;null;null;23,6;72,1;
2013-12-31;136;null;null;23,9;73,9;
2014-01-31;119,4;null;null;22,6;81,5;
2014-02-28;184,5;null;null;23;84,3;
2014-03-31;250,2;null;null;23,1;85,3;
2014-04-30;160,5;null;null;23,2;84,9;
2014-05-31;152,3;null;null;22,8;82,6;
2014-06-30;1,4;null;null;21,6;74,5;
