Nome: TERESINA
Codigo Estacao: 82578
Latitude: -5.03472221
Longitude: -42.80138888
Altitude: 75.73
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;164;null;null;null;null;
2010-02-28;95,9;33,3;27,5;22,1;76,8;
2010-03-31;109,5;33,6;27,3;22,4;78,2;
2010-04-30;254,5;32,8;27,1;22,3;84,6;
2010-05-31;115,2;33,3;27,5;23,3;83;
2010-06-30;74,7;32,9;26,7;21,7;75,7;
2010-07-31;1,8;34,2;26,8;21;67,6;
2010-08-31;0;36;27,7;21,3;60,3;
2010-09-30;2;37,8;29,1;21,7;50,7;
2010-10-31;28,7;37,6;29,7;23,6;56,1;
2010-11-30;56,7;36,5;29,4;23,6;60,9;
2010-12-31;133,3;34,1;27,7;23,6;73,1;
2011-01-31;151,9;32,2;26,5;22,9;80,4;
2011-02-28;200,8;31,8;26,1;22,7;83,1;
2011-03-31;286,4;32,1;26,4;22,9;83,9;
2011-04-30;387,4;32,2;26,4;23;84;
2011-05-31;213,9;31,7;26,6;23,1;81,9;
2011-06-30;3,9;32,6;26,5;21,8;76,7;
2011-07-31;19,3;33;26,3;20,8;70,9;
2011-08-31;10,8;34,9;27,2;20,9;65,4;
2011-09-30;,6;36,9;28,5;21,4;58,1;
2011-10-31;167,6;36;28,6;22,9;66;
2011-11-30;124,6;33,8;27,4;22,6;74,8;
2011-12-31;23,4;35,3;28,4;22,9;68,2;
2012-01-31;133,1;33,4;27,1;22,6;77,2;
2012-02-29;317,1;32,3;26,2;21,9;83,4;
2012-03-31;264;32,5;26,3;22,4;85,1;
2012-04-30;121;33;26,8;22,6;82,5;
2012-05-31;31,3;33,5;27,2;22,4;77,3;
