Nome: CRATEUS
Codigo Estacao: 82583
Latitude: -5.19055555
Longitude: -40.6736111
Altitude: 299.12
Situacao: Desativada
Data Inicial: 2010-01-01
Data Final: 2018-04-29
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;86,8;33,4;27,3;22,9;67;
2010-02-28;14,1;35,4;29,3;24,6;57,3;
2010-03-31;68,4;35,7;29,3;24,4;59,1;
2010-04-30;108,9;32,3;27;23,3;null;
2010-05-31;18,4;34,8;28;23,1;64,4;
2010-06-30;2,6;34,1;27,7;22,2;54,8;
2010-07-31;2,4;34,4;28,1;22,4;45,7;
2010-08-31;0;34,6;28,3;22,7;43,7;
2010-09-30;0;35,6;29,1;23,2;39,5;
2010-10-31;30;35,9;29,4;23,6;46,4;
2010-11-30;,4;36;29,8;24,1;44,4;
2010-12-31;108,6;33,4;27,6;23,3;64,6;
2011-01-31;184,3;30,8;25,6;22,1;77,3;
2011-02-28;114,1;30,9;25,4;22;80,7;
2011-03-31;157,7;30,6;25,3;22;83;
2011-04-30;215;30,9;25,3;21,6;84;
2011-05-31;177,5;30;24,9;21,7;83,8;
2011-06-30;13,4;31,8;25,2;20,4;72,1;
2011-07-31;16,9;32,2;25,4;20,1;64,8;
2011-08-31;14,1;34,2;27;21,1;53,5;
2011-09-30;0;35,3;28,4;22,2;44,5;
2011-10-31;27,9;35,3;28,8;23,1;50,6;
2011-11-30;37,8;34,6;28,3;23,2;53,2;
2011-12-31;0;36,6;29,5;23,4;48,8;
2012-01-31;52,2;34,2;28,4;23,6;56,1;
2012-02-29;40,7;33,6;27,1;22,9;63,9;
2012-03-31;64,8;33,6;26,7;22,5;72;
2012-04-30;51,9;34,4;27,4;22,6;68;
2012-05-31;4,7;35,1;28,6;23;54,5;
2012-06-30;0;34,3;28,2;22,6;52,3;
2012-07-31;,4;34,2;28,2;22,7;47,6;
2012-08-31;0;34,7;28,3;22,5;41,1;
2012-09-30;0;35,6;29,1;23,2;40,5;
2012-10-31;,5;36,3;29,9;23,9;43,3;
2012-11-30;,1;36,1;29,9;23,9;45,8;
2012-12-31;6,3;35,7;29,9;24,5;49;
2013-01-31;13,7;35,1;29,2;24,3;56,6;
2013-02-28;95,6;35,2;29,1;24,2;55,8;
2013-03-31;63,4;34,8;28,9;24,4;61,5;
2013-04-30;90,8;33,3;27,4;23,6;71,2;
2013-05-31;48,9;32,4;26,7;22,3;70,3;
2013-06-30;37,6;32,4;26,6;21,7;66,8;
2013-07-31;11,3;33,2;27;21,6;55,7;
2013-08-31;,2;34,8;28,7;23;50,1;
2013-09-30;,2;35,8;29,7;24;47,1;
2013-10-31;0;36,3;30,1;24,2;43;
2013-11-30;null;null;null;null;null;
2013-12-31;74,8;35;29;23,7;52,5;
2014-01-31;53,5;33,3;27,7;23,1;62,5;
2014-02-28;68,1;32,6;26,9;22,9;68,9;
2014-03-31;195,5;32,4;26,5;22,6;74,6;
2014-04-30;120,8;31,2;25,6;22,2;82,7;
2014-05-31;47,7;32;26,1;21,8;75,4;
2014-06-30;0;34,1;27,5;21,7;56,7;
2014-07-31;,8;34,2;27,7;21,8;49,3;
2014-08-31;1,8;35;28,2;21,9;43,9;
2014-09-30;2;35,7;29,3;23,4;42,4;
2014-10-31;6,8;36;29,7;24;42,9;
2014-11-30;null;35,4;29;23,8;52;
2014-12-31;null;null;null;null;null;
2015-01-31;75,9;34,6;28,5;23,3;53,3;
2015-02-28;93,4;33,7;27,6;23,2;64,9;
2015-03-31;163,3;31,9;26,1;22,3;78,5;
2015-04-30;127,1;31,8;26;22,3;79,8;
2015-05-31;20,2;33,4;27;22,2;66,6;
2015-06-30;58,1;32,8;26,4;21,4;64,7;
2015-07-31;23,1;32,9;26,7;21,8;60,6;
2015-08-31;,5;34,8;27,8;21,5;46,1;
2015-09-30;0;35,7;29,2;23,4;42,2;
2015-10-31;0;36,5;30,1;23,9;41,8;
2015-11-30;null;37,3;null;null;40,5;
2015-12-31;null;37,2;30,8;24,5;42,3;
2016-01-31;263,9;32,4;27,1;23,4;78,2;
2016-02-29;52,3;33,4;27,3;22,9;78;
2016-03-31;179,1;33,2;27,3;23,2;80,5;
2016-04-30;74,9;32,3;26,6;22,6;81,9;
2016-05-31;6,3;34,5;27,6;22,1;71;
2016-06-30;16,5;34,9;27,8;22;58,7;
2016-07-31;,1;34,5;27,8;21,5;50;
2016-08-31;null;35,5;28,3;21,7;44,4;
2016-09-30;null;null;null;null;null;
2016-10-31;0;36,7;30,3;24,1;42,6;
2016-11-30;,1;36,5;30,4;24,7;44,8;
2016-12-31;null;null;null;null;null;
2017-01-31;55,9;34,7;28,5;23,8;64,6;
2017-02-28;100,8;33;27,1;23,1;75,7;
2017-03-31;85,3;31,5;25,9;22,5;84;
2017-04-30;143,6;31,6;25,9;22,4;84,8;
2017-05-31;38,8;33,7;27,1;22,2;74,2;
2017-06-30;4,6;34,1;27,7;22;60,2;
2017-07-31;,5;33,4;27,4;21,8;51,9;
2017-08-31;0;35,3;28,9;22,9;46,6;
2017-09-30;0;35,6;29,4;23,7;43,3;
2017-10-31;0;36,5;30,3;24,5;45,1;
2017-11-30;null;null;null;null;null;
2017-12-31;3,4;35,8;30;24,6;50,8;
2018-01-31;32,7;34,5;28,5;23,9;62,5;
2018-02-28;196,9;32,4;26,1;22,7;82,2;
2018-03-31;205,8;31,8;26,4;22,8;83,4;
2018-04-30;214,9;30,3;25,3;22,2;87,5;

