Nome: QUIXERAMOBIM
Codigo Estacao: 82586
Latitude: -5.17305554
Longitude: -39.28722221
Altitude: 227.33
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;64,2;33,5;27,4;22,9;55,9;
2010-02-28;18,4;35,2;29,2;24,6;47,3;
2010-03-31;103;35,1;28,9;24,6;47,1;
2010-04-30;225,4;31,8;26,9;23,3;55,5;
2010-05-31;53;32,4;26,9;23,1;54,3;
2010-06-30;116,5;32;26,1;21,8;63,4;
2010-07-31;2;33,3;27,3;22,2;54,8;
2010-08-31;0;34;27,6;22,4;51,2;
2010-09-30;0;35,1;27,9;22,8;51,5;
2010-10-31;11,7;35,1;28,2;23,5;62,9;
2010-11-30;,7;36;28,8;23,7;57,2;
2010-12-31;86,9;32,8;27,3;23,1;73,1;
2011-01-31;137,7;30,7;25,9;22,6;78,9;
2011-02-28;145,5;29,4;25,7;22,7;85,5;
2011-03-31;156,6;30,1;25,5;22,2;81,8;
2011-04-30;173,1;30,4;25,5;22,3;82,9;
2011-05-31;120,7;29,7;25,1;22;85,3;
2011-06-30;116,1;29,7;24,6;20,4;84,1;
2011-07-31;89,3;30,4;24,7;20,6;79,4;
2011-08-31;20,9;33,1;25,9;20,4;72,3;
2011-09-30;1;34,7;27,3;20,6;64,3;
2011-10-31;11,4;34,9;27,4;22,1;75,8;
2011-11-30;5;34,5;27,7;23,3;70,3;
2011-12-31;2,4;35,1;28;23,7;67,9;
2012-01-31;12;34,2;27,9;23,8;71,8;
2012-02-29;110,4;33,3;27;22,9;73,9;
2012-03-31;63,3;33,6;27,3;23,4;69;
2012-04-30;66,2;35,1;27,9;23,8;66,5;
2012-05-31;21;34,9;28;23,6;65,2;
2012-06-30;25,5;33,8;27,5;23,4;69,8;
2012-07-31;,5;34,1;27,5;22,8;68;
2012-08-31;2,1;34,6;27,8;22,2;63,7;
2012-09-30;0;35,1;27,7;22,4;65;
2012-10-31;,3;35,9;28;23,1;65;
2012-11-30;0;36,2;28,3;23,5;60,5;
2012-12-31;,6;35,9;28,7;24,4;60,4;
2013-01-31;3,7;36;29;24,7;65,1;
2013-02-28;57,8;35,6;28,8;24,4;60,1;
2013-03-31;43,2;35,3;28,6;24,5;62,7;
2013-04-30;145,5;34;27,5;23,5;74,5;
2013-05-31;93,4;32,6;26,3;22,6;78,3;
2013-06-30;70,2;31,7;25,7;21,9;78,9;
2013-07-31;99,5;31,4;25,1;21,1;78,2;
2013-08-31;4,8;34,4;27,2;21,8;65,8;
