Nome: MORADA NOVA
Codigo Estacao: 82588
Latitude: -5.13666666
Longitude: -38.35666666
Altitude: 43.62
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;146,2;34,3;27,3;22,5;82,3;
2010-02-28;9,2;35,4;28,3;22,9;77,3;
2010-03-31;33,6;36,5;28,8;23,6;77,5;
2010-04-30;173,6;33,7;27,6;24;86,2;
2010-05-31;16,2;34,7;27,9;23;81,1;
2010-06-30;31,5;34,1;27,5;23;73,2;
2010-07-31;null;null;null;null;null;
2010-08-31;0;34,9;27,5;22,2;66;
2010-09-30;0;35,5;27,4;21,8;68,3;
2010-10-31;51,9;35,6;27,7;22,9;75,2;
2010-11-30;3,6;35,6;27,8;22,5;73,9;
2010-12-31;140,1;33,7;27,1;23,1;82,4;
2011-01-31;300,2;32,6;26,4;22,9;87;
2011-02-28;88,5;33;26,6;23,2;88,9;
2011-03-31;122,1;32,6;26,6;23,5;90;
2011-04-30;108,6;32,2;26,5;23,7;90,6;
2011-05-31;170,6;31,3;26,3;23,5;90,5;
2011-06-30;10,3;32,4;26,3;22,3;82,5;
2011-07-31;null;null;null;null;null;
2011-08-31;8,5;33,1;26,3;22,2;77,1;
2011-09-30;3,6;34,7;27,2;22,4;73,1;
2011-10-31;42,9;34,9;27,4;23,2;76,6;
2011-11-30;,2;35,1;27,7;23,4;75,9;
2011-12-31;5,1;35,5;27,9;23,8;75,3;
2012-01-31;51,8;35,3;27,9;23,8;75;
2012-02-29;163;33,9;27,2;23,5;80,9;
2012-03-31;74;33,6;27,3;23,8;84,3;
2012-04-30;36,8;35,2;28,1;24;79,3;
2012-05-31;2,6;35,3;28;23,5;75,7;
2012-06-30;43,2;34,5;27,4;23,2;75,8;
2012-07-31;null;null;null;null;null;
2012-08-31;0;35,2;27,5;23;71,4;
2012-09-30;0;35,1;27,4;22,7;72,6;
2012-10-31;0;35,7;27,7;23,4;73,6;
2012-11-30;0;35,4;27,8;23,6;74,3;
2012-12-31;0;35,5;28,2;24;75,1;
2013-01-31;3,1;35,8;28,4;24,1;74,5;
2013-02-28;98,7;36;28,6;24;74,7;
2013-03-31;116,4;35,4;28,5;24;78,4;
2013-04-30;215,4;34;27,7;23,9;84,1;
