Nome: APODI
Codigo Estacao: 82590
Latitude: -5.62666666
Longitude: -37.815
Altitude: 131.37
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;176;34;27,7;23,5;80,1;
2010-02-28;53,9;34,6;28,2;23,9;81,2;
2010-03-31;48,3;36,2;28,9;24,4;83,5;
2010-04-30;236,3;32,8;27,4;24;89,9;
2010-05-31;21,1;33,8;27,9;23,9;86;
2010-06-30;27,5;33,6;27,6;23,1;79,1;
2010-07-31;3,7;34,1;28,1;22,9;79,7;
2010-08-31;null;null;null;null;null;
2010-09-30;0;35,8;28,4;23,1;79,9;
2010-10-31;6,7;36,2;28,5;23,5;77,9;
2010-11-30;,1;36,7;28,9;23,7;67,6;
2010-12-31;58,7;34,4;27,9;23,6;76,4;
2011-01-31;144,9;33,5;27,3;23,4;81,3;
2011-02-28;307,6;31,9;26,4;23,1;85,9;
2011-03-31;119,8;31,9;26,4;23,3;87,6;
2011-04-30;244,2;31;26,1;23;90,3;
2011-05-31;217,4;30,2;26;23;89,5;
2011-06-30;30,2;31,6;26,1;22,2;85,1;
2011-07-31;null;null;null;null;null;
2011-08-31;21;32,9;26,1;21,5;76,1;
2011-09-30;0;35,1;27,6;22,6;69,6;
2011-10-31;49,9;35,3;27,8;23,2;75;
2011-11-30;4;35,6;28,1;23,3;76,8;
2011-12-31;,3;35,8;28,3;23,3;75,3;
2012-01-31;145,9;34,8;27,9;23,6;75,7;
2012-02-29;145,2;33,4;27;23,1;81,6;
2012-03-31;42,8;33,7;27,4;23,3;79,4;
2012-04-30;12,9;35,4;28,3;23,8;74,6;
2012-05-31;4;35,3;28,4;23,8;71,5;
2012-06-30;4,3;34,2;27,8;23,4;70;
2012-07-31;9,2;33,7;27,8;23;62,7;
2012-08-31;0;34,8;27,9;22,7;51,9;
2012-09-30;0;35,3;28;22,8;54,8;
2012-10-31;0;36,3;28,5;23,6;56,3;
2012-11-30;,1;36,3;28,4;23,5;59,1;
2012-12-31;0;36,4;28,9;24,4;61,5;
2013-01-31;14,9;36,3;29,1;24,9;63;
2013-02-28;15,6;36,9;29,4;24,8;64,5;
2013-03-31;41,7;36,7;29,5;25,2;65,2;
2013-04-30;223,5;34,6;28,4;24,5;70,2;
2013-05-31;41,9;32,1;27,2;23,9;73,3;
2013-06-30;102,8;31,2;26,3;23;81,1;
2013-07-31;14,6;31,9;26,3;22,4;74,3;
2013-08-31;1,5;34,4;27,7;22,8;60,4;
2013-09-30;0;35,5;28,3;23,3;58,7;
2013-10-31;1,1;36,1;28,6;23,7;60,4;
2013-11-30;28,2;35,3;28,5;23,8;64;
2013-12-31;11,9;35,5;28,5;24;61,9;
2014-01-31;13,7;35,4;28,6;24;60,7;
2014-02-28;81,7;34,9;28,3;24,3;66,9;
2014-03-31;94,1;34,4;28,2;24,4;71,4;
2014-04-30;165,7;32,8;27,7;24,4;77,4;
2014-05-31;141;31,4;26,6;23,5;81,9;
2014-06-30;31,9;32,9;27,3;23,1;69,6;
2014-07-31;14;33,4;27,4;22,5;61,7;
2014-08-31;0;34,7;28;22,8;56,8;
2014-09-30;4,8;35,4;28,1;23,3;61,5;
2014-10-31;0;36,1;28,8;23,9;59,3;
2014-11-30;3,4;35,7;28,3;23,6;63,6;
2014-12-31;0;35,9;28,8;24,3;58,7;
2015-01-31;,1;36,4;28,8;24,1;60,8;
2015-02-28;110,8;35,2;28,3;24,1;67;
2015-03-31;97,9;33,8;27,8;24;75;
2015-04-30;25,3;33,6;27,6;24;75;
2015-05-31;25;35;28,4;24,1;65,9;
2015-06-30;15,2;33,9;27,8;23,5;66,2;
2015-07-31;3,5;33,4;27,8;23,5;60,1;
2015-08-31;,2;34,7;28,1;23;54,7;
2015-09-30;0;35,7;28,1;23,3;57,2;
2015-10-31;0;36,2;28,5;23,5;56,8;
2015-11-30;0;36,7;28,8;23,8;57,4;
2015-12-31;15,5;36,5;29,3;24,6;59,4;
2016-01-31;292,1;32,8;27,4;24,3;77,4;
2016-02-29;40,9;33,4;27,8;24,1;73,4;
2016-03-31;69,9;35,3;28,9;25,1;70;
2016-04-30;36,9;34;28,5;24,7;71,8;
2016-05-31;28,3;35;28,7;24,5;66,2;
2016-06-30;,1;34,5;28,3;24;62,6;
2016-07-31;0;34,4;28,2;23,5;58;
2016-08-31;0;35,1;28,1;23,3;58,1;
2016-09-30;0;36;28,5;23,9;64,8;
2016-10-31;0;36,5;29,1;24,1;65;
2016-11-30;0;36,8;29,4;24,3;68,5;
2016-12-31;54,4;35,9;28,9;24,4;67,6;
2017-01-31;15,3;36,3;29,2;25,2;60,3;
2017-02-28;217,7;34,1;28,2;24,4;67,9;
2017-03-31;117,6;32,5;27,2;24,2;77,7;
2017-04-30;144,7;32,5;27,4;24,2;75,8;
2017-05-31;28,4;34;28,3;24,2;66;
2017-06-30;19,4;33,8;27,9;23,6;62,6;
2017-07-31;36,9;32;27,1;22,8;59,2;
2017-08-31;2,9;34,9;28;23,3;57,4;
2017-09-30;0;35,3;28,7;23,8;60;
2017-10-31;3,6;36,4;29;24,2;55,1;
2017-11-30;,6;36,3;28,7;24;58,1;
2017-12-31;0;36,1;29;24,6;62,2;
2018-01-31;21,5;34,9;28,5;24,4;65,1;
2018-02-28;98,8;33,5;27,7;24,3;71,6;
2018-03-31;132;34,3;28,2;24,6;71;
2018-04-30;382,2;30,7;26,1;23,3;82,4;
2018-05-31;172,4;30,4;26,2;23,1;78,8;
2018-06-30;17,6;31,8;26;22,1;70,5;
2018-07-31;1,6;33,6;27;22,5;61,8;
2018-08-31;0;34,9;27,7;22,9;56,9;
2018-09-30;0;35,9;28,3;23,2;55,5;
2018-10-31;,1;36,4;28,6;23,8;57,2;
2018-11-30;14,7;36,9;29,3;24,3;56,7;
2018-12-31;60,6;35,7;28,7;24;62,3;
2019-01-31;116,5;34,4;27,7;23,7;69;
2019-02-28;113,1;33,3;27,5;24,2;78,3;
2019-03-31;184,2;31,7;26,5;23,6;83,5;
2019-04-30;127,1;31,5;26,6;23,8;84,1;
2019-05-31;107,8;32,2;26,8;23,4;80,6;
2019-06-30;33;32,9;26,9;22,6;69;
2019-07-31;32,3;33,4;26,9;22,3;67,7;
2019-08-31;0;34,7;27,7;22,6;58,3;
2019-09-30;15,7;36,1;28,1;22,9;62,9;
2019-10-31;9,8;37,1;28,6;23,4;56,8;
2019-11-30;0;37,4;29,1;24,1;56,6;
2019-12-31;0;37,4;29,6;24,6;57;
2020-01-31;73,7;35,3;28,6;24,9;69,8;
2020-02-29;259,8;33,5;27,6;24,2;78,3;
2020-03-31;182,4;32;27;24,1;84,4;
2020-04-30;201,6;32;27,1;23,9;87,9;
2020-05-31;149,6;31,5;26,7;23,6;87,7;
2020-06-30;51,6;31,4;26,3;22,6;82,9;
2020-07-31;42,8;32,4;26,1;21,6;78,6;
