Nome: MACAU
Codigo Estacao: 82594
Latitude: -5.15103
Longitude: -36.573131
Altitude: 17.34
Situacao: Desativada
Data Inicial: 2010-01-01
Data Final: 2018-07-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;4;32,2;null;null;null;
2010-02-28;10,6;32,9;null;null;null;
2010-03-31;13,2;32,6;null;null;null;
2010-04-30;179;33,5;null;null;null;
2010-05-31;2,6;33,5;null;null;null;
2010-06-30;16;32,9;null;null;null;
2010-07-31;21,6;32,7;null;null;null;
2010-08-31;0;33,4;null;null;null;
2010-09-30;0;34;null;null;null;
2010-10-31;2,4;32;null;null;null;
2010-11-30;0;32,3;null;null;null;
2010-12-31;15,2;32;28,5;25,3;69;
2011-01-31;54,7;31,2;27,9;25,1;74,2;
2011-02-28;83,2;32,3;28,1;25,5;76,2;
2011-03-31;83,2;31,6;27,7;25,3;78,2;
2011-04-30;165,4;31,5;27,4;24,8;79,4;
2011-05-31;239,4;31;27,2;24,9;77,7;
2011-06-30;36,2;31,3;27,1;24,1;72,4;
2011-07-31;85,4;31,1;26,6;23,2;71,2;
2011-08-31;6,8;32,6;27,4;23,3;67,4;
2011-09-30;0;34,2;28;23,1;62,9;
2011-10-31;0;32,7;28,2;24;64,6;
2011-11-30;1,6;32,9;28,2;22,7;60,7;
2011-12-31;1;32,9;28;22,9;63;
2012-01-31;12,8;32,8;28,1;23,6;68,6;
2012-02-29;136,5;33;27,7;null;74;
2012-03-31;28,2;33,1;27,9;null;71,4;
2012-04-30;3,2;34,1;28,4;null;68,6;
2012-05-31;6,5;33,7;28;null;67,5;
2012-06-30;9,4;33,2;27,4;null;67,1;
2012-07-31;5,4;33,5;27,5;null;60,6;
2012-08-31;0;34,6;null;null;54,6;
2012-09-30;,4;34;27,5;20,7;58,2;
2012-10-31;0;34,4;27,9;21,5;62,3;
2012-11-30;0;32,5;27,6;21,6;69,1;
2012-12-31;0;33,4;28,6;24;71,3;
2013-01-31;1;33,3;28,9;24,6;76,3;
2013-02-28;7;34,7;29,5;24,7;69,2;
2013-03-31;31,8;34,1;29,3;25;68,8;
2013-04-30;31;33,4;28,9;24,5;69,1;
2013-05-31;23,1;34;28,5;23,4;66,7;
2013-06-30;96,8;32,1;27,3;22,9;71,4;
2013-07-31;42,1;31,9;26,7;21,8;68,2;
2013-08-31;3,2;33,8;27,7;22,3;58,5;
2013-09-30;,3;33,9;27,9;22,6;59,8;
2013-10-31;1;33,6;28,3;23,1;58,5;
2013-11-30;1,6;33,1;28,3;23,6;60,2;
2013-12-31;1,8;32,3;28,1;23,5;65,4;
2014-01-31;4,6;33,5;28,6;23,8;65,4;
2014-02-28;32;32,9;28,3;23,9;68,9;
2014-03-31;27,8;33,6;28,6;23,9;70,7;
2014-04-30;36,4;33,4;28,5;24,1;71,3;
2014-05-31;115,8;32,8;27,9;23,4;74,4;
2014-06-30;28,4;32,6;27,4;22,9;69,9;
2014-07-31;18,6;32,9;27,1;22;64,7;
2014-08-31;0;34,3;27,8;22,1;56,5;
2014-09-30;1,8;33,9;27,8;22,6;60;
2014-10-31;2,4;34,2;28,5;23,3;57,5;
2014-11-30;3,6;32,6;27,8;23;64;
2014-12-31;,4;32,8;28,2;23,4;65,2;
2015-01-31;null;null;null;null;null;
2015-02-28;61,2;33,2;28,5;24;67,4;
2015-03-31;155,1;32,1;27,7;23,7;74,4;
2015-04-30;40,2;32,6;28,1;24,1;74,6;
2015-05-31;25,4;33,9;28,6;23,7;66,8;
2015-06-30;3,4;32,6;28;23,5;65,9;
2015-07-31;28,4;32;27,4;23,1;67,7;
2015-08-31;0;33,5;27,7;22,8;61,4;
2015-09-30;0;34,3;28,4;22,9;60,5;
2015-10-31;,6;34,5;28,6;23,3;61,8;
2015-11-30;0;33,4;28,6;23,7;67,1;
2015-12-31;0;33,3;28,7;24,1;68,6;
2016-01-31;173,1;31,7;27,9;24,8;83;
2016-02-29;null;null;null;null;null;
2016-03-31;2,7;33,5;28,8;24,5;78,3;
2016-04-30;0;33,3;28,8;24,7;71,8;
2016-05-31;0;34;28,9;24;65,4;
2016-06-30;0;33,4;28,2;23,4;65,4;
2016-07-31;0;34,7;28,6;23,2;57,2;
2016-08-31;0;34,9;28,7;23,4;54;
2016-09-30;0;34,8;28,8;23,5;56,4;
2016-10-31;0;35;29,1;23,7;57,1;
2016-11-30;0;34,4;29,5;24,6;59,5;
2016-12-31;3,4;33,9;29,3;24,7;63,4;
2017-01-31;8,8;34;29,3;24,7;65,6;
2017-02-28;null;null;null;null;null;
2017-03-31;94,1;32,8;28,3;24,5;73,9;
2017-04-30;84,9;33,5;28,6;24,3;72,2;
2017-05-31;49,3;33;28,5;24,1;70,4;
2017-06-30;5,4;32,9;28,4;23,9;68,9;
2017-07-31;12,2;32,3;27,5;23;60,7;
2017-08-31;1,4;33,3;28,2;22,4;56,9;
2017-09-30;0;34,2;28,6;23,1;50,8;
2017-10-31;1;34,3;29;23,9;58,1;
2017-11-30;0;32,8;28,8;24;61,4;
2017-12-31;0;33;29,1;24,3;60,5;
2018-01-31;0;33,6;29,1;24,4;60,6;
2018-02-28;null;null;null;null;null;
2018-03-31;25,3;32,4;28,5;24;68,3;
2018-04-30;130,4;31,5;27,8;23,9;70,8;
2018-05-31;78,6;32;27,6;23,6;73,5;
2018-06-30;32;32,1;27,9;23,3;67,7;
2018-07-31;8,4;33;27,6;22,5;60,9;

