Nome: CEARA MIRIM
Codigo Estacao: 82596
Latitude: -5.65333333
Longitude: -35.42583332
Altitude: 62.2
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;null;null;null;null;null;
2010-02-28;32,4;32,1;26,8;22,3;83,3;
2010-03-31;24,8;32,9;27,4;22,5;77,5;
2010-04-30;115,3;32,2;26,7;22,6;84,2;
2010-05-31;119;32,2;26,5;22,1;84,4;
2010-06-30;62,2;31,4;25,9;21,7;82,9;
2010-07-31;97,5;30,3;25,2;21,4;84,5;
2010-08-31;59,3;30,3;25,2;21,5;85,8;
2010-09-30;14,3;30,7;26,2;22,8;82,2;
2010-10-31;1,6;31,7;26,5;23,3;83,5;
2010-11-30;5,2;31,8;26,8;23,7;79,9;
2010-12-31;null;null;null;null;null;
2011-01-31;null;null;null;null;null;
2011-02-28;120,7;30,8;27,4;24,9;83,1;
2011-03-31;149,2;30,9;27,1;24,6;84,9;
2011-04-30;148,6;30,4;26,7;24,4;87,5;
2011-05-31;216,4;29,4;26;24;89,5;
2011-06-30;165,3;29,3;25,8;23,7;88,4;
2011-07-31;218,1;28,4;25,2;23;88,5;
2011-08-31;74,2;29,3;25,5;23;88,7;
2011-09-30;20,6;29,9;26,1;23,4;84,5;
2011-10-31;8,5;30,5;26,5;23,6;81,2;
2011-11-30;24,8;30,8;26,5;22,3;81,9;
2011-12-31;10,6;31,8;26,8;22,3;78,4;
2012-01-31;30,2;31,2;26,4;22,5;83,1;
2012-02-29;183,1;31,2;26,5;22,7;81,7;
2012-03-31;55,2;31;26,6;22,5;78,1;
2012-04-30;79,1;30,7;26,3;22,6;82,9;
2012-05-31;149,6;30,9;26,2;22,2;80;
2012-06-30;370;29,3;25,2;21,4;85,1;
2012-07-31;116,4;29,1;24,5;20,7;85,4;
2012-08-31;29,6;30,2;25;20,5;81,5;
2012-09-30;18,1;29,7;25;20,6;78,9;
2012-10-31;10,9;30,3;25,7;21,2;77,4;
2012-11-30;1,1;31,4;26,4;21,5;73,9;
2012-12-31;0;32;27,1;22,4;74,3;
2013-01-31;13,3;32,8;27,6;23,5;75,2;
2013-02-28;65,9;32;27;22,9;81;
2013-03-31;35,2;32,4;27,9;23,6;73,9;
2013-04-30;151,8;32,7;27,7;23,6;74,7;
2013-05-31;287,5;31,4;26,6;23,1;79,7;
2013-06-30;231,1;30,3;25,7;22,7;84,5;
2013-07-31;310,3;29,5;24,9;21,8;82,8;
2013-08-31;150,1;29,8;25;21,3;80,3;
2013-09-30;136,1;30,1;25,2;21,5;78,2;
2013-10-31;8,7;31,2;26,1;22;72,5;
2013-11-30;127;31,1;26,2;22,3;74,7;
2013-12-31;13;32,2;26,8;22,8;73;
2014-01-31;94,7;32,4;27,1;23,1;75,2;
2014-02-28;15,2;32,9;27,1;22,4;79,6;
2014-03-31;255,9;32,4;27,1;23,2;79,2;
2014-04-30;86,2;32,2;27,2;23,5;77,9;
2014-05-31;173,7;32,4;26,6;23,1;80,7;
2014-06-30;342;31,3;25,9;22,6;80,8;
2014-07-31;168,1;30,4;25,3;21,6;81,7;
2014-08-31;29,9;31,4;25,4;21,4;82,9;
2014-09-30;225,1;30,5;25,4;21,5;78,7;
2014-10-31;32;31;25,9;22,1;76,3;
2014-11-30;23,3;31,4;26,5;22,9;77,5;
2014-12-31;24,4;31,8;26,9;23;74,1;
2015-01-31;null;32,1;27,2;23,3;75,9;
2015-02-28;204;31,9;26,7;23;82,6;
2015-03-31;452,4;31,5;26,5;23,3;81,1;
2015-04-30;188,9;31,8;27;23,2;80;
2015-05-31;127,2;null;null;22,9;77,8;
2015-06-30;217,9;null;null;22,4;81,6;
2015-07-31;345,8;29,5;25,2;21,8;82,9;
2015-08-31;29,3;null;null;20,9;81;
2015-09-30;17;null;null;21,8;76,7;
2015-10-31;34,1;null;null;22,2;73,3;
2015-11-30;,3;32,2;27;22,4;73,1;
2015-12-31;27,2;32,1;27;23,1;75;
2016-01-31;129,6;null;null;23,9;84,3;
2016-02-29;103,7;null;null;22;80,1;
2016-03-31;184,3;null;null;23,4;77,7;
2016-04-30;179,1;null;null;24,1;83,1;
2016-05-31;119,3;null;null;23,2;80,7;
2016-06-30;251,3;null;null;22,1;79,8;
2016-07-31;24,1;null;null;21,8;77,8;
2016-08-31;32;null;null;21,8;75,4;
2016-09-30;69,2;null;null;22,1;78,2;
2016-10-31;17,6;null;null;22,6;71,6;
2016-11-30;16,8;null;null;23,5;73,1;
2016-12-31;137,8;null;null;23,3;72,6;
2017-01-31;12,2;null;null;23,8;76,2;
2017-02-28;128,4;null;null;23,7;75,1;
2017-03-31;193,2;null;null;23,9;78,5;
2017-04-30;179,3;null;null;23,5;80,8;
2017-05-31;182,9;null;null;23,1;80,7;
2017-06-30;131,7;null;null;22,6;82;
2017-07-31;348,4;null;null;21,6;84,9;
2017-08-31;36,2;30;25;20,8;83,5;
2017-09-30;34,2;30,1;25,1;20,9;79,8;
2017-10-31;40,9;30,3;26;21,9;79,1;
2017-11-30;16,5;30,7;26,4;22,2;75,5;
2017-12-31;40,3;30,4;26,6;22,8;76,8;
2018-01-31;null;null;null;null;null;
2018-02-28;271,9;30,8;26,6;23;82,7;
2018-03-31;173,3;31;26,6;22,8;84,8;
2018-04-30;271,5;30,6;26,3;22,8;85,9;
2018-05-31;79,8;30,9;26;22,5;87,5;
2018-06-30;198,5;29,5;25,4;21,4;89,2;
2018-07-31;211,7;29,3;25,1;20,5;85,7;
2018-08-31;26,8;30,1;25,4;20,9;85,1;
2018-09-30;24,1;30,2;25,4;20,5;86,5;
2018-10-31;null;null;null;null;null;
2018-11-30;2;32,5;27,5;22,8;80,3;
2018-12-31;77,3;31,7;26,9;22,4;84,4;
2019-01-31;null;null;null;null;null;
2019-02-28;144,7;31,6;26,9;23,1;85,8;
2019-03-31;345,8;30,6;26,5;22,9;87,4;
2019-04-30;312,8;30,7;26,4;22,5;89,7;
2019-05-31;228,6;30,1;26,3;22,3;88,1;
2019-06-30;null;null;null;null;null;
2019-07-31;137,1;29,6;25,5;21,3;89,9;
2019-08-31;68,6;28,7;24,9;20,4;89,2;
2019-09-30;54,9;30;25,8;20,5;89,4;
2019-10-31;7,8;30,5;26,4;21;86,6;
2019-11-30;0;31,7;27,2;21,4;86;
2019-12-31;2,1;31,3;27;21,4;85,5;
2020-01-31;null;null;null;null;null;
2020-02-29;135,3;31,1;27,2;22,4;87;
2020-03-31;null;30,5;26,5;22;87,7;
2020-04-30;null;null;null;null;null;
2020-05-31;null;null;null;null;null;
2020-06-30;null;null;null;null;null;
2020-07-31;null;null;null;null;null;
2020-08-31;null;null;null;null;null;
2020-09-30;null;null;null;null;null;
2020-10-31;null;null;null;null;null;
2020-11-30;null;null;null;null;null;
2020-12-31;null;null;null;null;null;
2021-01-31;null;null;null;null;null;
2021-02-28;null;null;null;null;null;
2021-03-31;null;null;null;null;null;
2021-04-30;null;null;null;null;null;
2021-05-31;null;null;null;null;null;
2021-06-30;null;null;null;null;null;
2021-07-31;null;null;null;null;null;
2021-08-31;null;29,4;25,2;19,5;83,7;
2021-09-30;47,1;31,3;26,1;20,2;83,4;
2021-10-31;15,7;31,4;27;21,5;77,7;
2021-11-30;31,4;31,6;27,4;21,7;79;
2021-12-31;73,8;31,1;27,1;22,4;81,9;
2022-01-31;null;null;null;null;null;
2022-02-28;35,8;31,4;27,2;21,7;80,1;
2022-03-31;365,4;30;26,5;21,6;88,1;
