Nome: NATAL
Codigo Estacao: 82598
Latitude: -5.83722221
Longitude: -35.20777777
Altitude: 47.68
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;70,9;31;28;25,7;77;
2010-02-28;81,4;31,4;28,3;26,2;79,2;
2010-03-31;69,9;32,5;28,9;26,5;76,3;
2010-04-30;191;31,9;28,3;25,5;80,1;
2010-05-31;262,6;31,3;27,8;24,5;78,5;
2010-06-30;155,2;30,3;26,6;23,4;79,9;
2010-07-31;151,5;29,1;25,3;22,3;82,1;
2010-08-31;95,3;29,3;25,1;21,4;79,1;
2010-09-30;38,5;29,2;25,6;22;78,1;
2010-10-31;8,2;30,1;27;24,6;77,8;
2010-11-30;4,2;30,5;27,4;25,2;76,7;
2010-12-31;54,7;30,5;27,5;25,2;77,4;
2011-01-31;326,1;29,9;26,9;24;81,3;
2011-02-28;76,5;30,6;27,7;25;79,5;
2011-03-31;146,7;30,9;27,8;24,5;79,4;
2011-04-30;371,6;30,1;27;23,8;83,3;
2011-05-31;413;29,3;26,2;23,3;84,6;
2011-06-30;445,4;28,7;25,4;22,3;85;
2011-07-31;170,4;28,3;24,9;21,7;83;
2011-08-31;118,8;28,6;25,2;21,6;81,9;
2011-09-30;33,3;29,2;25,7;21,8;78,1;
2011-10-31;20,8;29,8;26,7;24;79,2;
2011-11-30;44;30,1;27,2;24,7;77,2;
2011-12-31;21,9;30,4;27,3;24,8;76,3;
2012-01-31;76,5;30,4;27,3;24,6;77,6;
2012-02-29;110,9;30,1;27;24,1;79,6;
2012-03-31;146,2;30,2;27,2;24;82,6;
2012-04-30;60,7;30,2;27,3;23,9;81,9;
2012-05-31;184,4;29,8;26,8;23,5;82,7;
2012-06-30;302,1;28,5;25,3;21,9;86,6;
2012-07-31;234,9;28,3;25;21,2;84,1;
2012-08-31;63,4;28,7;24,9;20,8;84,5;
2012-09-30;41,6;28,9;25,5;21,8;83,5;
2012-10-31;18,4;29,4;26,1;22,8;81,3;
2012-11-30;,7;30,1;27;24,4;77,5;
2012-12-31;1,4;30,4;27,4;25;81,5;
2013-01-31;20,2;30,7;27,8;25,1;80;
2013-02-28;59,8;31;27,9;24,9;79,9;
2013-03-31;35,1;31,2;28;24,9;80,5;
2013-04-30;175,6;31;27,8;24,2;81,1;
2013-05-31;254,9;30;26,8;22,8;83,5;
2013-06-30;399,1;28,9;25,8;21,8;84,3;
2013-07-31;430,6;28,1;24,8;21,1;86,8;
2013-08-31;242;28,6;25,2;21;83,3;
2013-09-30;200;29,1;25,7;22;84,4;
2013-10-31;11,1;29,7;26,7;23,7;77;
2013-11-30;38,6;29,5;26,6;23,6;79,3;
2013-12-31;10,1;30,3;27,3;24,5;77,7;
2014-01-31;79;30,3;27,1;23,7;78,3;
2014-02-28;52,1;30,3;27,3;23,7;78,9;
2014-03-31;262,1;30,5;27,4;24,1;80,8;
2014-04-30;81,9;30,5;27,6;23,8;80,2;
2014-05-31;191;29,9;26,6;22,9;83,2;
2014-06-30;540,4;29;25,7;22,4;84,3;
2014-07-31;231,4;28,4;24,9;21,1;83,4;
2014-08-31;89,7;28,6;25,1;21,1;80,4;
2014-09-30;149;28,8;25,7;22,5;82,4;
2014-10-31;30,7;29,4;26,4;23,5;80,4;
2014-11-30;24,8;29,8;26,9;24,4;78,9;
2014-12-31;23,9;30,1;27,3;24,9;79,3;
2015-01-31;30,3;30,5;27,4;24,9;78,2;
2015-02-28;77,7;30,8;27,8;25,3;79,9;
2015-03-31;317;30,2;27,1;23,4;82,2;
2015-04-30;156,1;30,7;27,7;24,3;79,6;
2015-05-31;69,6;30,4;27,5;24,1;79,2;
2015-06-30;301,2;29,1;25,9;23;83,6;
2015-07-31;316,5;28,5;25,4;22,3;83,5;
2015-08-31;43,1;28,8;25,6;22,7;79,3;
2015-09-30;24,4;29,2;26,4;24,2;77;
2015-10-31;8,6;29,6;26,8;24,9;76,2;
2015-11-30;,4;30,2;27,3;25,5;76,4;
2015-12-31;67,2;30,5;27,5;25,5;78,7;
2016-01-31;151,9;30,1;27,4;25,1;82,1;
2016-02-29;73,8;30,7;27,8;25;79,6;
2016-03-31;152,6;31;27,7;23,3;80,6;
2016-04-30;166,4;30,4;27,8;25,7;81,5;
2016-05-31;207,9;30,2;27,3;25,5;81,7;
2016-06-30;156,3;29,4;26,7;25;80,9;
2016-07-31;38,6;29,3;26,1;23,6;79,3;
2016-08-31;68,6;29,2;26,3;24,6;78,8;
2016-09-30;42,2;29,5;26,8;25,1;77,7;
2016-10-31;22,7;29,9;27,3;25,7;75,9;
2016-11-30;19;30,4;28;26,5;75,2;
2016-12-31;65;30,6;28,1;26,3;75,6;
2017-01-31;80,6;30,6;28;26,1;75,9;
2017-02-28;65;30,8;28,2;26,3;76,9;
2017-03-31;187,2;30,8;28,2;26,2;78,5;
2017-04-30;254,1;30,8;27,9;25,7;80,5;
2017-05-31;229,4;30,1;27,3;24,4;80,9;
2017-06-30;197,7;29,6;26,3;23,2;80,1;
2017-07-31;414,3;27,8;24,7;21,9;80,2;
2017-08-31;24,3;29,1;25,7;21,7;75,3;
2017-09-30;74,4;28,9;25,7;22,1;74,3;
2017-10-31;71,8;29,3;26,4;23,5;78;
2017-11-30;8,9;30;27,2;24,9;82;
2017-12-31;46,9;30,3;27,6;25,6;83,2;
2018-01-31;76,6;30,3;null;25,4;null;
2018-02-28;217,2;30;null;25,4;null;
2018-03-31;274,4;30,4;null;26,2;null;
2018-04-30;290,2;29,7;null;25,4;null;
2018-05-31;223,3;29,7;null;25,4;null;
2018-06-30;252,8;28,9;null;23,7;null;
2018-07-31;289,1;28,4;null;22,9;null;
2018-08-31;45;29;null;23,1;null;
2018-09-30;61,2;29,1;null;23,3;null;
2018-10-31;0;29,9;null;24,6;null;
2018-11-30;7,5;null;null;25;null;
2018-12-31;66,3;30,5;27,7;25,1;74,9;
2019-01-31;25,4;30,9;27,9;25,1;74,5;
2019-02-28;179;30,7;27,9;25,2;78,3;
2019-03-31;239,7;30,3;27,5;24,6;80,8;
2019-04-30;470,8;30,2;27,4;24,3;81,5;
2019-05-31;206,7;30,3;27,6;24,5;79,6;
2019-06-30;275,6;29,1;26,1;23,1;80,6;
2019-07-31;190,5;28,7;25,7;22,7;80,2;
2019-08-31;64,7;28,6;25,7;22,5;78,2;
2019-09-30;59,8;28,7;26,2;23,7;78;
2019-10-31;19,9;29;26,6;24,2;76,4;
2019-11-30;2,6;29;27,3;25,3;76,7;
2019-12-31;17,9;29,8;27,7;25,7;77,6;
2020-01-31;184,7;30,1;27,9;25,4;81,4;
2020-02-29;202,4;30,4;28,3;25,8;82,1;
2020-03-31;322,7;30,4;28,1;25,2;79,4;
2020-04-30;null;null;null;null;null;
2020-05-31;null;null;null;null;null;
2020-06-30;null;null;null;null;null;
2020-07-31;null;null;null;null;null;
2020-08-31;null;null;null;null;null;
2020-09-30;null;null;null;null;null;
2020-10-31;null;null;null;null;null;
2020-11-30;null;null;null;null;null;
2020-12-31;null;null;null;null;null;
2021-01-31;null;null;null;null;null;
2021-02-28;null;null;null;null;null;
2021-03-31;null;null;null;null;null;
2021-04-30;null;null;null;null;null;
2021-05-31;null;null;null;null;null;
2021-06-30;null;null;null;null;null;
2021-07-31;null;null;null;null;null;
2021-08-31;null;null;null;null;null;
2021-09-30;null;null;null;null;null;
2021-10-31;19,8;30,3;27,4;24,6;76,9;
2021-11-30;23,5;30,7;28;25,7;76,7;
2021-12-31;8,4;31;28,4;26,3;75,6;
2022-01-31;97;30,8;27,9;25,4;76,3;
2022-02-28;null;31;28,3;26,1;73,8;
2022-03-31;394,1;30,5;27,6;24,7;79,5;
2022-04-30;171,7;30,5;27,6;24,3;78,9;
2022-05-31;383,9;29,7;26,7;23,9;85,6;
2022-06-30;282,9;28,9;25,8;22,7;85,4;
2022-07-31;574,8;28,6;25,2;22,2;86,8;
2022-08-31;183,6;29;25,5;22,1;79,9;
2022-09-30;41,3;29,2;26,1;23,3;76,8;
2022-10-31;20,9;30;27,1;24,6;76,7;
2022-11-30;17,7;30,4;27,5;25,2;76,4;
2022-12-31;35,1;30,7;27,6;25,4;78,2;
2023-01-31;57,7;30,7;27,8;25,6;79,2;
2023-02-28;67,3;31;28,1;25,4;82,5;
2023-03-31;null;30,7;27,8;24,6;81,4;
2023-04-30;172,9;30,6;27,7;24,5;82,2;
2023-05-31;62,4;30,5;27,7;24,8;82,1;
2023-06-30;196,4;29,4;26,2;23,4;87,1;
2023-07-31;110,2;29,1;26;23,2;82,5;
2023-08-31;142,6;28,8;25,9;23,1;80,9;
2023-09-30;63,5;29,5;26,4;23,6;78,9;
2023-10-31;4,9;30,1;27,3;24,9;73,8;
2023-11-30;255,9;30,3;27,6;25,3;73,6;
2023-12-31;74,7;30,5;27,9;25,8;75,4;
2024-01-31;61,3;31,1;28,4;26,5;75,8;
2024-02-29;157,2;31,5;28,4;25,7;77,7;
2024-03-31;262,4;31,4;28,6;25,6;78,2;
2024-04-30;284,5;31,1;28,3;25,2;79,3;
2024-05-31;271,5;30,3;27,3;24,7;81,5;
2024-06-30;605,7;29,8;26,4;23,5;81,9;
2024-07-31;217,9;29;25,7;22,6;76,8;
2024-08-31;34,2;29,1;25,8;22,5;71,9;
2024-09-30;15,9;29,3;26,2;23,3;71,2;
2024-10-31;14,3;29,8;26,9;24,5;71,7;
2024-11-30;7,8;30,1;27,3;25;72,6;
2024-12-31;30,2;30,6;27,8;25,4;74,3;

