Nome: EIRUNEPE
Codigo Estacao: 82610
Latitude: -6.66166666
Longitude: -69.86777777
Altitude: 123.42
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;280,6;33;26,7;22,4;88,1;
2010-02-28;451,4;33,3;27;22,9;87,5;
2010-03-31;291,4;34,4;27,2;22,8;86,9;
2010-04-30;204,6;34,3;26,7;22,2;87,1;
2010-05-31;402,2;32,3;25,5;21;86,7;
2010-06-30;106,6;32,9;26;21,2;86,4;
2010-07-31;36,6;31,8;24,3;18,9;84,5;
2010-08-31;25,2;35,2;26;19,3;79,1;
2010-09-30;114,4;35,2;27,1;21,7;81,9;
2010-10-31;232,8;34,5;26,8;22;84,1;
2010-11-30;354,8;33,9;26,2;21,3;87,5;
2010-12-31;222,4;33,1;26,1;21,6;88;
2011-01-31;316,2;33;25,9;21,3;89,3;
2011-02-28;259,2;31,8;25,3;20,6;89,5;
2011-03-31;361;32,5;25,5;20,7;89,6;
2011-04-30;511,6;32,8;25,8;20,8;89,1;
2011-05-31;200,8;31,8;25,9;21,8;88,5;
2011-06-30;88,8;32,8;25,6;20,8;87,1;
2011-07-31;134,4;32,8;25,2;20;86,3;
2011-08-31;65,4;34,2;25,6;19,6;82,5;
2011-09-30;132,2;35,4;26,5;21,5;84,3;
2011-10-31;271,8;34,1;26,3;21,7;88,2;
2011-11-30;193,6;34;26,8;22,1;86,5;
2011-12-31;369;33,2;26;21,3;89,2;
2012-01-31;360;32,1;25,5;21,5;91,4;
2012-02-29;502,6;32,2;25,4;20,9;89;
2012-03-31;499,6;32,8;25,6;21,1;88,3;
2012-04-30;157,2;33;26,2;22;88,3;
2012-05-31;192;33,2;25,8;21,4;87,7;
2012-06-30;226,4;32,2;25,1;20;87,8;
2012-07-31;26;33,1;25;19,2;83,6;
2012-08-31;47,2;34,4;26,1;20;81;
2012-09-30;98,2;35,7;27,2;22,4;77,6;
2012-10-31;145;34,7;27;22,8;84,8;
2012-11-30;189,8;34,4;27,3;23,5;85,5;
2012-12-31;316,8;null;null;22,3;88,3;
2013-01-31;357,8;null;null;22,7;89,8;
2013-02-28;334,4;32,5;26,1;22,6;88;
2013-03-31;352,1;32,9;26,5;23;87,4;
2013-04-30;149,6;33,5;26,8;23;85,8;
2013-05-31;130;32,3;26,3;23;87,7;
2013-06-30;102;33,5;26,2;22,4;86,2;
2013-07-31;107,8;32,8;25;20,2;85;
2013-08-31;59,6;33,3;25,3;20,2;81,9;
2013-09-30;85;35;26,7;22,1;81,7;
2013-10-31;158;34,2;26,8;23,2;86;
2013-11-30;283,6;33,7;26,6;23;88,1;
2013-12-31;404,8;34,1;26,8;23;87,2;
2014-01-31;356,2;32;26,1;22,7;89,8;
2014-02-28;246,4;32,8;26,2;22,5;87,7;
2014-03-31;371;32,7;26;22,2;89,6;
2014-04-30;291,2;32,9;26,4;22,7;86;
2014-05-31;127,8;32,6;25,9;22;88,6;
2014-06-30;68,8;33,4;25,9;21,4;88,9;
2014-07-31;46,2;32,4;25;20,3;85,9;
2014-08-31;143;34,2;26,3;21,1;86,9;
2014-09-30;130,4;35,9;27,4;22,3;86,3;
2014-10-31;89,4;35,4;27;22,7;84,3;
2014-11-30;257,6;33,4;26,7;23,2;88,3;
2014-12-31;221,8;33,8;26,7;22,9;87,8;
2015-01-31;269,6;32,1;25,7;22,4;91;
2015-02-28;351,8;34;26,6;22,9;86,5;
2015-03-31;510,8;33,5;26,4;22,8;86,8;
2015-04-30;330,6;33,9;26,6;22,7;88,7;
2015-05-31;260;33,1;26,3;22,3;88,1;
2015-06-30;136;33,5;26;21,3;84,7;
2015-07-31;81,4;33,8;26;20,9;83,7;
2015-08-31;97;35,8;27,1;21,6;82,5;
2015-09-30;96,2;36,2;27,4;21,7;82,4;
2015-10-31;181,4;36;27,5;21,9;82,5;
2015-11-30;242,4;35,7;27,2;22,1;86,4;
2015-12-31;412;34,1;26,5;21,7;88,3;
2016-01-31;187,2;34,8;27,5;22,6;89,9;
2016-02-29;316,8;34,4;26,9;22;86,9;
2016-03-31;278;33,7;26,8;22;88;
2016-04-30;186,4;33,6;26,3;21,2;87,3;
2016-05-31;106,8;33,4;26;20,7;86,8;
2016-06-30;235,4;32,3;25,1;19,4;85,2;
2016-07-31;19,6;34,7;26,1;19,4;82,2;
2016-08-31;15,2;35,3;26,6;19,6;79,4;
2016-09-30;83,8;35;26,2;19,8;81,1;
2016-10-31;326,2;34,6;27;21;85,1;
2016-11-30;194;34,7;26,7;20,8;87;
2016-12-31;289,2;32,7;25,7;20,4;91,1;
2017-01-31;617,4;32,5;25,4;20,1;93,1;
2017-02-28;392,8;32,5;25,4;20,1;90,6;
2017-03-31;353,6;33,1;26,1;20,6;88,8;
2017-04-30;261,8;33,1;26,3;20,6;87,3;
2017-05-31;293,6;32,3;26;20,7;89,6;
2017-06-30;21,6;31,5;25,2;19,2;87;
2017-07-31;16,2;32,7;24,7;17,2;80,5;
2017-08-31;56,2;34,4;26,5;19,8;81,6;
2017-09-30;99,6;33,7;26,4;20,4;83,8;
2017-10-31;349,8;33,1;26,1;20,4;84,7;
2017-11-30;439,6;32;25,8;20,8;89,5;
2017-12-31;287,8;31,8;25,8;20,6;88;
2018-01-31;566,6;31,8;25,5;19,8;90,9;
2018-02-28;240,6;30,7;25,2;20;89,9;
2018-03-31;363,6;31,9;25,8;20,1;87,3;
2018-04-30;503,6;31,3;25,4;20,1;88,2;
2018-05-31;271,6;31,4;25,3;19,8;87,6;
2018-06-30;31,4;30,7;24,3;17,9;83,2;
2018-07-31;84,2;32,3;25;18;82,6;
2018-08-31;99,8;31,9;24,9;17,9;82,2;
2018-09-30;166,4;33,9;26;19;81,8;
2018-10-31;227,8;33;26,4;20,9;84,5;
2018-11-30;363,8;32,4;27;23,8;84;
2018-12-31;315;31,1;25,9;23;87,7;
2019-01-31;438,4;31,7;26;22,5;88,9;
2019-02-28;528,4;32,3;26,7;23,6;86,3;
2019-03-31;276,2;32,8;26,9;23,6;86,7;
2019-04-30;289;32,6;26,6;23,5;88;
2019-05-31;214;31,5;26,3;22,7;86,4;
2019-06-30;121,6;32,4;26,4;22,7;86,3;
2019-07-31;71,8;32,2;25,4;20,8;84,7;
2019-08-31;27;33,4;25,7;20,4;79,8;
2019-09-30;61;34,7;27,2;22,8;81,6;
2019-10-31;305,4;32,4;26,4;22,6;87,3;
2019-11-30;139,6;32;26,6;23,2;87,1;
2019-12-31;471,6;32,6;26,3;22,8;88,5;
2020-01-31;253;33;27;22,8;89,4;
2020-02-29;222,6;32,4;26,7;23;86,3;
2020-03-31;334;32,8;26,7;23,1;86,4;
2020-04-30;219,8;32,2;26,5;22,8;85,7;
2020-05-31;116,2;31,8;25,9;21,7;84,8;
2020-06-30;60,4;32,2;26,2;21,9;84,2;
2020-07-31;112,6;32,5;26;21,6;84;
2020-08-31;90,6;33,6;25,9;20,4;82,1;
2020-09-30;121,8;33,7;26,7;22,2;83,6;
2020-10-31;150,6;33,2;26,8;22,5;83,7;
2020-11-30;267,4;33,7;27;22,8;84,5;
2020-12-31;307,4;31,8;26,1;22,4;87,1;
2021-01-31;398,2;null;null;22,3;null;
2021-02-28;335,6;null;null;22,6;null;
2021-03-31;529,4;31,4;25,6;22,1;88,9;
2021-04-30;162,2;32,5;26,4;22,6;86,1;
2021-05-31;112,8;31,2;25,5;21,7;86,6;
2021-06-30;98;31,2;25;21;85;
2021-07-31;6;32,3;25,2;19,5;81,7;
2021-08-31;32,8;33,8;26,5;21;72,2;
