Nome: ARAGUAINA
Codigo Estacao: 82659
Latitude: -7.10388888
Longitude: -48.20138888
Altitude: 231.85
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;216,8;31;25,4;21,3;84,4;
2010-02-28;231,8;31,7;25,9;22;86;
2010-03-31;150,8;32,1;26,2;22,2;85,3;
2010-04-30;272,8;32,6;26,4;21,9;82,2;
2010-05-31;16,3;34,1;26,8;21,5;76,8;
2010-06-30;64,7;33,3;25,4;19,8;73;
2010-07-31;,1;34,3;25,1;17,6;60,6;
2010-08-31;0;35,5;25,5;16,9;51,4;
2010-09-30;0;36,8;27,3;18,9;50;
2010-10-31;180,3;34;26,8;21,1;71,8;
2010-11-30;178,2;32,8;26,6;22;78,5;
2010-12-31;221,8;31,7;25,9;21,8;82,8;
2011-01-31;280,8;31,1;25,2;21,5;84,7;
2011-02-28;295,1;30,6;24,7;21,2;87,6;
2011-03-31;240,1;31,3;25,4;21,6;86,4;
2011-04-30;202,1;30,8;25,2;21,5;86,7;
2011-05-31;93,4;31,8;25,6;21,1;80,6;
2011-06-30;,3;33,2;25,2;18,6;68,8;
2011-07-31;6,6;33,4;24,4;16,6;63,3;
2011-08-31;3,9;35,1;26;17,3;55,8;
2011-09-30;26,9;36,1;26,8;18,3;53;
2011-10-31;154,5;32,9;26,1;21,1;77,9;
2011-11-30;379,7;30,7;25,1;21;86,2;
2011-12-31;110,9;30,7;25,4;21,2;84,8;
2012-01-31;306,1;29,9;24,6;21,1;86,5;
2012-02-29;266,3;30,1;24,3;20,3;88,4;
2012-03-31;170,1;31,2;25,1;20,8;86,1;
2012-04-30;42,2;31,9;25,7;20,7;85,2;
2012-05-31;76,3;32,4;25,4;19,6;79,4;
2012-06-30;28,8;33;24,9;18,5;76,4;
2012-07-31;20,5;34,1;24,4;16,5;66,2;
2012-08-31;6,2;35,5;25,1;16,3;53,3;
2012-09-30;59,7;35,6;26,8;19,9;58,6;
2012-10-31;142,4;32,9;26,3;21,6;75,2;
2012-11-30;344,8;31;25,8;22,5;85,3;
2012-12-31;272,5;31,5;25,7;21,6;83,2;
2013-01-31;326,4;31,1;25,7;22,4;84,5;
2013-02-28;199,4;30,2;25,3;21,9;84,3;
2013-03-31;374,1;30,1;25,4;22,2;87,6;
2013-04-30;236,9;31,3;25,8;22,3;85,3;
2013-05-31;162,5;31,3;25,6;21,4;81,3;
2013-06-30;66,1;32,2;25,2;20,1;77,2;
2013-07-31;31;33;24,9;18,5;69,6;
2013-08-31;12,8;34,4;25,3;17,4;62,3;
2013-09-30;16,4;34,2;26,6;20,2;66,4;
2013-10-31;106,1;33,1;26,3;20,8;72,8;
2013-11-30;255,8;30,3;25,1;21,4;83,3;
2013-12-31;277,1;30,7;25,7;21,8;85,5;
2014-01-31;220,5;30,3;24,9;20,9;84;
2014-02-28;371,4;30,2;25;21,2;87;
2014-03-31;279,6;30,1;25;21,4;86,5;
2014-04-30;229,6;31,3;25,5;21,3;84,8;
2014-05-31;94,9;31,9;25,8;20,8;80,4;
2014-06-30;0;33,4;25,2;18,3;68,4;
2014-07-31;12,1;33,9;25;17,6;63,3;
2014-08-31;14,7;35,1;25,4;16,6;56,2;
2014-09-30;26,4;34,5;26,3;19,1;66,6;
2014-10-31;161,5;32,5;25,9;19,8;74,6;
2014-11-30;317,2;32;25,7;20,5;81,2;
2014-12-31;285;31;25,3;20,6;82,2;
