Nome: SAO FELIX DO XINGU
Codigo Estacao: 82668
Latitude: -6.63083332
Longitude: -51.9761111
Altitude: 195.98
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2021-07-24
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;213,6;30,6;25,3;20,8;88,8;
2010-02-28;154,3;31,5;25,9;21,1;87;
2010-03-31;183,3;31,8;26;20,9;86,1;
2010-04-30;262;31,2;25,9;21,1;88,8;
2010-05-31;43,9;32,6;26,6;21;84,5;
2010-06-30;22,6;32,7;25,6;18,9;81,3;
2010-07-31;0;34,8;26,3;17,7;70,8;
2010-08-31;12,2;35,9;26,1;16,4;64,7;
2010-09-30;53,4;35,6;27,2;18,8;70,6;
2010-10-31;46,4;33,6;26,4;19,1;80,2;
2010-11-30;139,2;32,7;26,1;19,1;82,7;
2010-12-31;105,4;30,9;25,3;18,9;86,8;
2011-01-31;null;null;null;null;null;
2011-02-28;322,1;30;24,5;18,8;89,6;
2011-03-31;258,2;30,5;25,2;19,4;87,4;
2011-04-30;209,9;30,7;25,1;19,5;89,1;
2011-05-31;59,1;31,1;25,4;19,6;86,8;
2011-06-30;29,4;32,6;25,5;18,1;80,9;
2011-07-31;10;33,5;25,2;17;82;
2011-08-31;64,8;34,5;26,3;18,3;83,5;
2011-09-30;null;null;null;null;null;
2011-10-31;132,4;32,2;25,7;19,1;87,5;
2011-11-30;316,9;31,1;null;19,8;null;
2011-12-31;158,8;31,4;null;19,8;null;
2012-01-31;455,9;30,5;null;19,3;null;
2012-02-29;205,1;31;null;19,2;null;
2012-03-31;333,8;31,6;null;18,7;null;
2012-04-30;138,4;32,2;null;18,6;null;
2012-05-31;81,4;32,3;null;19,3;null;
2012-06-30;null;null;null;null;null;
2012-07-31;55;33,8;null;19,1;null;
2012-08-31;28,8;35,6;null;18,2;null;
2012-09-30;139,4;34,1;null;20,8;null;
2012-10-31;117,9;33,4;null;21;null;
2012-11-30;194,8;32,4;null;21,7;null;
2012-12-31;142,6;31,3;null;21;null;
2013-01-31;143,1;31,3;null;21,8;null;
2013-02-28;258;30,7;null;21,3;null;
2013-03-31;224;31,6;null;22;null;
2013-04-30;59,2;32,2;null;22,2;null;
2013-05-31;350,8;32;null;21,8;null;
2013-06-30;null;null;null;null;null;
2013-07-31;35,6;32,6;null;21,1;null;
2013-08-31;21,2;33,6;null;20,2;null;
2013-09-30;142,5;32,9;null;21,1;null;
2013-10-31;210,5;32;null;21,5;null;
2013-11-30;159,8;31,9;null;21,9;null;
2013-12-31;184,9;31,9;null;21,9;null;
2014-01-31;164,3;31,7;null;21,9;null;
2014-02-28;371;31,3;null;22,4;null;
2014-03-31;369;30,9;null;22,5;null;
2014-04-30;192,2;31,6;null;23,1;null;
2014-05-31;119,5;32;null;22,7;null;
2014-06-30;null;null;null;null;null;
2014-07-31;1,4;33,7;null;21,2;null;
2014-08-31;8;35,5;null;21,1;null;
2014-09-30;136,6;34,9;null;22,4;null;
2014-10-31;317,8;32,9;null;22,4;null;
2014-11-30;272,2;32,5;null;22,6;null;
2014-12-31;113,2;31,5;null;22,4;null;
2015-01-31;260,5;31,9;null;22,2;null;
2015-02-28;370,3;31;null;22;null;
2015-03-31;400,3;31,2;null;22,9;null;
2015-04-30;146,1;31,7;null;23,1;null;
2015-05-31;106,8;32,1;null;22,9;null;
2015-06-30;0;33,7;null;22,4;null;
2015-07-31;11;33,9;null;22;null;
2015-08-31;1;36,3;null;22,1;null;
2015-09-30;10,8;36,4;null;23,7;null;
2015-10-31;56,3;35,5;null;23,9;null;
2015-11-30;80;33,3;null;23,7;null;
2015-12-31;38,4;33,2;null;23,6;null;
2016-01-31;236;30,8;null;23,7;null;
2016-02-29;60,5;33;null;23,9;null;
2016-03-31;220,6;31,7;null;23,1;null;
2016-04-30;82,4;33;null;23,4;null;
2016-05-31;26;33,2;null;23,6;null;
2016-06-30;null;33,6;null;null;null;
2016-07-31;null;35;null;22,7;null;
2016-08-31;14,6;36,5;null;22,8;null;
2016-09-30;null;33;null;22,8;null;
2016-10-31;null;null;null;null;null;
2016-11-30;71;33,4;27,2;23,2;80,8;
2016-12-31;203;32;26;22,7;84,2;
2017-01-31;null;31,8;25,8;22,6;84,6;
2017-02-28;null;30,8;25,5;22;85,4;
2017-03-31;394,6;32;26,2;22,7;85,7;
2017-04-30;null;31,9;26,6;22,8;85;
2017-05-31;62;33,7;27,6;23,3;79,7;
2017-06-30;null;null;null;null;null;
2017-07-31;0;34,4;null;null;null;
2017-08-31;57;null;null;null;null;
2017-09-30;25,2;null;null;null;null;
2017-10-31;152;null;null;null;null;
2017-11-30;133,2;null;null;null;null;
2017-12-31;285,6;null;null;null;null;
2018-01-31;250,8;null;null;null;null;
2018-02-28;490,1;null;null;null;null;
2018-03-31;null;null;null;null;null;
2018-04-30;273,4;31,2;25,3;21,2;85,9;
2018-05-31;null;32,4;25,7;21,7;84,9;
2018-06-30;null;34,1;26;20;77,8;
2018-07-31;14,8;35,8;25,8;18,6;75,3;
2018-08-31;null;null;null;null;null;
2018-09-30;123,8;null;null;20,9;77,4;
2018-10-31;201,8;null;null;21,4;78,9;
2018-11-30;308,2;null;null;21,1;79,5;
2018-12-31;230,4;null;null;21;80,7;
2019-01-31;376,2;null;null;20,9;80,2;
2019-02-28;267,9;null;null;20,9;80,7;
2019-03-31;403,6;null;null;20,8;81,8;
2019-04-30;274,7;null;null;22,4;84,8;
2019-05-31;106;null;null;21,9;80,8;
2019-06-30;null;null;null;null;null;
2019-07-31;14,6;null;null;19,6;75,5;
2019-08-31;44,8;null;null;20,1;73,5;
2019-09-30;115,6;null;null;21,7;75,4;
2019-10-31;331,7;null;null;21,7;82,3;
2019-11-30;136,1;null;null;22;82,5;
2019-12-31;160,6;32,5;26,5;22,5;83,8;
2020-01-31;317,7;31,8;26,1;22,5;84,3;
2020-02-29;221,8;32;26;22,7;87,2;
2020-03-31;244,3;31,9;26,2;22,5;85,5;
2020-04-30;374,2;31,6;25,9;22,4;85,4;
2020-05-31;226,2;32,9;26,4;22,7;84,1;
2020-06-30;21,4;33,4;26,2;21;85,6;
2020-07-31;0;35,1;26,5;19,6;79,2;
2020-08-31;7,2;36,8;27,8;19,8;72,6;
2020-09-30;95;36,7;28,3;20,9;74,3;
2020-10-31;166,1;34,2;27,4;21,9;83;
2020-11-30;162,6;33;26,5;22,5;88;
2020-12-31;122,2;32,4;26,2;22,2;88,3;
2021-01-31;198,1;32,5;26,2;21,9;89;
2021-02-28;289,1;30,9;25,8;22,5;91;
2021-03-31;263;31,3;25,5;21,6;89,7;
2021-04-30;175,7;32,1;26,1;22,5;92,1;
2021-05-31;44,7;33,3;26,2;21,4;90,4;
2021-06-30;30,4;34,8;26,4;20,6;76,8;
2021-07-31;9,4;35,6;27;20,4;72,2;

