Nome: COLINAS
Codigo Estacao: 82676
Latitude: -6.03305554
Longitude: -44.23333333
Altitude: 175.56
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;98,9;32;26,3;22,2;85,2;
2010-02-28;216;32;26,8;22,9;85,6;
2010-03-31;271,8;32,7;26,8;22,9;86,3;
2010-04-30;228,5;32,8;26,9;22,8;83,2;
2010-05-31;18,7;33,6;27;22,3;82,1;
2010-06-30;25,2;33,4;26;20,4;74,4;
2010-07-31;8,9;34,2;26,1;19,6;65;
2010-08-31;0;35,5;26,6;18,6;56,4;
2010-09-30;6,8;36,8;28,9;21,6;50,8;
2010-10-31;101,8;36,6;29,1;23,6;63,2;
2010-11-30;89,4;35,1;28,2;22,8;68,8;
2010-12-31;66,3;33,2;27,3;23;75,3;
2011-01-31;259,2;31,8;26,1;22,4;82,2;
2011-02-28;343,4;30,8;25,5;22,1;86,5;
2011-03-31;307,4;31,9;26;22,3;86,6;
2011-04-30;104,9;31,9;26;22;85,1;
2011-05-31;161,1;31,8;26,2;21,9;81,8;
2011-06-30;0;33,2;25,9;19,8;73;
2011-07-31;50,7;33,3;25,3;18,7;67,5;
2011-08-31;1,7;35,7;26,5;18,7;60,7;
2011-09-30;0;37,1;28,3;20,4;53,3;
2011-10-31;163,6;35,3;28,2;22,7;68,7;
2011-11-30;152;32,3;26,4;22;79,2;
2011-12-31;105,6;33,3;27;22,1;77;
2012-01-31;253,3;31,1;25,7;21,8;83,4;
2012-02-29;183,4;31,5;25,6;21,5;83,2;
2012-03-31;203,8;31,6;25,8;22;85,4;
2012-04-30;40,4;33;26,6;22,2;82,8;
2012-05-31;99,5;33,6;26,7;21,7;78,9;
2012-06-30;9;34,6;26,5;20,9;74;
2012-07-31;0;35,8;26,7;19,1;59,6;
2012-08-31;0;36,2;27,7;20,1;49,9;
2012-09-30;,4;38,2;29,3;20,8;48,8;
2012-10-31;14,4;38,4;null;null;50,6;
2012-11-30;62,5;34,3;null;null;71,1;
2012-12-31;149,5;33,3;null;null;81,6;
2013-01-31;246,6;31,9;26,5;null;85,3;
2013-02-28;119,5;33;26,8;null;86,1;
2013-03-31;114,7;32,8;26,8;null;87,9;
2013-04-30;138,2;33;26,7;null;89,2;
2013-05-31;63,2;33;26,3;null;85,7;
2013-06-30;118;33,2;25,9;null;83,8;
2013-07-31;3,8;34,7;26,4;null;72,2;
2013-08-31;14;36,3;27,7;null;56,6;
2013-09-30;null;null;null;null;null;
2013-10-31;69,8;36,2;29;23,4;64,3;
2013-11-30;177,1;33,1;26,9;22,6;82,7;
2013-12-31;149,5;32,8;26,9;22,8;84,9;
2014-01-31;146,2;31,5;26,1;22,1;87,3;
2014-02-28;159,1;31,2;25,8;22,4;88;
2014-03-31;181,2;31,6;26,2;22,4;90,7;
2014-04-30;160,8;31,9;26,2;22,4;89,3;
2014-05-31;119,2;32,1;26,4;21,9;86,9;
2014-06-30;0;33,1;26;19,9;80,9;
2014-07-31;null;null;null;null;null;
2014-08-31;30;35;26,9;18,9;61,2;
2014-09-30;24,6;36,1;28,5;21,3;62,8;
2014-10-31;67,5;35;28,4;22,2;68,5;
2014-11-30;19;34;27,9;22,4;74,3;
2014-12-31;92;32,4;27,1;22,1;77,6;
2015-01-31;49;31,7;26,1;21,3;85,9;
2015-02-28;57,2;30,5;25,8;21,1;89,1;
2015-03-31;220,8;30,5;25,5;21,3;90,6;
2015-04-30;34,2;31,6;26,2;21,3;89;
2015-05-31;65,4;32;26;20,8;88,4;
2015-06-30;0;33,6;26;18,8;78,9;
2015-07-31;1,8;34,9;26,9;18,8;68,2;
2015-08-31;0;35,7;27,3;18,3;58,9;
2015-09-30;0;37,9;29,5;21,1;57,9;
2015-10-31;28,4;37,5;30,1;24;60,7;
2015-11-30;3;37,4;29,9;24,1;62,2;
2015-12-31;36,2;36,6;29,8;24,4;59,5;
2016-01-31;168,5;31,8;26,8;23,1;82,6;
2016-02-29;59,4;33,5;27,4;23,1;79,3;
2016-03-31;145,4;32,8;27;23,1;85,4;
2016-04-30;69;33,1;27,3;23,1;81,7;
2016-05-31;141,6;33,4;26,7;22,2;82,8;
2016-06-30;7,6;33,7;26,1;20,9;73,8;
2016-07-31;26,4;35,3;26,4;19,1;61,8;
2016-08-31;0;37,3;28,3;20,3;54,4;
2016-09-30;51;37,3;29,5;23,2;56,2;
2016-10-31;32;37,3;29;23;62,8;
2016-11-30;103,4;36,7;29,3;23,6;66,2;
2016-12-31;77,2;35,1;27,9;23,3;74,6;
2017-01-31;209,4;33;26,6;22,1;82,4;
2017-02-28;228,1;32,5;26,2;22,4;85,7;
2017-03-31;129;31,6;25,9;22;87,4;
2017-04-30;141,8;32,6;26,3;22,2;86,1;
2017-05-31;42,2;33,1;26,4;21,5;82,8;
2017-06-30;59,2;33,2;25,7;19,9;75,4;
2017-07-31;0;33,8;26,3;19,9;62,6;
2017-08-31;36;36,8;28,1;20,3;61,3;
2017-09-30;0;37,5;29,9;22,9;57,4;
2017-10-31;54;38,4;31;23,3;57,6;
2017-11-30;48,2;35,5;28,7;23;68,7;
2017-12-31;59,4;34;27,4;22,2;78,1;
2018-01-31;125,6;32,2;25,9;21,2;83,6;
2018-02-28;222,9;31,5;26;22,6;85,4;
2018-03-31;138,2;32;26,7;23,9;85,3;
