Nome: FLORIANO
Codigo Estacao: 82678
Latitude: -6.76166666
Longitude: -43.00333333
Altitude: 126.6
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;85,9;33,3;27,1;23,4;77;
2010-02-28;137,1;34,1;28;24,2;74,3;
2010-03-31;213;33,8;27,7;24,1;80,1;
2010-04-30;96,2;33,5;27,7;23,9;77,4;
2010-05-31;3;35,7;28,7;23,6;65,6;
2010-06-30;45,4;34,5;28,1;23,2;62,4;
2010-07-31;0;35,4;29;23,5;51,7;
2010-08-31;0;36,5;29,6;24,1;46;
2010-09-30;0;37,6;31;25,4;43,9;
2010-10-31;132,8;37,5;30,8;25,5;56,7;
2010-11-30;42,5;35,8;29,5;24,4;66;
2010-12-31;101,5;33,4;28;23,7;75,4;
2011-01-31;198,6;32,5;26,8;22,9;78,2;
2011-02-28;277;31,2;26,1;22,4;84;
2011-03-31;198,2;32,5;26,9;22,8;81,8;
2011-04-30;243,1;32,6;26,9;22,9;80,3;
2011-05-31;32,1;32,4;27;22,8;74,9;
2011-06-30;,5;34,5;27,7;22,2;66,6;
2011-07-31;50,9;34,1;27,2;21,5;63,4;
2011-08-31;0;36,5;29;22,4;49,5;
2011-09-30;1,3;37,5;30,4;24,1;40,2;
2011-10-31;184;36,3;29,8;24,5;58,6;
2011-11-30;42,8;33,8;28,1;23,4;71,3;
2011-12-31;37;35;28,7;23,4;68,4;
2012-01-31;113,1;33,3;27,2;23;76,3;
2012-02-29;146,5;33,1;26,9;22,2;76,5;
2012-03-31;200,6;33,8;27,2;22,7;78,5;
2012-04-30;59,5;34,5;27,9;22,5;74,9;
2012-05-31;17,5;35,9;28,6;22,5;62,4;
2012-06-30;38;36,1;28,9;22,9;54,8;
2012-07-31;0;36,3;29,7;24;41,6;
2012-08-31;0;36,3;29,6;23,8;36,1;
2012-09-30;0;38;31,3;25,3;35,7;
2012-10-31;,8;39;32,6;26,5;36,6;
2012-11-30;74,1;35,5;29,8;25,3;63,6;
2012-12-31;194,8;33,8;28,3;23,7;72,4;
2013-01-31;355,8;32,6;27,1;23,2;79,7;
2013-02-28;143,7;32,7;27,4;23,3;78;
2013-03-31;186,8;33;27,5;23,9;80;
2013-04-30;75,3;32,8;27,5;23,4;77,9;
2013-05-31;19,8;33,9;27,8;23,2;70,7;
2013-06-30;6;35,2;28,1;22,6;58,5;
2013-07-31;0;35,6;28,6;22,4;48,3;
2013-08-31;0;36,9;30,1;24,5;42,7;
2013-09-30;1;38,3;31,5;25,3;39,5;
2013-10-31;19,2;38;31,3;25,5;48,1;
2013-11-30;78,2;35,7;29,6;24,2;59,5;
2013-12-31;137;33,3;28,1;23,8;72,8;
2014-01-31;135;32,9;27,1;22,7;77,3;
2014-02-28;169,4;31,9;26,8;22,9;81,5;
2014-03-31;166,1;32,1;26,6;22,8;83,6;
2014-04-30;83,1;32,9;27,1;22,9;81,2;
2014-05-31;78,6;33,8;27,6;22,9;70,5;
2014-06-30;0;35,5;28,5;22,8;53,8;
2014-07-31;0;35,7;29,1;23;43,8;
2014-08-31;0;36,8;29,9;24,2;40,1;
2014-09-30;13,9;37,9;31;24,9;42,5;
2014-10-31;63;37,5;31,1;25,5;46,4;
2014-11-30;213,3;35,5;29,3;23,8;64,4;
2014-12-31;152,2;34,1;28,4;23,5;66,9;
2015-01-31;94,6;33,8;27,7;23,2;72,2;
2015-02-28;209,3;32,5;26,9;22,9;78,5;
2015-03-31;242,4;31,5;26,5;22,9;83,6;
2015-04-30;112,4;32,6;27;22,7;81,1;
2015-05-31;10;34,2;27,6;22,4;70,3;
2015-06-30;0;35,2;28,1;21,5;53,7;
2015-07-31;1;35,8;29,3;23,4;45,6;
2015-08-31;,2;36,8;29,9;23,2;40;
2015-09-30;0;38,9;31,7;24,6;39,4;
2015-10-31;3,9;39;32,8;26,9;40,1;
2015-11-30;34,9;38,2;31,6;25,6;49,2;
2015-12-31;11,8;38,6;31,8;25,9;46,1;
2016-01-31;322,5;32,6;27,6;23,9;77,5;
2016-02-29;45,5;34,7;28,6;23,6;67;
2016-03-31;148,8;33,4;28,2;24,4;76,7;
2016-04-30;35,5;35;29,1;24,2;68,1;
2016-05-31;70,8;36,1;29,3;23,4;59,2;
2016-06-30;1,6;35,8;28,9;23;51,5;
2016-07-31;0;36,1;29,3;23,3;41;
2016-08-31;0;37,5;30,3;23,3;38,2;
2016-09-30;57,7;37,9;31,3;25,1;42,6;
2016-10-31;10,1;38,5;31,6;25,1;42,8;
2016-11-30;31,6;37,9;31,5;25,4;49;
2016-12-31;146,1;35,5;29;23,6;63,5;
2017-01-31;202,8;33,5;27,8;23,5;72,9;
2017-02-28;98,4;31,8;26,8;23,3;82,5;
2017-03-31;129,1;32,5;26,8;23,2;82,4;
2017-04-30;130,1;33,1;27,5;23,1;78,8;
2017-05-31;55,2;35;28,5;23,3;64,6;
2017-06-30;23,6;34,8;28,3;22,7;53,5;
2017-07-31;0;34,3;28,4;22,6;40,6;
2017-08-31;0;37,2;30,5;24;35,9;
2017-09-30;0;37,3;30,9;25,2;34,4;
2017-10-31;148,4;38,9;32,8;27,3;35,1;
2017-11-30;79,4;35;29,3;24,9;64,6;
2017-12-31;154,9;33,5;28;23,9;74;
2018-01-31;110,7;32,6;26,8;22,5;76;
2018-02-28;395,4;31,5;26,3;22,9;84,5;
2018-03-31;208,9;31,9;26,7;23,2;82,8;
2018-04-30;47,3;32,3;26,8;22,6;76,5;
2018-05-31;33;34;27,3;21,7;65,3;
2018-06-30;1,2;35,1;27,5;20,9;53,5;
2018-07-31;0;35,8;28,5;21,8;43,2;
2018-08-31;,4;37,1;29,8;22,9;39,4;
2018-09-30;36;38,3;31,2;24,1;39,8;
2018-10-31;65,7;38;30,9;24,4;49,6;
2018-11-30;70,3;35,9;29,6;23,7;60,9;
2018-12-31;169,9;33;27,1;21,5;73,8;
2019-01-31;81,3;34;27,2;21,8;75,2;
2019-02-28;249,7;33,4;26,6;21,2;80,7;
2019-03-31;204;32,9;27,1;23,3;80,3;
2019-04-30;200,8;33;27,5;23,8;80,5;
2019-05-31;105,4;33,3;27,4;23;75,8;
2019-06-30;2,1;34;27,3;21,6;66;
2019-07-31;20,5;34,6;27,8;22,1;55,3;
2019-08-31;0;36,5;29,5;23,5;43,3;
2019-09-30;15,3;38,6;31,5;25,1;40,6;
2019-10-31;28,3;38,4;31,5;25,6;46,2;
2019-11-30;8,1;38,6;31,6;25,9;52,4;
2019-12-31;157,6;36,4;29,8;24,7;63,3;
2020-01-31;191;32,8;27,3;23,5;80;
2020-02-29;188,6;33,1;27,2;23,3;81;
2020-03-31;null;32,3;26,9;23,3;85,4;
2020-04-30;null;null;null;null;null;
2020-05-31;null;null;null;null;null;
2020-06-30;null;null;null;null;null;
2020-07-31;null;null;null;null;null;
2020-08-31;null;null;null;null;null;
2020-09-30;null;null;null;null;null;
2020-10-31;null;null;null;null;null;
2020-11-30;null;null;null;null;null;
2020-12-31;null;null;null;null;null;
2021-01-31;null;null;null;null;null;
2021-02-28;null;null;null;null;null;
2021-03-31;null;null;null;null;null;
2021-04-30;null;null;null;null;null;
2021-05-31;null;null;null;null;null;
2021-06-30;null;null;null;null;null;
2021-07-31;null;null;null;null;null;
2021-08-31;null;null;null;null;null;
2021-09-30;null;null;null;null;null;
2021-10-31;null;null;null;22,9;null;
2021-11-30;230,8;null;null;21,8;null;
2021-12-31;288,8;null;null;21,7;null;
2022-01-31;198;null;null;20,3;null;
2022-02-28;243,8;null;null;20,3;null;
2022-03-31;253,4;null;null;20,1;null;
2022-04-30;107;null;null;19,8;null;
2022-05-31;40,6;null;null;19,3;null;
2022-06-30;10,6;null;null;17,9;null;
2022-07-31;0;null;null;18,4;null;
2022-08-31;0;null;null;19,3;null;
2022-09-30;7,2;null;null;22,3;null;
2022-10-31;35,5;null;null;25,4;null;
2022-11-30;161,1;null;null;24,7;null;
2022-12-31;200,9;null;null;23,8;null;
2023-01-31;176;null;null;22,7;null;
2023-02-28;156,4;null;null;23;null;
2023-03-31;132,4;null;null;23,3;null;
2023-04-30;58,9;null;null;23,1;null;
2023-05-31;114,6;null;null;23,1;null;
2023-06-30;3,9;null;null;22;null;
2023-07-31;0;null;null;21,8;null;
2023-08-31;0;null;null;23,9;null;
2023-09-30;0;null;null;25,9;null;
2023-10-31;1,9;null;null;26,1;null;
2023-11-30;187;null;null;24,6;null;
2023-12-31;260,8;null;null;24,5;null;
2024-01-31;214,4;null;null;24,4;null;
2024-02-29;229,2;null;null;24,1;null;
2024-03-31;320,3;null;null;24;null;
2024-04-30;210;null;null;24,4;null;
2024-05-31;9;null;null;23,5;null;
2024-06-30;0;null;null;22,9;null;
2024-07-31;3,1;null;null;22,3;null;
2024-08-31;0;null;null;23,7;null;
2024-09-30;0;null;null;24,9;null;
2024-10-31;37,9;null;null;25,5;null;
2024-11-30;46,9;null;null;26,2;null;
2024-12-31;158,5;null;null;24;null;

