Nome: TAUA
Codigo Estacao: 82683
Latitude: -6.00638888
Longitude: -40.29972221
Altitude: 401.89
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2021-07-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;151,5;32;26,8;22,6;71,9;
2010-02-28;27,8;33,7;28,3;24,1;62,9;
2010-03-31;50,5;35,2;28,9;23,8;61,2;
2010-04-30;60,2;32,3;27;22,8;74,3;
2010-05-31;8,1;34,1;27,7;22,3;66,2;
2010-06-30;92,6;32,3;26,4;21,2;62;
2010-07-31;0;33,2;27,1;21,1;50,6;
2010-08-31;null;null;null;null;null;
2010-09-30;0;34,7;28,5;22,8;46,5;
2010-10-31;38;35,1;28,9;23,5;54,2;
2010-11-30;1;35,1;29;23,8;51,7;
2010-12-31;97,4;32,2;26,9;22,6;67,8;
2011-01-31;160,9;31,6;26;21,9;75,1;
2011-02-28;180,3;30,5;25,5;21,7;79,1;
2011-03-31;94,3;31,2;25,7;21,6;79,9;
2011-04-30;129,8;31;25,7;21,7;81;
2011-05-31;108,3;30;25,1;21,2;79,7;
2011-06-30;47,5;31;25,1;19,8;71,8;
2011-07-31;29,6;31,2;25;19,6;62,8;
2011-08-31;32,2;32,8;26,3;20,2;59;
2011-09-30;,4;34,2;27,6;21,4;49,3;
2011-10-31;35,7;34,4;27,9;22,4;57,9;
2011-11-30;18,3;33,1;27,1;22,1;61,4;
2011-12-31;0;34,8;28,4;22,7;53,8;
2012-01-31;79;33,4;27,6;22,4;61,7;
2012-02-29;180,6;31,7;26,3;21,5;69,7;
2012-03-31;36,6;32;26,5;21,6;70,1;
2012-04-30;13,3;33,6;26,9;21,3;66,6;
2012-05-31;5;33,9;27,5;21,7;58,6;
2012-06-30;23,3;33,2;26,9;21;57,6;
2012-07-31;null;null;null;null;null;
2012-08-31;0;33,7;27,2;20,3;44,9;
2012-09-30;6,2;34,7;28,1;21,1;46,7;
2012-10-31;0;35,3;28,9;22;51,9;
2012-11-30;,2;34,9;28,8;22;53,8;
2012-12-31;0;34,8;29;22,5;55,4;
2013-01-31;8,6;34,2;28,6;22,6;59,7;
2013-02-28;65,2;34,3;28,9;22,6;58,3;
2013-03-31;26,8;34,3;28,7;22,5;61,5;
2013-04-30;89,2;32,4;26,9;21,3;70,9;
2013-05-31;58,9;31,5;26,3;21,3;72,1;
2013-06-30;36,7;31,5;26;21,4;70,9;
2013-07-31;null;null;null;null;null;
2013-08-31;0;34;27,8;21,7;54,8;
2013-09-30;0;35,1;28,7;22,2;50,4;
2013-10-31;22;35;28,8;22,4;52;
2013-11-30;14,4;33,5;28,1;22,2;58,3;
2013-12-31;55,6;33,7;28;22,3;59,2;
2014-01-31;64,7;32,4;26,9;21,7;68,5;
2014-02-28;73,3;31,2;26,2;21,6;74,5;
2014-03-31;36,8;32,5;26,9;22;70,1;
2014-04-30;null;30,7;25,7;21,8;81,5;
2014-05-31;null;null;null;null;null;
2014-06-30;10,7;32,5;26,6;20,7;62,2;
2014-07-31;null;null;null;null;null;
2014-08-31;0;33,5;27,2;20,5;49,1;
2014-09-30;null;null;null;null;null;
2014-10-31;13,8;34,2;28,3;21,9;50,7;
2014-11-30;83,9;34;27,9;21,9;57,8;
2014-12-31;0;33,8;28,5;22,7;53,4;
2015-01-31;15,6;34;28,1;22,1;57;
2015-02-28;45,3;33;27,5;22;63,7;
2015-03-31;158,1;31,3;26;21,1;75,3;
2015-04-30;32,4;32,3;26,4;21,2;73,7;
2015-05-31;55,9;32,6;26,8;21,4;72,9;
2015-06-30;49,3;31,7;25,9;21;72,6;
2015-07-31;3,3;32,2;26,6;21,2;65,6;
2015-08-31;,1;33,8;27,3;20,9;56,6;
2015-09-30;0;35;28,6;22,1;55,9;
2015-10-31;1,2;35,7;29,3;22,4;54,5;
2015-11-30;0;35,8;29,6;22,5;50,9;
2015-12-31;8,6;35,4;29,3;22,7;54,5;
2016-01-31;273,6;31,3;26,6;21,5;75,2;
2016-02-29;26,2;33,3;27,4;21;68,9;
2016-03-31;90,9;32,8;27,3;21,7;73,7;
2016-04-30;43;32,2;26,8;21,1;73,8;
2016-05-31;34,8;32,6;26,7;20,6;69,8;
2016-06-30;,4;33,5;26,8;20;59,8;
2016-07-31;null;null;null;null;null;
2016-08-31;0;34,4;27,8;20,3;51,7;
2016-09-30;0;35,2;28,7;21,5;52,5;
2016-10-31;0;35,6;29,3;22;49,9;
2016-11-30;0;35,5;29,5;22,2;51,5;
2016-12-31;33,6;33,7;28,3;22,2;61,2;
2017-01-31;42,2;33,8;28,1;22,2;66,1;
2017-02-28;78,3;32,3;27;21,7;72,1;
2017-03-31;178,8;30;25,2;20,7;83,4;
2017-04-30;31,2;32;26,2;20,6;77,5;
2017-05-31;19;32,7;26,9;21,2;70,4;
2017-06-30;19;32,2;26,4;20,7;66;
2017-07-31;null;null;null;null;null;
2017-08-31;0;34,5;27,9;21,3;57,9;
2017-09-30;0;34,5;28,4;22,1;55,1;
2017-10-31;4;35,5;29,3;22,7;56,9;
2017-11-30;0;35,1;29,1;22,6;59,8;
2017-12-31;51,1;34,5;28,8;22,8;69,7;
2018-01-31;11,1;33,7;28;22,5;70,3;
2018-02-28;227,7;31,5;26,3;21,7;79,4;
2018-03-31;null;null;null;null;null;
2018-04-30;110,3;29,6;24,7;20,1;81,6;
2018-05-31;7,3;31,6;25,6;19,1;66,6;
2018-06-30;2,8;32,5;26;19,2;55;
2018-07-31;3,4;32,9;26,6;19,4;50,7;
2018-08-31;1,7;34,2;27,5;20,6;47,4;
2018-09-30;0;35,2;28,7;21,9;47,1;
2018-10-31;10,7;35,2;29;22;50;
2018-11-30;18;35;29,1;22,4;49,6;
2018-12-31;124,1;31,8;26;20,4;71,5;
2019-01-31;58,9;32,5;26,6;20,9;70;
2019-02-28;32,7;32,9;26,8;21,2;72;
2019-03-31;163,7;32,3;26,5;21;71,8;
2019-04-30;140,8;31;25,7;20,8;83,2;
2019-05-31;23,2;32,2;26,1;20,1;72,6;
2019-06-30;null;null;null;null;null;
2019-07-31;3,8;32,6;26,3;19,8;62,5;
2019-08-31;3;33,5;27,1;20;53,7;
2019-09-30;,5;35,3;28,5;20,9;50,9;
2019-10-31;1,5;35,8;29;21,4;50,8;
2019-11-30;7,7;36,1;29,6;22;51,3;
2019-12-31;8,2;35,8;29,4;22,1;52;
2020-01-31;175,2;32,8;26,9;21,7;74,8;
2020-02-29;182,2;31,5;25,7;20,9;83,5;
2020-03-31;226;31,1;25,5;20,6;86,2;
2020-04-30;79,4;31,2;25,9;20,8;82,2;
2020-05-31;99,6;30,7;25,3;19,9;78,3;
2020-06-30;5,8;31,3;25,1;18,7;69;
2020-07-31;0;33,1;26,2;19,3;55,1;
2020-08-31;0;34,1;27;19,5;54;
2020-09-30;0;34,9;28;20,8;51;
2020-10-31;3;36,1;29;21,8;48,4;
2020-11-30;49,9;34,1;28,1;22;58,5;
2020-12-31;0;34,2;28,3;22,6;54,1;
2021-01-31;37,1;32,6;27,6;22,1;62,4;
2021-02-28;156,5;32,3;26,8;21,6;71,2;
2021-03-31;133,2;30,9;25,6;20,8;78,2;
2021-04-30;70,6;31,1;25,7;20,3;76,4;
2021-05-31;46,1;30,9;25,1;19,4;73,5;
2021-06-30;0;33,2;26,6;20;58,8;
2021-07-31;null;32,5;26,2;20;59,7;

