Nome: MORRO DOS CAVALOS
Codigo Estacao: 82684
Latitude: -7.85
Longitude: -41.9
Altitude: 242
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2015-02-24
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;196,2;33,3;26,8;21,5;73,4;
2010-02-28;53;35,7;28,2;22,5;68;
2010-03-31;285,6;34,9;27,6;22,6;76,1;
2010-04-30;90,6;33,4;27;21,8;76,6;
2010-05-31;7;36,6;28,1;20,8;59,6;
2010-06-30;12,1;34,2;27;20,8;56,8;
2010-07-31;0;34,1;27,1;21,4;50,3;
2010-08-31;0;35,1;27,8;21,6;42,4;
2010-09-30;0;36,3;28,9;22,5;41,8;
2010-10-31;41,2;37,4;29,8;23,2;48,1;
2010-11-30;15,4;37,6;29,9;22,8;49,4;
2010-12-31;130,9;33,4;27;21,6;69;
2011-01-31;41,6;34,3;27,1;21,4;67,9;
2011-02-28;178,7;32,4;26,4;22;76,9;
2011-03-31;77,2;32,5;26;21,4;81,5;
2011-04-30;45,8;33,3;26,4;21,1;73,5;
2011-05-31;65;33,1;26,5;21,1;66,2;
2011-06-30;0;34,8;27,1;19,6;55,6;
2011-07-31;,3;34;26,8;19,9;50;
2011-08-31;0;35,7;28,1;21,6;43,3;
2011-09-30;0;36,4;29;22,4;39,8;
2011-10-31;35;36,8;29,7;23,8;49,6;
2011-11-30;34,9;35,4;28,5;22,7;56,9;
2011-12-31;55;37,1;29,3;22,7;54,4;
2012-01-31;89,3;35,8;28,3;22,7;61,6;
2012-02-29;104,2;33,8;26,9;21,5;69,2;
2012-03-31;19,5;36,2;28,3;21,6;59,8;
2012-04-30;3,7;37,5;29,3;21,2;48,4;
2012-05-31;0;36,6;29;22,2;46,8;
2012-06-30;0;35,7;28,4;22,2;45,8;
2012-07-31;0;34,9;28;21,8;44;
2012-08-31;0;34,6;27,7;21,6;42,9;
2012-09-30;0;36,6;29,2;23;37,8;
2012-10-31;,6;38,1;30,6;24,2;36,4;
2012-11-30;131,8;36,4;29,8;24,5;53,6;
2012-12-31;50,4;36,4;28,8;22,6;58,2;
2013-01-31;92,7;34,5;27,6;22,7;68;
2013-02-28;23,8;36,9;29,4;22,2;51,6;
2013-03-31;175;35,5;28,7;23,1;64,1;
2013-04-30;84,2;33,2;27;22,3;72,3;
2013-05-31;16;34,8;27,8;21,9;58;
2013-06-30;0;35,1;27,8;21,9;50,2;
2013-07-31;0;34,4;27,6;21,9;48,3;
2013-08-31;0;35,2;28,4;22,6;44,2;
2013-09-30;0;36,9;29,8;23,2;40,5;
2013-10-31;2,1;37,3;30,5;23,8;41,2;
2013-11-30;58,4;35,8;29,3;23,5;53,5;
2013-12-31;79,2;34;27,7;22,4;67,5;
2014-01-31;54,4;36;28,5;21,9;58,1;
2014-02-28;153,9;33,2;27,3;22,3;68,2;
2014-03-31;200;32,9;27,1;22,4;73,9;
2014-04-30;32,7;33;26,8;21,9;73,9;
2014-05-31;27,8;34,2;27,1;21,1;62,7;
2014-06-30;null;null;null;null;null;
2014-07-31;null;null;null;null;null;
2014-08-31;null;null;null;null;null;
2014-09-30;null;null;null;null;null;
2014-10-31;null;null;null;null;null;
2014-11-30;null;null;null;null;null;
2014-12-31;null;null;null;null;null;
2015-01-31;null;null;null;null;null;
2015-02-28;null;null;null;null;null;

