Nome: IGUATU
Codigo Estacao: 82686
Latitude: -6.39638888
Longitude: -39.26888888
Altitude: 221.58
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2021-07-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;119,6;33,1;27,4;23;66,1;
2010-02-28;105,4;33,6;28,1;23,3;65,5;
2010-03-31;185,2;35,1;28,9;23,8;62;
2010-04-30;224,3;32,1;27,1;23,5;80,4;
2010-05-31;48,8;32,8;26,9;22,8;74,4;
2010-06-30;36,6;32,6;26,1;20,9;64,9;
2010-07-31;,2;33,6;27;20,8;55,9;
2010-08-31;3,5;34,3;27,7;21,5;47,8;
2010-09-30;,2;35,5;28,8;23;45,2;
2010-10-31;63,9;35,4;29,1;24;48,4;
2010-11-30;1,7;35,4;29,1;24;48,7;
2010-12-31;64,7;33,1;27,7;23,5;60;
2011-01-31;238,8;32,3;26,8;23;66,8;
2011-02-28;336,3;30,5;25,9;22,5;78,4;
2011-03-31;91,6;31,6;26,5;23;75,7;
2011-04-30;494,6;31,4;26,1;22,5;76,8;
2011-05-31;213,5;30,1;25,5;22;79,8;
2011-06-30;8,5;31,8;25,8;21,3;72,7;
2011-07-31;87,1;31,5;25,5;20,6;74,1;
2011-08-31;26,1;34;26,9;21,3;55,6;
2011-09-30;0;35,3;28;22,2;55,4;
2011-10-31;77,4;34,8;28,4;23,3;54,3;
2011-11-30;23;33,9;27,7;23,2;58,7;
2011-12-31;6,1;35,5;28,9;23,8;45;
2012-01-31;213,7;33,8;28,1;23,5;59,2;
2012-02-29;211,4;32,1;26,8;22,8;68,7;
2012-03-31;245,9;31,9;26,7;22,8;75,4;
2012-04-30;154,7;32;26,6;22,9;77,6;
2012-05-31;27;33,9;27;22,2;65,7;
2012-06-30;29,6;33,5;26,6;21,8;62,1;
2012-07-31;1,2;33,7;27,1;21,5;55;
2012-08-31;0;34,3;27,5;21,4;45,4;
2012-09-30;,5;35,6;28,5;22,2;41,2;
2012-10-31;,3;36,3;29,4;23,3;42,6;
2012-11-30;12,1;35,8;29,4;23,6;47,4;
2012-12-31;0;36,2;29,9;24,4;44,8;
2013-01-31;78,6;35,2;29,1;24,3;53,1;
2013-02-28;54,2;35,8;29,1;23,9;53;
2013-03-31;84,7;34,7;28,6;24,1;60,7;
2013-04-30;140,8;32,5;26,8;23,4;73,1;
2013-05-31;251,5;31,5;26,1;22,3;75,8;
2013-06-30;101,1;31,3;25,5;21,5;73;
2013-07-31;61,1;32,3;25,8;20,9;68,5;
