Nome: SAO GONCALO
Codigo Estacao: 82689
Latitude: -6.83583333
Longitude: -38.31166666
Altitude: 237.04
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;118,9;32,6;26,4;21,6;73,7;
2010-02-28;50,7;33;26,8;21,5;72,6;
2010-03-31;null;null;null;null;null;
2010-04-30;null;null;null;null;null;
2010-05-31;null;null;null;null;null;
2010-06-30;null;null;null;null;null;
2010-07-31;null;null;null;null;null;
2010-08-31;null;null;null;null;null;
2010-09-30;null;null;null;null;null;
2010-10-31;null;null;null;null;null;
2010-11-30;null;null;null;null;null;
2010-12-31;123,3;33,3;26,1;19,4;72,3;
2011-01-31;341,6;32,8;25,8;19,2;76,2;
2011-02-28;404,2;31,7;25,2;19,3;82,6;
2011-03-31;126,4;32,4;25,5;19;80,3;
2011-04-30;168,2;32,6;25,7;19,1;79,9;
2011-05-31;73,3;30,9;25;18,5;79,7;
2011-06-30;51,1;31,8;25,2;18,4;71,4;
2011-07-31;23,1;30,9;25;18,4;68,6;
2011-08-31;3,7;33,4;25,6;16,1;58,9;
2011-09-30;0;34,5;27,1;18,2;52,6;
2011-10-31;124,4;34,3;27,1;21,6;65,7;
2011-11-30;15,1;33,9;26,9;21,8;67,7;
2011-12-31;15,7;35,2;27,3;21,9;65;
2012-01-31;124,5;33,9;27,1;22,1;65,8;
2012-02-29;217,8;33,3;26,5;21,7;71,4;
2012-03-31;27;33,5;26,7;22,1;73,2;
2012-04-30;130,7;33,9;27;22,4;72;
2012-05-31;11;34;27;21,8;64,7;
2012-06-30;25,9;32,9;26,3;21,1;64,7;
2012-07-31;6,2;32,7;26,3;20,3;56,6;
2012-08-31;0;33,6;27;20,3;48,1;
2012-09-30;0;34,7;27,1;20,4;49,9;
2012-10-31;0;35,5;27,9;22;53;
2012-11-30;,2;35,9;27,9;22,2;59,1;
2012-12-31;1;35,8;28;23,4;61,2;
2013-01-31;55,4;34,9;27,9;23,3;65,8;
2013-02-28;77,8;35,6;27,9;22,8;65,1;
2013-03-31;164,6;35;28;23,3;68,6;
2013-04-30;115,3;33,2;27,2;23,2;75,2;
2013-05-31;106,3;32,4;26,5;22,1;74,7;
2013-06-30;50,8;31,9;25,6;21,2;73,7;
2013-07-31;16,3;32;25,6;20,1;66,3;
2013-08-31;8,6;33,9;27,2;21,2;55,5;
2013-09-30;1,7;35,3;27,6;21,1;53,1;
2013-10-31;40,8;35,8;27,8;22,5;57,7;
2013-11-30;8,8;34,4;27;22;65,5;
2013-12-31;85,2;34,8;27,3;22,3;68;
2014-01-31;64,3;34,8;27,6;22,4;67,7;
2014-02-28;142,1;33,4;27,1;22,7;75,3;
2014-03-31;191,4;32,7;26,4;22,5;81,4;
2014-04-30;192,2;31,9;26,3;22,8;80,9;
2014-05-31;69,9;32,2;26;21,6;75;
2014-06-30;17;32,5;25,6;20,1;72,2;
2014-07-31;28,6;32,5;25,6;19,7;65,5;
2014-08-31;,3;34,4;26,9;20;55,1;
2014-09-30;0;35,5;27,6;21,5;55,5;
2014-10-31;83,2;35,2;28;22,4;58,3;
2014-11-30;8,2;35,4;27,9;22,6;64,1;
2014-12-31;24;35,6;28,3;22,9;61,3;
2015-01-31;55,5;35,6;27,7;22,5;63,8;
2015-02-28;160,7;33,9;27;22,4;72,3;
2015-03-31;396,5;33,4;26,6;22,4;80;
2015-04-30;36,3;33,3;26,3;22,4;78,6;
2015-05-31;8,4;35;27,2;22;69,1;
2015-06-30;45;33,3;26,6;21,3;66,2;
2015-07-31;59,3;32,7;26,4;21,1;70;
2015-08-31;4,9;34,6;26,7;19,9;64,7;
2015-09-30;0;36,3;27,5;21,2;60,9;
2015-10-31;5,6;36,9;28,8;22,3;60,8;
2015-11-30;0;37,5;29,3;22,6;60,6;
2015-12-31;9,8;37;29,6;23,9;63;
2016-01-31;184,1;32,9;27,5;23,7;80;
2016-02-29;30,7;34,3;27,5;22,6;74,4;
2016-03-31;308,4;34,4;28,2;23,8;78,5;
2016-04-30;115,1;32,7;26,9;22,5;81,5;
2016-05-31;30,6;34,1;27,4;21,8;74,4;
2016-06-30;10,1;34,4;27,2;21,1;68,1;
2016-07-31;,5;34,6;27,4;20,9;59,2;
2016-08-31;0;35,3;27,8;21,1;58,1;
2016-09-30;0;36,3;28,6;22,4;58,3;
2016-10-31;11,9;37;29,7;23,7;53;
2016-11-30;0;37;30,2;24,3;53,6;
2016-12-31;10;36,3;29,7;24,6;58;
2017-01-31;104,1;36,2;29,7;24,6;63,4;
2017-02-28;191,4;33,4;27,9;23,6;77,8;
2017-03-31;139,4;32,6;26,9;23,5;83,6;
2017-04-30;68,9;32,7;27,1;23,2;79,8;
2017-05-31;55,6;33,2;27;22,6;77,3;
2017-06-30;50,4;32,1;26,5;21;72,7;
2017-07-31;73,1;30,3;25,2;20,5;71,2;
2017-08-31;0;34,6;27,7;21,5;60,4;
2017-09-30;0;35,3;28,6;22,6;51,8;
2017-10-31;0;36,5;29,8;23,7;50,4;
