Nome: SERIDO (CAICO)
Codigo Estacao: 82690
Latitude: -6.46749999
Longitude: -37.08499999
Altitude: 171.26
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;107,9;33,9;28;23,3;68,7;
2010-02-28;51,3;35,3;29;23,9;64,7;
2010-03-31;108,7;36,8;29,4;24,1;66,1;
2010-04-30;175,1;34,3;28,1;23,5;74,1;
2010-05-31;46,2;35,2;28,9;23,5;61,8;
2010-06-30;56,4;32,6;26,8;22,1;68,1;
2010-07-31;3,7;32,8;26,9;21,4;61,1;
2010-08-31;0;33,8;27,2;21,5;55,7;
2010-09-30;6,2;35,1;28;21,8;52,5;
2010-10-31;93,2;36,5;29,3;23,4;56,3;
2010-11-30;0;36,8;29,6;23,6;50,7;
2010-12-31;52;35,4;28,8;23,6;64,4;
2011-01-31;98,6;34,3;28,2;23,5;73,8;
2011-02-28;203,1;33,8;27,6;23,1;81,2;
2011-03-31;114,2;33,2;27,2;22,8;77,5;
2011-04-30;269,6;33,3;27;22,6;81;
2011-05-31;222;31,2;26,2;22,3;78,7;
2011-06-30;14,9;32,6;26,5;21,8;68,5;
2011-07-31;37,3;31,3;25,7;21,1;69,2;
2011-08-31;,6;33,3;26,7;20,8;59,5;
2011-09-30;0;34,6;27,8;21,7;49,3;
2011-10-31;3,3;36,4;29,1;23,5;51;
2011-11-30;,3;36,7;29,5;23,7;48,3;
2011-12-31;1,9;37,2;29,8;23,6;47,2;
2012-01-31;65,2;36,1;29,2;23,9;54,2;
2012-02-29;69,3;35,1;28,5;23,4;58,3;
2012-03-31;18,5;36,4;29,2;23,8;57;
2012-04-30;,8;37,3;30,3;24,4;50,5;
2012-05-31;1,5;35,9;29,2;23,9;53;
2012-06-30;44,3;34,1;27,9;22,9;59,6;
2012-07-31;0;32,9;27;21,9;60;
2012-08-31;0;34,3;27,3;21,3;48,2;
2012-09-30;0;35,6;28,3;21,8;44,8;
2012-10-31;0;36,6;29;23,1;47,5;
2012-11-30;,6;37,4;29,7;23,6;49,2;
2012-12-31;0;37,3;30,2;24,5;49,5;
2013-01-31;24,3;37,3;30,2;24,8;53;
2013-02-28;6,8;37,6;30,4;24,9;52,3;
2013-03-31;95,2;37,2;30,3;24,9;58,4;
2013-04-30;161,2;35,4;29,4;24,5;64,1;
2013-05-31;96,2;34;28;23;67,4;
2013-06-30;45,8;33,3;27,5;22,5;67,4;
2013-07-31;20,9;33,1;27,1;21,8;58,9;
2013-08-31;2,1;34,3;27,8;22,2;54;
2013-09-30;0;35,3;28,3;22,6;55,9;
2013-10-31;0;36,5;29,3;23,6;61,1;
2013-11-30;85,1;35,9;29;23,5;55,7;
2013-12-31;60;35,7;29,2;24;56,3;
2014-01-31;95,4;35,9;29,6;24;58,6;
2014-02-28;42,5;35,3;28,8;23,9;67,6;
2014-03-31;153;34,8;28,5;23,6;73;
2014-04-30;244,1;33,5;27,3;23,1;80,5;
2014-05-31;102,2;33,3;27,3;23;75,3;
2014-06-30;11,5;32,9;27,2;22;63,7;
2014-07-31;7;33,4;27,2;21,6;57,9;
2014-08-31;0;34,4;27,7;21,6;52,4;
2014-09-30;8;35,4;28,5;22,8;50,4;
2014-10-31;2,1;35,8;28,9;23,4;49,7;
2014-11-30;5,4;36,4;29,3;23,6;50,5;
2014-12-31;0;36,6;29,7;24;49,9;
2015-01-31;7,5;36,9;30,1;24,3;49,2;
2015-02-28;59,6;36;29,2;24;57;
