Nome: FLORANIA
Codigo Estacao: 82691
Latitude: -6.12388888
Longitude: -36.81194444
Altitude: 324.45
Situacao: Desativada
Data Inicial: 2010-01-01
Data Final: 2018-05-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;138;33,2;26,8;22,7;70,1;
2010-02-28;7,8;34,5;28,1;23,6;63,6;
2010-03-31;128;35,3;28,1;23,2;68,1;
2010-04-30;125,2;33;27,4;23,4;73,5;
2010-05-31;27,6;34;27,6;23;67;
2010-06-30;150;31;25,6;21,7;71,9;
2010-07-31;2,2;31,1;25,4;21,1;71,1;
2010-08-31;,4;32,2;25,7;20,8;60,4;
2010-09-30;,4;33,7;26,5;21,2;57,9;
2010-10-31;90;35;27,6;22,3;60,8;
2010-11-30;0;35,3;27,7;22,3;62,3;
2010-12-31;48,1;33,7;27,1;22,5;66,9;
2011-01-31;108,5;32,3;26,5;22,5;75,8;
2011-02-28;69,1;32,1;26,6;22,8;72;
2011-03-31;176,1;31,7;26;22,2;78,2;
2011-04-30;260,7;31;25,4;21,6;82,6;
2011-05-31;157,9;29,7;25;22;81,6;
2011-06-30;12,3;30,6;25,2;21,6;72,1;
2011-07-31;68,2;29,7;24,3;20,8;72,6;
2011-08-31;,6;31,5;25,2;20,7;63,7;
2011-09-30;0;33,1;26,2;20,9;59,5;
2011-10-31;12,8;34,5;27,2;21,9;55,8;
2011-11-30;1,1;34,8;27,5;22,2;54,8;
2011-12-31;,4;35;27,6;21,6;54,9;
2012-01-31;52,3;34,1;27,3;22,1;69,9;
2012-02-29;96,4;33,2;26,7;21,8;70,8;
2012-03-31;22,8;33,9;27,2;22,3;69;
2012-04-30;4;35,1;28;23;64,3;
2012-05-31;,7;34,1;27,4;22,4;66,7;
2012-06-30;1,2;32,6;26,4;21,7;76,6;
2012-07-31;8,2;31,4;25,4;20,5;73,4;
2012-08-31;0;32,7;25,8;20,2;56,4;
2012-09-30;0;33,7;26,4;20,3;55,3;
2012-10-31;,3;34,6;27,1;21,8;57,1;
2012-11-30;0;35,9;28;22,3;57,9;
2012-12-31;7,6;35,9;28,3;23,2;60;
2013-01-31;26,9;35,8;28,6;23,5;68,2;
2013-02-28;20,4;35,9;28,5;23,9;63;
2013-03-31;42,4;36,2;28,7;24;64,9;
2013-04-30;105,8;34,5;27,9;23,8;71,1;
2013-05-31;23;33,9;27,5;23,1;66,8;
2013-06-30;56,8;31,9;26,2;22,2;72,3;
2013-07-31;23,4;31,1;25,6;21,4;66,9;
2013-08-31;9,8;32,6;26,3;21,9;63,7;
2013-09-30;2;33,4;26,5;22;64,2;
2013-10-31;1;34,6;27,5;22,6;63,5;
2013-11-30;8;34,1;27,4;22,9;58,6;
2013-12-31;81,5;34;27,7;23,1;56,7;
2014-01-31;9;34;27,7;23,1;60,6;
2014-02-28;115;33,3;27;22,8;63,9;
2014-03-31;197,1;33,1;26,8;22,7;70,4;
2014-04-30;365,1;32;26,2;22,2;78,3;
2014-05-31;68,6;31,5;25,9;21,6;72,7;
2014-06-30;5,3;31,9;26;21,3;67;
2014-07-31;7,8;31,9;25,7;21;59,4;
2014-08-31;0;32,8;26;20,7;53,9;
2014-09-30;8;33,6;26,5;21,6;57,3;
2014-10-31;,4;34,1;27,1;22,3;55,4;
2014-11-30;5,2;34,9;27,4;22,3;54,9;
2014-12-31;,5;34,7;27,7;22,8;60,1;
2015-01-31;1,6;35,2;28,1;22,9;58,6;
2015-02-28;107,2;34,1;27,4;22,7;61,3;
2015-03-31;176,3;33,1;26,8;22,3;68,8;
2015-04-30;58;33;26,6;21,9;75,7;
2015-05-31;3,3;34,7;27,7;22,1;58,3;
2015-06-30;10,9;32,6;26,2;20,3;65,9;
2015-07-31;21,9;31,8;25,4;19,7;66,6;
2015-08-31;,2;33,1;25,8;19,1;62,3;
2015-09-30;null;null;null;null;null;
2015-10-31;0;35,2;26,9;19,2;58,9;
2015-11-30;0;36,2;27,6;19;56,6;
2015-12-31;4,5;35,3;27,6;20,1;61,7;
2016-01-31;null;null;null;null;null;
2016-02-29;54,5;33,6;26,9;19,3;69,7;
2016-03-31;74,5;35,2;27,5;20,6;null;
2016-04-30;80,3;null;null;20;null;
2016-05-31;28,8;null;null;19,5;null;
2016-06-30;24;null;null;18,6;null;
2016-07-31;0;null;null;17,9;null;
2016-08-31;0;null;null;20,8;null;
2016-09-30;0;null;null;21,6;null;
2016-10-31;0;null;null;19,3;null;
2016-11-30;0;null;null;19,4;null;
2016-12-31;1;null;null;19,8;null;
